# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
175452979016.57;257708890.30;8852.55;32658.74;113326.31;0.01;27598.20;10513.58;0.37;-5060.54;-102812.73;0.36;0.00;0.00;1.00
161625479021.23;260587524.21;9306.74;33023.55;114592.18;0.01;27598.20;10513.58;0.37;-5425.35;-104078.60;0.36;0.00;0.00;1.00
210153915763.65;289880746.57;11539.81;36735.80;127473.74;0.01;27598.20;10513.58;0.37;-9137.60;-116960.16;0.36;0.00;0.00;1.00
209513445323.70;263961334.78;9751.03;33451.10;116075.80;0.01;27598.20;10513.58;0.37;-5852.90;-105562.22;0.36;0.00;0.00;1.00
204972259429.66;216037785.30;8803.50;27377.88;95001.63;0.01;27598.20;10513.58;0.37;220.32;-84488.05;0.36;1.00;0.00;1.00
226918461886.32;253659236.85;8372.04;32145.54;111545.50;0.01;27598.20;10513.58;0.37;-4547.34;-101031.92;0.36;0.00;0.00;1.00
213016533948.12;292584736.02;9226.22;37078.47;128662.81;0.01;27598.20;10513.58;0.37;-9480.27;-118149.23;0.36;0.00;0.00;1.00
184628076116.32;266642866.02;9343.97;33790.92;117254.99;0.01;27598.20;10513.58;0.37;-6192.72;-106741.41;0.36;0.00;0.00;1.00
182868546897.12;222101022.33;8228.69;28146.26;97667.92;0.01;27598.20;10513.58;0.37;-548.06;-87154.34;0.36;0.00;0.00;1.00
204403505007.48;291692037.52;10470.41;36965.34;128270.25;0.01;27598.20;10513.58;0.37;-9367.14;-117756.67;0.36;0.00;0.00;1.00
