# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
209627342825.44;270550488.21;20321.39;0.98;1.04;127.15;5.98;105.00;6.94;139.01;859.43;33427.72;109736.73;0.01;22055.83;21175.60;-0.00;-11371.88;-88561.13;-0.01;0.00;0.00;0.00
199560471666.12;239878119.01;18173.92;1.01;1.00;142.18;5.96;104.60;7.03;127.39;859.96;27953.46;111496.88;0.02;18931.42;18175.88;-0.00;-9022.04;-93321.00;-0.02;0.00;0.00;0.00
194710820156.45;242725328.70;22501.75;1.01;1.02;135.47;5.43;106.03;6.84;145.76;904.96;32446.11;98275.20;0.02;23974.92;23018.10;-0.00;-8471.19;-75257.10;-0.02;0.00;0.00;0.00
199512547470.01;262437983.29;19191.67;1.00;0.99;142.78;5.57;105.42;6.94;138.50;917.13;33020.16;113860.97;0.01;19838.66;19046.92;-0.00;-13181.50;-94814.05;-0.01;0.00;0.00;0.00
170233007350.33;240364414.76;19317.17;1.00;0.98;141.11;5.92;94.89;6.62;131.78;979.10;28742.20;109278.83;0.01;19778.76;18989.40;-0.00;-8963.44;-90289.42;-0.01;0.00;0.00;0.00
204733444981.58;254132074.62;18516.50;1.02;1.01;140.01;6.41;101.23;6.28;147.04;1045.96;34542.28;126485.69;0.02;19475.68;18698.42;-0.00;-15066.59;-107787.27;-0.02;0.00;0.00;0.00
180689877097.04;270572316.65;17964.28;0.95;0.99;137.97;5.89;99.17;7.15;144.98;1033.42;33848.04;113828.79;0.01;18549.65;17809.34;-0.00;-15298.40;-96019.44;-0.01;0.00;0.00;0.00
200781139822.69;286487977.65;23581.87;0.97;1.00;136.31;6.28;107.88;6.58;134.87;906.72;34206.05;130199.19;0.01;24530.35;23551.36;-0.00;-9675.70;-106647.82;-0.01;0.00;0.00;0.00
204025482133.70;239979714.44;16386.49;1.01;1.00;146.44;5.77;111.15;6.78;142.67;952.32;31372.31;111513.11;0.02;17117.26;16434.12;-0.00;-14255.05;-95078.99;-0.02;0.00;0.00;0.00
209663114832.74;235964065.22;15821.29;1.03;0.95;144.08;5.48;99.72;7.01;137.24;1029.41;30184.96;104154.58;0.02;15585.47;14963.46;-0.00;-14599.49;-89191.12;-0.02;0.00;0.00;0.00
227165954068.52;239270109.45;18233.00;1.01;0.95;142.95;5.45;91.43;7.38;124.63;927.97;27424.82;102928.31;0.02;18060.04;17339.28;-0.00;-9364.78;-85589.03;-0.02;0.00;0.00;0.00
206010685820.16;274531788.60;22925.60;0.99;1.00;135.19;6.20;93.03;7.28;131.28;942.58;32542.31;124672.04;0.01;23930.78;22975.72;-0.00;-8611.53;-101696.32;-0.01;0.00;0.00;0.00
210604289274.81;255958983.04;17435.42;0.95;0.96;144.23;5.69;109.29;7.15;135.74;890.01;29875.43;108433.90;0.01;17406.02;16711.36;-0.00;-12469.41;-91722.54;-0.01;0.00;0.00;0.00
193808565187.41;251936514.52;20285.64;1.00;1.04;125.65;5.98;104.04;7.05;135.58;943.53;31198.92;103741.62;0.02;22047.34;21167.45;-0.00;-9151.58;-82574.17;-0.02;0.00;0.00;0.00
180814936253.98;252685117.09;21683.90;1.00;1.01;135.22;5.80;106.36;6.98;147.62;917.09;34041.12;108586.96;0.02;22702.25;21796.22;-0.00;-11338.87;-86790.74;-0.02;0.00;0.00;0.00
219855982562.84;221613208.09;18357.12;1.01;1.00;140.75;5.52;115.29;6.90;141.06;927.03;28763.87;95096.62;0.02;19079.53;18318.08;-0.00;-9684.34;-76778.55;-0.02;0.00;0.00;0.00
183517229502.52;271603115.20;18655.70;0.99;0.98;137.83;5.54;100.65;7.73;146.97;920.74;36099.83;112588.58;0.01;19027.55;18268.18;-0.00;-17072.28;-94320.41;-0.01;0.00;0.00;0.00
181860933428.91;247097479.09;19068.38;0.97;1.11;148.89;6.16;98.31;6.37;131.66;941.86;28768.48;120290.71;0.01;22006.63;21128.36;-0.00;-6761.85;-99162.35;-0.01;0.00;0.00;0.00
189699564359.32;255243166.31;19871.40;1.04;0.97;136.46;6.05;103.62;6.96;140.10;948.92;33697.91;119225.69;0.02;20169.40;19364.46;-0.00;-13528.51;-99861.24;-0.02;0.00;0.00;0.00
189988216099.23;282136412.98;19233.78;0.96;1.00;127.29;5.78;103.18;7.85;142.44;879.01;35244.58;109261.07;0.01;20093.27;19291.36;-0.00;-15151.31;-89969.71;-0.01;0.00;0.00;0.00
210911312320.32;264066441.99;20738.38;0.95;0.97;136.55;6.14;99.17;6.82;134.14;954.83;30508.10;114448.94;0.01;20940.02;20104.32;-0.00;-9568.08;-94344.62;-0.01;0.00;0.00;0.00
197816506145.50;252577445.38;15848.02;1.00;1.00;137.85;6.06;105.55;6.92;145.04;866.40;33361.77;115340.80;0.02;16582.84;15921.03;-0.00;-16778.94;-99419.77;-0.02;0.00;0.00;0.00
198505976557.85;248887633.64;20815.48;1.02;0.99;158.33;5.60;109.50;7.26;141.59;937.38;32652.60;122642.13;0.02;21393.98;20540.16;-0.00;-11258.62;-102101.97;-0.02;0.00;0.00;0.00
191062024969.33;228841848.90;19542.83;1.07;1.00;142.21;5.72;111.77;6.45;143.68;977.82;31929.80;108435.31;0.02;20303.92;19493.61;-0.00;-11625.88;-88941.70;-0.02;0.00;0.00;0.00
210829659574.39;243018377.19;19914.60;1.01;1.03;128.00;5.79;105.49;7.21;142.66;910.77;31895.47;99357.86;0.02;21401.24;20547.14;-0.00;-10494.23;-78810.73;-0.02;0.00;0.00;0.00
191090449050.57;248068473.29;22468.14;1.02;0.98;155.10;5.54;100.93;7.48;146.39;943.66;33591.20;118409.30;0.02;22891.37;21977.79;-0.00;-10699.84;-96431.51;-0.02;0.00;0.00;0.00
211408497969.64;265797522.03;18222.68;0.97;0.98;137.81;5.68;103.78;6.62;131.03;900.75;30628.87;109696.19;0.01;18571.54;17830.37;-0.00;-12057.32;-91865.82;-0.01;0.00;0.00;0.00
213732357587.51;254458910.35;23201.25;1.02;1.02;140.36;5.30;104.92;7.08;138.39;933.41;32757.29;105678.41;0.02;24616.02;23633.61;-0.00;-8141.27;-82044.79;-0.02;0.00;0.00;0.00
204398991748.31;242192235.69;20145.98;0.98;0.99;134.63;5.47;102.00;6.71;127.37;923.16;27584.81;95638.67;0.01;20868.29;20035.45;-0.00;-6716.52;-75603.22;-0.01;0.00;0.00;0.00
