# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
191975882372.00;258256294.30;9370.34;0.94;0.99;140.40;5.75;104.30;7.07;135.91;941.11;943403.00;105761.66;31908.46;113697.23;0.01;76621.43;47794.30;0.00;46023.65;-59724.68;-0.01;1.00;0.00;0.00
190321276543.70;222549223.68;11445.57;0.96;0.94;139.63;5.79;103.40;7.35;136.65;928.61;980312.77;110814.91;27647.43;98065.95;0.01;90402.22;57164.36;0.00;58057.78;-40671.00;-0.01;1.00;0.00;0.00
215936905365.40;263716529.77;10048.93;1.09;1.01;135.49;5.80;103.63;7.18;136.13;956.02;869687.33;87530.47;32635.71;113094.45;0.01;97246.42;56997.64;0.00;62205.08;-66395.79;-0.01;1.00;0.00;0.00
206456812945.31;252484327.96;8245.21;0.97;1.00;135.63;5.68;103.93;6.99;136.56;920.05;993237.38;101872.99;31345.40;106019.18;0.01;71023.20;43427.82;0.00;40837.36;-59456.82;-0.01;1.00;0.00;0.00
192236731070.44;258852545.77;9523.38;1.03;1.05;136.45;5.78;101.55;7.18;143.74;958.38;1013992.44;88550.69;33824.82;111428.41;0.01;87870.63;52383.43;0.00;57439.80;-59370.19;-0.01;1.00;0.00;0.00
192685777191.07;229908520.61;9172.03;1.05;0.97;140.63;5.65;96.01;7.18;140.22;919.23;1074636.38;92549.71;29306.12;99659.49;0.01;81295.52;49181.70;0.00;47771.96;-56973.47;-0.01;1.00;0.00;0.00
191280991037.22;256903197.21;10308.19;1.11;1.02;141.56;5.63;105.06;7.06;139.21;920.19;848820.75;91606.40;32512.07;111762.41;0.01;89654.18;54621.72;0.00;54924.91;-68683.73;-0.01;1.00;0.00;0.00
206249298665.02;233997410.63;8805.70;1.04;1.04;139.29;5.81;101.05;6.91;138.32;952.19;831138.94;104955.60;29424.46;103306.53;0.01;74276.22;45778.91;0.00;46594.07;-59649.17;-0.01;1.00;0.00;0.00
204881523781.25;265523069.73;10622.60;1.04;1.03;134.28;5.70;103.69;7.02;139.48;939.26;1031027.01;98323.43;33668.21;110885.29;0.01;94359.97;57037.76;0.00;62459.93;-56592.72;-0.01;1.00;0.00;0.00
180477807864.58;265358859.69;10237.31;1.04;0.92;140.48;5.73;102.08;7.13;141.26;950.14;1075995.05;96261.95;34077.00;116506.89;0.01;87277.52;53575.24;0.00;45080.46;-71696.24;-0.01;1.00;0.00;0.00
223800762073.68;239329906.49;9730.15;1.00;0.99;138.96;5.85;104.93;7.14;139.45;925.88;706932.63;88727.33;30340.01;106141.54;0.01;91354.64;54121.84;0.00;60106.78;-52878.38;-0.01;1.00;0.00;0.00
187460307889.48;249998311.10;10692.61;1.05;1.05;137.26;5.81;104.42;7.03;138.79;896.95;950814.62;93891.43;31543.07;108810.08;0.01;90609.35;55748.12;0.00;61632.82;-56190.57;-0.01;1.00;0.00;0.00
243100701434.43;272158796.20;8750.85;0.97;0.97;139.74;5.93;101.83;7.24;137.67;931.43;1059132.50;102833.10;34061.98;122993.77;0.01;82212.64;48693.25;0.00;46713.19;-72354.70;-0.01;1.00;0.00;0.00
201892990142.33;246545688.45;11524.92;0.89;0.97;134.92;5.69;102.26;6.86;138.22;972.80;1104819.88;111138.49;30980.09;103207.22;0.01;96851.95;59777.93;0.00;66669.62;-33502.96;-0.01;1.00;0.00;0.00
174762567769.80;236348855.29;9808.71;0.98;1.00;140.36;5.89;98.65;7.19;140.84;921.61;1096753.56;114341.72;30262.15;106620.69;0.01;73432.92;47449.34;0.00;44219.38;-56447.44;-0.01;1.00;0.00;0.00
189630031829.10;269327117.01;10346.78;1.00;1.00;142.05;5.73;101.61;7.27;140.57;916.25;814428.39;91590.96;34416.63;119591.09;0.01;89034.31;54461.05;0.00;54273.65;-65414.43;-0.01;1.00;0.00;0.00
207755862199.71;265154333.78;9499.96;1.06;0.94;140.21;5.78;103.67;7.27;139.82;954.02;1181641.32;97047.17;33704.48;117204.97;0.01;87290.91;52115.01;0.00;46609.70;-75424.82;-0.01;1.00;0.00;0.00
209626711463.45;262998476.45;9603.85;1.01;0.94;134.33;5.79;99.82;7.15;134.56;923.80;829941.43;79112.36;32171.91;111537.22;0.01;95135.57;55309.92;0.00;57046.24;-60680.39;-0.01;1.00;0.00;0.00
199619474756.48;235849127.29;9938.23;1.08;0.99;144.27;5.75;103.56;7.31;140.97;945.75;902005.42;109657.49;30225.42;106687.94;0.01;80864.44;50538.56;0.00;47364.66;-65448.66;-0.01;1.00;0.00;0.00
190018489647.60;229643791.31;10765.83;1.03;0.95;137.11;5.80;103.58;6.94;141.09;991.90;1106167.14;86536.32;29454.94;99567.88;0.01;102515.51;60428.44;0.00;66646.54;-45406.20;-0.01;1.00;0.00;0.00
209874477166.37;253424649.24;10635.11;1.07;0.97;134.29;5.98;106.30;7.23;143.12;952.57;1002846.79;85924.66;32972.85;111049.41;0.01;103830.50;60671.49;0.00;65634.83;-59977.02;-0.01;1.00;0.00;0.00
205354951755.00;245922743.14;9569.42;0.98;0.98;136.76;6.02;99.74;6.79;139.13;922.30;973646.08;105429.47;31104.26;110376.11;0.01;80495.43;49665.18;0.00;48597.00;-59333.57;-0.01;1.00;0.00;0.00
199146578122.31;237394061.85;8798.78;1.03;1.01;136.34;5.79;101.38;7.11;139.60;944.56;866927.22;93468.26;30127.57;102192.34;0.01;78281.27;47290.79;0.00;48136.81;-57357.17;-0.01;1.00;0.00;0.00
200356604546.79;260072926.81;10858.33;0.98;0.94;141.14;5.99;100.87;7.18;140.18;899.79;922470.68;88846.05;33143.35;119899.93;0.01;98096.38;58929.95;0.00;60076.36;-61888.13;-0.01;1.00;0.00;0.00
204643065711.83;225174734.39;11706.46;0.96;1.03;144.02;5.83;103.70;7.04;136.47;936.89;857582.79;100167.25;27935.80;103182.18;0.01;100757.69;61627.49;0.00;76949.52;-35698.49;-0.01;1.00;0.00;0.00
211479694932.99;270765565.53;10405.35;1.00;0.99;137.17;5.82;103.17;6.91;138.14;964.10;1057809.11;112468.85;34003.61;117969.23;0.01;88081.95;54215.19;0.00;53403.62;-64088.53;-0.01;1.00;0.00;0.00
178411381875.02;223555378.92;10302.47;1.02;0.96;143.41;5.81;100.66;7.38;143.42;939.86;905437.48;92676.29;29147.32;101544.12;0.01;87453.01;53771.25;0.00;54304.93;-52293.87;-0.01;1.00;0.00;0.00
215581605370.50;252452685.06;9278.08;0.94;1.02;138.75;5.95;102.28;6.97;139.27;896.57;1017216.80;86433.38;31962.17;113604.14;0.01;88908.43;52292.46;0.00;60338.83;-53933.75;-0.01;1.00;0.00;0.00
207275129741.37;235631163.13;9164.51;1.06;0.96;140.71;5.94;102.20;6.89;141.25;949.61;975502.93;119002.20;30256.78;107367.99;0.01;73092.01;46040.66;0.00;38177.68;-69897.30;-0.01;1.00;0.00;0.00
199499722381.95;252461325.31;10667.10;0.92;1.00;140.59;5.76;101.04;6.87;141.61;926.82;1065613.08;98977.97;32501.73;111428.43;0.01;92820.16;56540.52;0.00;62663.03;-46273.76;-0.01;1.00;0.00;0.00
190571302029.48;245745148.10;9065.31;0.96;1.03;134.44;5.78;99.33;7.15;140.37;948.39;932476.37;93293.13;31359.72;104234.89;0.01;79763.52;48385.57;0.00;51998.25;-50389.50;-0.01;1.00;0.00;0.00
194069044527.92;247267615.37;9056.43;1.00;0.96;138.42;5.74;100.45;7.19;136.18;929.14;945549.91;100396.87;30611.68;107169.38;0.01;76322.45;47056.91;0.00;42998.16;-61663.82;-0.01;1.00;0.00;0.00
223387910084.61;235539951.69;11202.29;0.95;0.93;142.31;5.66;99.47;7.30;142.21;937.18;1152257.11;96573.86;30450.12;103444.68;0.01;105843.11;62563.99;0.00;69844.94;-40155.34;-0.01;1.00;0.00;0.00
194186632028.82;248912938.26;11047.08;1.03;1.08;131.52;5.85;104.63;7.09;137.97;969.27;922639.52;99790.96;31221.58;104433.89;0.01;95190.43;58197.96;0.00;70942.00;-44369.02;-0.01;1.00;0.00;0.00
206013711063.21;233198114.19;11289.28;0.97;0.98;141.15;5.61;102.39;6.91;136.86;944.21;1103726.76;91394.84;29014.01;100767.36;0.01;105808.56;62723.49;0.00;75704.82;-36416.13;-0.01;1.00;0.00;0.00
205631764147.21;244407837.84;10867.56;0.97;1.00;134.85;5.99;99.51;7.08;142.52;926.71;1086378.69;103341.47;31665.79;107648.92;0.01;93755.04;57293.81;0.00;63540.12;-46634.20;-0.01;1.00;0.00;0.00
196009697080.77;230171798.92;11662.78;0.98;0.99;138.52;5.85;100.03;7.21;138.23;969.30;920898.34;97937.54;28923.41;101713.62;0.01;102061.81;62036.77;0.00;72274.62;-38457.24;-0.01;1.00;0.00;0.00
202873412436.37;244847961.29;9121.43;0.98;0.95;138.02;5.82;101.83;7.06;137.57;942.21;920544.15;87505.91;30621.43;107235.37;0.01;85539.44;50697.17;0.00;51684.94;-56316.97;-0.01;1.00;0.00;0.00
