# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
371;1110;3;3;3;1;2;-1;-1;0;0
446;965;2;2;2;2;2;0;0;0;0
638;933;3;3;3;2;2;0;0;0;0
566;922;2;2;3;2;2;0;0;0;0
401;1005;2;2;2;1;2;0;0;0;0
430;929;3;3;3;2;2;-1;-1;0;0
482;894;3;3;4;2;2;-1;-1;0;0
482;1174;2;2;3;2;2;0;0;0;0
322;1092;3;3;3;1;1;-1;-1;0;0
606;1042;2;2;3;2;2;0;0;0;0
469;900;3;3;3;2;2;-1;-1;0;0
526;915;2;2;3;2;2;0;0;0;0
518;1084;2;2;2;2;2;0;0;0;0
516;988;2;2;3;2;2;0;0;0;0
512;911;3;3;3;2;2;-1;-1;0;0
371;900;3;3;3;1;1;-1;-1;0;0
351;1031;3;3;3;1;1;-1;-1;0;0
473;1057;2;2;3;2;2;0;0;0;0
481;900;2;2;3;2;2;0;0;0;0
500;954;2;2;3;2;2;0;0;0;0
555;1077;3;3;3;2;2;0;0;0;0
739;916;2;2;2;3;3;0;0;1;1
482;1138;3;3;3;2;2;-1;-1;0;0
652;951;2;2;2;2;3;0;0;1;1
444;885;3;3;3;2;2;-1;-1;0;0
532;1046;3;3;4;2;2;-1;-1;0;0
344;1032;3;3;3;1;1;-1;-1;0;0
527;1058;2;2;2;2;2;0;0;1;0
377;829;2;2;3;1;1;-1;-1;0;0
573;1194;2;2;3;2;2;0;0;0;0
539;1021;2;2;2;2;2;0;0;0;0
608;920;3;3;3;2;2;0;0;0;0
807;1127;3;3;3;3;3;0;0;1;1
489;1165;2;2;3;2;2;0;0;0;0
668;1136;2;2;3;3;3;0;0;1;1
503;1202;3;3;3;2;2;0;0;0;0
522;987;2;2;3;2;2;0;0;0;0
470;918;2;2;2;2;2;0;0;0;0
373;855;3;3;3;1;1;-1;-1;0;0
421;1052;3;3;3;2;2;-1;-1;0;0
661;929;2;2;3;2;3;0;0;1;0
593;1045;1;1;2;2;2;0;0;1;1
525;1025;3;3;3;2;2;0;0;0;0
542;1024;3;3;3;2;2;0;0;0;0
393;889;2;2;3;1;1;0;-1;0;0
313;907;2;2;2;1;1;0;-1;0;0
772;887;2;2;3;3;3;0;0;1;1
479;873;3;3;3;2;2;-1;-1;0;0
496;987;3;3;3;2;2;0;-1;0;0
347;910;3;3;3;1;1;-1;-1;0;0
396;1041;3;3;3;1;2;-1;-1;0;0
472;969;2;2;3;2;2;0;0;0;0
405;893;3;3;3;1;2;-1;-1;0;0
425;1008;3;3;3;2;2;-1;-1;0;0
469;780;2;2;3;2;2;0;0;0;0
585;1055;3;3;3;2;2;0;0;0;0
451;926;2;2;3;2;2;0;0;0;0
412;808;3;3;3;1;2;-1;-1;0;0
731;954;2;2;3;3;3;0;0;1;1
523;904;2;2;2;2;2;0;0;0;0
413;1119;3;3;3;2;2;-1;-1;0;0
464;1035;2;2;3;2;2;0;0;0;0
572;1076;2;2;2;2;2;0;0;0;0
412;1068;2;2;3;2;2;0;-1;0;0
550;1046;3;3;3;2;2;0;0;0;0
462;844;3;3;3;2;2;0;-1;0;0
442;921;2;2;2;2;2;0;0;0;0
321;994;3;3;3;1;1;-1;-1;0;0
491;832;3;3;3;2;2;0;-1;0;0
486;1037;2;2;2;2;2;0;0;0;0
550;1062;2;2;3;2;2;0;0;0;0
300;1056;2;2;2;1;1;0;-1;0;0
482;999;3;3;3;2;2;0;0;0;0
491;1125;2;2;3;2;2;0;0;0;0
557;886;2;2;2;2;2;0;0;1;0
397;1168;2;2;2;2;2;0;0;0;0
413;805;3;3;3;1;2;-1;-1;0;0
322;1079;3;3;3;1;1;-1;-1;0;0
625;874;2;2;3;2;2;0;0;0;0
405;1029;2;2;3;2;2;0;0;0;0
426;1152;2;2;3;2;2;0;0;0;0
437;1088;2;2;2;2;2;0;0;0;0
636;792;2;2;3;2;2;0;0;0;0
480;862;3;3;3;2;2;0;-1;0;0
551;922;2;2;3;2;2;0;0;0;0
433;1113;3;3;3;2;2;0;-1;0;0
588;1120;3;3;3;2;2;0;0;0;0
549;844;2;2;3;2;2;0;0;0;0
472;949;3;3;3;2;2;0;-1;0;0
653;1002;2;2;3;2;3;0;0;1;0
331;998;2;2;3;1;1;-1;-1;0;0
337;969;3;3;3;1;1;-1;-1;0;0
496;1119;3;3;4;2;2;-1;-1;0;0
423;752;3;3;3;1;2;-1;-1;0;0
656;964;3;3;3;2;3;0;0;0;0
507;934;2;2;2;2;2;0;0;0;0
537;869;2;2;3;2;2;0;0;0;0
469;868;3;3;3;2;2;-1;-1;0;0
307;1157;3;3;3;1;1;-1;-1;0;0
286;1042;2;2;3;1;1;-1;-1;0;0
