# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.21;8.92;38.46;3076.85;1682.24;-1394.61;0.00
0.25;9.00;42.76;3420.46;1956.14;-1464.32;0.00
0.30;10.03;36.13;2890.52;2272.44;-618.08;0.00
0.21;8.97;34.93;2794.67;1717.66;-1077.01;0.00
0.31;10.05;48.77;3901.83;2359.96;-1541.87;0.00
0.29;9.05;41.30;3303.78;2178.78;-1125.00;0.00
0.22;9.30;33.12;2649.54;1772.73;-876.81;0.00
0.25;10.94;47.95;3836.08;2024.56;-1811.52;0.00
0.21;8.86;41.43;3314.18;1731.95;-1582.22;0.00
0.27;9.70;40.97;3277.60;2104.58;-1173.02;0.00
0.26;9.82;33.91;2712.73;2018.57;-694.16;0.00
0.24;10.59;45.85;3667.78;1958.94;-1708.84;0.00
0.26;10.20;43.39;3471.57;2077.75;-1393.83;0.00
0.28;10.60;39.05;3124.20;2216.86;-907.34;0.00
0.29;10.72;43.34;3466.85;2284.91;-1181.94;0.00
0.25;10.84;46.88;3750.26;2027.48;-1722.79;0.00
0.23;10.09;38.91;3112.93;1858.28;-1254.65;0.00
0.27;7.86;44.44;3554.82;1992.05;-1562.77;0.00
0.26;10.36;43.32;3465.29;2048.77;-1416.52;0.00
0.26;9.82;37.95;3036.14;2042.00;-994.14;0.00
0.23;12.30;42.58;3406.63;2010.51;-1396.12;0.00
0.26;8.70;38.33;3066.22;1963.66;-1102.56;0.00
0.23;9.10;39.19;3135.07;1838.35;-1296.72;0.00
0.24;8.09;45.93;3674.64;1810.85;-1863.80;0.00
0.23;10.37;44.59;3567.03;1919.41;-1647.63;0.00
0.21;11.43;38.09;3047.18;1837.80;-1209.38;0.00
0.26;11.71;40.38;3230.40;2140.24;-1090.16;0.00
0.26;10.30;44.00;3519.91;2067.92;-1451.99;0.00
0.29;11.21;42.25;3380.15;2317.79;-1062.36;0.00
0.26;11.05;40.64;3251.04;2117.57;-1133.47;0.00
0.26;10.71;39.46;3156.47;2106.74;-1049.73;0.00
0.25;10.53;30.23;2418.20;2018.82;-399.38;0.00
0.29;10.69;38.18;3054.65;2278.33;-776.31;0.00
0.26;9.85;36.84;2947.13;2033.50;-913.62;0.00
0.25;10.67;34.50;2760.10;2044.21;-715.89;0.00
0.25;9.83;35.97;2877.76;1968.18;-909.59;0.00
0.24;10.91;35.30;2824.25;2008.59;-815.66;0.00
0.22;11.20;42.25;3380.16;1859.58;-1520.58;0.00
0.20;9.75;38.38;3070.32;1700.69;-1369.63;0.00
0.19;11.33;41.23;3298.39;1720.98;-1577.41;0.00
0.23;10.59;39.50;3160.19;1933.87;-1226.32;0.00
0.27;9.73;36.50;2919.90;2077.62;-842.28;0.00
0.23;12.91;37.12;2969.55;2042.03;-927.52;0.00
0.27;10.16;41.81;3345.17;2098.50;-1246.67;0.00
0.26;9.94;38.35;3067.98;2068.52;-999.46;0.00
0.20;10.20;41.22;3297.44;1728.81;-1568.62;0.00
0.27;9.26;42.84;3427.59;2058.73;-1368.85;0.00
0.29;10.05;43.10;3447.73;2216.03;-1231.70;0.00
0.20;8.31;44.66;3572.99;1600.21;-1972.78;0.00
0.24;10.86;44.19;3534.93;1965.28;-1569.66;0.00
0.27;11.96;45.71;3656.78;2202.76;-1454.01;0.00
0.23;10.41;45.03;3602.65;1889.12;-1713.53;0.00
0.28;10.67;42.79;3423.52;2200.29;-1223.23;0.00
0.24;12.12;37.70;3015.95;2075.42;-940.53;0.00
0.26;10.98;45.03;3602.55;2086.87;-1515.68;0.00
0.27;9.55;39.80;3184.04;2068.80;-1115.25;0.00
0.24;10.01;39.99;3199.06;1923.08;-1275.99;0.00
0.27;9.73;43.48;3478.67;2099.99;-1378.69;0.00
0.24;7.92;44.37;3549.43;1817.77;-1731.66;0.00
0.28;9.97;36.87;2949.95;2182.35;-767.60;0.00
0.27;9.12;40.38;3230.74;2045.95;-1184.79;0.00
0.24;10.74;45.60;3648.22;1981.59;-1666.64;0.00
0.27;10.50;45.24;3619.17;2138.71;-1480.46;0.00
0.23;9.58;40.93;3274.27;1869.86;-1404.41;0.00
0.28;10.42;40.05;3203.79;2175.20;-1028.59;0.00
0.23;10.63;39.69;3175.07;1902.09;-1272.98;0.00
0.25;10.77;45.96;3676.72;2030.11;-1646.60;0.00
0.26;10.65;47.93;3834.03;2073.09;-1760.95;0.00
0.25;10.98;36.22;2897.81;2055.75;-842.06;0.00
0.30;11.13;43.27;3461.30;2370.97;-1090.33;0.00
0.24;9.21;42.27;3381.74;1893.77;-1487.96;0.00
0.29;10.90;44.15;3532.31;2252.61;-1279.69;0.00
0.23;9.23;41.42;3313.85;1867.13;-1446.72;0.00
0.27;10.61;37.89;3031.59;2126.43;-905.17;0.00
0.29;8.86;43.33;3466.15;2164.08;-1302.07;0.00
0.26;9.93;40.85;3267.86;2026.06;-1241.80;0.00
0.25;11.92;39.56;3164.44;2100.83;-1063.61;0.00
0.26;9.96;40.85;3267.84;2059.68;-1208.16;0.00
0.28;11.73;39.11;3128.41;2277.98;-850.43;0.00
0.23;11.53;37.70;3016.22;1956.60;-1059.62;0.00
0.29;10.17;39.11;3129.02;2252.58;-876.44;0.00
0.24;11.20;42.96;3436.51;1995.03;-1441.48;0.00
0.25;9.83;43.67;3493.29;1964.73;-1528.56;0.00
0.23;9.52;41.70;3335.69;1872.57;-1463.12;0.00
0.25;11.18;39.97;3197.92;2038.15;-1159.77;0.00
0.23;8.70;57.69;4615.59;1836.34;-2779.25;0.00
0.25;11.35;43.80;3504.36;2045.29;-1459.07;0.00
0.21;9.27;35.74;2859.15;1709.63;-1149.51;0.00
0.25;11.72;42.50;3400.04;2082.19;-1317.85;0.00
0.26;11.80;39.17;3133.67;2168.14;-965.53;0.00
0.25;8.55;33.95;2716.40;1935.73;-780.67;0.00
0.23;9.95;37.76;3020.83;1891.50;-1129.32;0.00
0.24;9.55;42.47;3397.68;1921.47;-1476.21;0.00
0.25;10.40;45.66;3652.99;2018.93;-1634.06;0.00
0.22;11.11;41.27;3301.84;1866.43;-1435.41;0.00
0.27;11.53;38.98;3118.50;2182.50;-936.00;0.00
0.24;9.22;35.91;2873.02;1869.89;-1003.13;0.00
0.23;10.93;46.98;3758.35;1923.34;-1835.01;0.00
0.25;9.22;35.54;2842.96;1984.09;-858.87;0.00
0.27;7.86;36.90;2952.39;2025.49;-926.90;0.00
0.24;10.56;40.24;3219.28;1955.15;-1264.13;0.00
0.23;10.37;34.20;2735.88;1890.26;-845.63;0.00
0.24;8.23;39.14;3130.85;1863.32;-1267.53;0.00
0.24;11.95;40.28;3222.08;2017.83;-1204.25;0.00
0.20;10.03;52.73;4218.09;1701.74;-2516.35;0.00
0.25;10.88;31.19;2495.23;2029.86;-465.37;0.00
0.24;9.38;33.82;2705.99;1934.48;-771.51;0.00
0.26;10.88;40.89;3271.58;2128.08;-1143.50;0.00
0.30;9.92;36.80;2943.79;2256.20;-687.60;0.00
0.24;11.76;39.83;3186.51;2063.35;-1123.16;0.00
0.23;11.65;44.05;3523.64;1992.94;-1530.70;0.00
0.25;11.06;37.93;3034.79;2048.33;-986.46;0.00
0.30;12.53;42.36;3389.15;2435.50;-953.65;0.00
0.29;9.49;41.68;3334.28;2175.37;-1158.91;0.00
0.29;10.90;40.95;3276.13;2305.98;-970.14;0.00
0.25;9.49;38.44;3075.20;1960.88;-1114.32;0.00
0.24;10.75;38.81;3104.61;1976.59;-1128.02;0.00
0.27;9.07;41.80;3343.82;2052.12;-1291.71;0.00
0.25;10.38;40.49;3239.54;2004.56;-1234.98;0.00
0.25;9.72;43.34;3467.02;1960.41;-1506.61;0.00
0.24;11.58;45.13;3610.63;2032.77;-1577.86;0.00
0.25;8.96;41.25;3300.38;1961.57;-1338.82;0.00
0.25;10.26;43.67;3493.55;2038.62;-1454.92;0.00
0.26;7.09;39.32;3145.27;1887.92;-1257.35;0.00
0.27;10.96;34.61;2768.82;2178.77;-590.05;0.00
0.22;9.95;40.30;3224.09;1797.95;-1426.14;0.00
0.31;8.41;36.31;2905.09;2279.55;-625.53;0.00
0.20;10.80;36.44;2914.96;1769.23;-1145.73;0.00
0.24;9.88;49.31;3944.72;1918.97;-2025.74;0.00
0.27;8.46;30.96;2476.92;2023.19;-453.72;0.00
0.27;10.64;42.55;3403.62;2134.35;-1269.26;0.00
0.25;10.12;39.14;3131.29;2031.13;-1100.16;0.00
0.27;10.48;43.68;3494.05;2115.52;-1378.54;0.00
0.25;9.88;39.38;3150.45;2003.50;-1146.95;0.00
0.24;10.22;38.91;3113.06;1927.47;-1185.59;0.00
0.27;10.86;45.19;3614.99;2141.80;-1473.18;0.00
0.27;9.02;37.21;2976.61;2064.04;-912.56;0.00
0.21;9.22;38.48;3078.08;1702.68;-1375.41;0.00
0.21;9.03;42.38;3390.70;1710.41;-1680.28;0.00
0.26;9.08;47.86;3828.93;1989.84;-1839.09;0.00
0.27;10.97;35.86;2868.62;2189.48;-679.15;0.00
0.25;10.33;39.43;3154.55;1994.41;-1160.14;0.00
0.23;10.76;40.97;3277.50;1920.25;-1357.25;0.00
0.25;9.44;33.27;2661.35;1944.02;-717.33;0.00
0.25;10.05;41.81;3344.65;1971.73;-1372.92;0.00
0.28;9.29;39.40;3152.40;2125.55;-1026.85;0.00
0.29;9.99;36.76;2941.09;2240.92;-700.17;0.00
0.24;8.58;38.50;3079.96;1853.14;-1226.82;0.00
0.24;9.22;42.22;3377.68;1920.33;-1457.35;0.00
0.22;9.82;30.48;2438.05;1812.86;-625.19;0.00
0.24;10.00;36.59;2926.98;1937.80;-989.19;0.00
0.25;9.75;40.51;3240.43;1963.94;-1276.49;0.00
0.25;10.75;40.85;3268.11;2024.09;-1244.02;0.00
0.27;9.31;41.22;3297.91;2099.29;-1198.62;0.00
0.24;9.78;35.43;2834.53;1905.93;-928.60;0.00
0.24;9.63;39.57;3165.89;1917.59;-1248.29;0.00
0.27;10.76;33.78;2702.16;2167.40;-534.76;0.00
0.24;11.21;48.46;3876.91;2006.67;-1870.25;0.00
0.21;12.11;40.48;3238.49;1874.21;-1364.28;0.00
0.21;12.47;40.41;3232.82;1913.49;-1319.33;0.00
0.29;11.45;38.97;3117.86;2301.79;-816.07;0.00
0.28;9.29;44.13;3530.46;2126.06;-1404.40;0.00
0.25;10.12;40.61;3248.66;2001.25;-1247.41;0.00
0.22;9.23;38.79;3103.03;1788.01;-1315.02;0.00
0.25;11.82;40.55;3243.76;2113.77;-1130.00;0.00
0.20;9.69;36.16;2892.62;1711.81;-1180.81;0.00
0.25;12.41;44.01;3520.44;2151.63;-1368.81;0.00
0.23;8.82;34.21;2736.50;1816.37;-920.13;0.00
0.22;10.99;37.47;2997.83;1876.94;-1120.90;0.00
0.24;10.21;37.72;3017.66;1960.32;-1057.33;0.00
0.25;12.50;34.79;2783.60;2111.99;-671.61;0.00
0.23;10.36;38.31;3064.87;1909.89;-1154.98;0.00
0.26;11.17;36.96;2956.60;2136.90;-819.70;0.00
0.24;8.91;35.85;2868.33;1885.29;-983.04;0.00
0.24;10.52;38.63;3090.08;1942.64;-1147.44;0.00
0.20;9.34;43.68;3494.37;1677.35;-1817.02;0.00
0.26;11.11;44.07;3525.39;2122.69;-1402.70;0.00
0.29;10.90;39.36;3148.89;2286.91;-861.98;0.00
0.21;10.76;41.21;3297.10;1830.22;-1466.89;0.00
0.26;11.35;37.93;3034.75;2124.03;-910.72;0.00
0.21;9.07;32.75;2620.35;1740.01;-880.33;0.00
0.21;9.23;47.92;3833.65;1747.55;-2086.10;0.00
0.24;9.72;36.26;2901.10;1926.97;-974.13;0.00
0.28;9.90;47.97;3837.24;2144.62;-1692.61;0.00
0.24;10.96;40.61;3249.16;1973.83;-1275.33;0.00
0.23;9.27;31.72;2537.90;1828.08;-709.82;0.00
0.23;8.56;40.51;3240.84;1787.48;-1453.37;0.00
0.24;9.42;42.66;3412.74;1899.97;-1512.77;0.00
0.22;7.93;40.68;3254.03;1733.52;-1520.51;0.00
0.22;10.30;37.50;2999.99;1854.66;-1145.33;0.00
0.22;10.55;37.22;2977.48;1832.37;-1145.11;0.00
0.27;11.56;40.23;3218.50;2175.87;-1042.64;0.00
0.23;8.91;29.61;2368.45;1814.72;-553.73;0.00
0.26;9.80;46.26;3700.91;2059.78;-1641.13;0.00
0.28;9.93;51.53;4122.39;2191.50;-1930.90;0.00
0.25;11.79;32.23;2578.25;2098.63;-479.61;0.00
0.27;10.53;32.11;2568.91;2117.41;-451.50;0.00
0.29;8.34;45.06;3604.74;2150.52;-1454.22;0.00
0.23;10.52;43.68;3494.06;1935.13;-1558.92;0.00
0.23;11.19;41.41;3312.54;1957.91;-1354.63;0.00
0.26;11.18;45.66;3652.64;2112.75;-1539.89;0.00
0.26;7.86;36.44;2915.59;1961.30;-954.28;0.00
0.20;9.23;44.13;3530.53;1680.62;-1849.91;0.00
0.25;8.56;43.01;3441.09;1914.53;-1526.56;0.00
0.21;11.63;36.85;2947.78;1873.41;-1074.37;0.00
0.24;8.93;47.85;3828.10;1855.24;-1972.86;0.00
0.26;10.71;44.93;3594.41;2067.19;-1527.23;0.00
0.23;11.11;37.95;3036.38;1918.59;-1117.79;0.00
0.28;9.93;35.61;2848.52;2164.79;-683.73;0.00
0.27;10.38;35.10;2807.97;2111.32;-696.65;0.00
0.26;9.05;32.28;2582.32;2015.76;-566.56;0.00
0.25;10.82;43.22;3457.27;2035.45;-1421.82;0.00
0.27;9.69;48.22;3857.68;2111.98;-1745.69;0.00
0.27;10.08;40.46;3236.64;2146.67;-1089.98;0.00
0.19;9.82;38.91;3112.55;1662.19;-1450.36;0.00
0.27;8.89;41.17;3293.83;2056.36;-1237.48;0.00
0.26;9.40;35.35;2827.61;2042.64;-784.96;0.00
0.27;10.65;36.06;2884.43;2134.92;-749.51;0.00
0.24;10.44;35.49;2839.21;1968.62;-870.59;0.00
0.28;9.68;40.33;3226.43;2140.94;-1085.49;0.00
0.23;11.82;41.05;3284.19;1954.25;-1329.94;0.00
0.27;10.52;42.19;3374.93;2169.35;-1205.58;0.00
0.27;10.33;40.34;3227.28;2113.20;-1114.08;0.00
0.24;9.90;40.24;3219.26;1949.00;-1270.27;0.00
0.24;10.03;44.31;3544.54;1938.07;-1606.47;0.00
0.24;12.08;38.01;3040.74;2071.56;-969.18;0.00
0.21;10.05;49.01;3920.68;1774.18;-2146.50;0.00
0.27;10.65;36.29;2903.34;2134.93;-768.41;0.00
0.23;11.93;37.69;3015.35;1976.51;-1038.84;0.00
0.28;11.25;37.97;3037.78;2222.98;-814.80;0.00
0.27;11.72;45.56;3645.01;2217.46;-1427.55;0.00
0.26;10.86;34.50;2760.04;2089.10;-670.95;0.00
0.25;8.84;39.75;3180.11;1935.85;-1244.26;0.00
0.23;10.09;40.17;3213.41;1901.31;-1312.10;0.00
0.24;10.64;37.86;3029.18;1985.88;-1043.30;0.00
0.22;11.76;45.85;3667.64;1901.86;-1765.78;0.00
0.26;11.05;39.97;3197.40;2107.17;-1090.24;0.00
0.27;8.38;41.18;3294.52;2025.33;-1269.19;0.00
0.23;11.28;37.18;2974.51;1933.24;-1041.27;0.00
0.25;10.12;31.93;2554.22;1999.95;-554.26;0.00
0.21;9.91;46.59;3726.90;1775.50;-1951.39;0.00
0.26;9.51;37.11;2968.49;2013.12;-955.37;0.00
0.23;9.11;48.51;3880.84;1825.91;-2054.93;0.00
0.22;9.69;36.67;2933.73;1783.89;-1149.84;0.00
0.25;7.29;48.15;3851.66;1859.14;-1992.52;0.00
0.26;11.03;40.28;3222.54;2124.43;-1098.12;0.00
0.27;10.90;44.25;3539.70;2170.00;-1369.70;0.00
0.24;9.33;37.87;3029.78;1889.37;-1140.41;0.00
0.27;10.25;41.05;3283.78;2134.51;-1149.27;0.00
0.27;11.15;37.60;3007.98;2181.20;-826.79;0.00
0.25;11.32;42.66;3412.83;2094.63;-1318.20;0.00
0.29;10.56;43.97;3517.69;2262.28;-1255.41;0.00
0.25;9.54;41.86;3349.01;1954.94;-1394.07;0.00
0.27;11.49;42.02;3361.53;2222.19;-1139.34;0.00
0.22;10.26;45.71;3656.69;1836.18;-1820.51;0.00
0.24;11.49;33.63;2690.00;2001.87;-688.13;0.00
0.25;10.43;42.23;3378.27;2012.21;-1366.06;0.00
0.22;7.63;38.88;3110.19;1679.99;-1430.20;0.00
0.29;10.80;33.14;2650.83;2248.60;-402.23;0.00
0.22;8.29;41.37;3309.51;1719.88;-1589.63;0.00
0.23;9.85;43.07;3445.40;1880.03;-1565.37;0.00
0.24;12.43;41.16;3293.17;2047.36;-1245.81;0.00
0.25;9.86;40.49;3238.95;1992.27;-1246.69;0.00
0.23;9.95;43.19;3455.11;1861.99;-1593.12;0.00
0.25;9.61;43.96;3516.57;1954.54;-1562.03;0.00
0.26;10.74;43.35;3467.73;2074.55;-1393.18;0.00
0.24;10.39;43.76;3501.16;1950.08;-1551.08;0.00
0.25;7.10;41.18;3294.17;1851.34;-1442.83;0.00
0.26;11.51;33.06;2644.59;2136.82;-507.78;0.00
0.24;8.82;32.57;2605.44;1892.20;-713.24;0.00
0.23;11.42;46.28;3702.68;1937.58;-1765.11;0.00
0.28;10.53;39.54;3163.46;2177.03;-986.43;0.00
0.25;10.25;36.67;2933.51;2001.05;-932.47;0.00
0.28;11.39;49.89;3991.03;2266.78;-1724.25;0.00
0.26;10.45;31.08;2486.15;2077.22;-408.93;0.00
0.21;7.49;43.44;3475.27;1603.69;-1871.58;0.00
0.23;9.68;37.23;2978.14;1855.30;-1122.85;0.00
0.27;8.85;30.91;2472.80;2039.10;-433.70;0.00
0.27;9.69;42.47;3397.46;2126.13;-1271.33;0.00
0.26;10.14;36.42;2913.80;2042.72;-871.09;0.00
0.30;12.35;40.94;3274.90;2390.57;-884.33;0.00
0.26;10.86;37.70;3016.37;2127.63;-888.74;0.00
0.26;10.42;40.15;3211.95;2074.52;-1137.43;0.00
0.26;11.32;40.01;3200.69;2105.09;-1095.60;0.00
0.24;9.29;42.10;3368.00;1884.86;-1483.14;0.00
0.25;9.80;42.74;3418.84;2001.52;-1417.32;0.00
