# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
197024249687.49;259428869.44;12856.34;0.97;0.95;136.16;6.13;94.05;7.31;3110.94;32134.78;32134.78;32134.78;32134.78;32134.78;126727.85;126727.85;126727.85;126727.85;126727.85;0.01;0.01;0.01;0.01;0.01;22544.14;14922.31;15750.03;16244.57;16617.03;17714.53;14635.70;15034.94;15223.34;15147.24;0.00;0.00;0.00;0.00;0.00;-9590.64;-17212.47;-16384.75;-15890.21;-15517.75;-109013.32;-112092.15;-111692.91;-111504.51;-111580.61;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
189243028524.88;246871641.07;13651.89;0.96;0.99;138.63;6.04;97.05;7.65;1787.50;32702.52;32702.52;32702.52;32702.52;32702.52;119372.08;119372.08;119372.08;119372.08;119372.08;0.01;0.01;0.01;0.01;0.01;23340.85;15011.61;15929.47;16467.62;16829.17;18132.69;14782.26;15216.71;15421.72;15338.91;0.00;0.00;0.00;0.00;0.00;-9361.67;-17690.91;-16773.04;-16234.90;-15873.35;-101239.39;-104589.83;-104155.37;-103950.37;-104033.18;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
195009146368.26;257898389.12;14934.77;0.97;1.00;139.40;5.67;99.29;7.52;3430.03;34318.61;34318.61;34318.61;34318.61;34318.61;118691.41;118691.41;118691.41;118691.41;118691.41;0.01;0.01;0.01;0.01;0.01;27613.32;18117.13;19153.85;19769.12;20215.89;21621.66;17790.98;18287.71;18522.10;18427.42;0.00;0.00;0.00;0.00;0.00;-6705.29;-16201.48;-15164.76;-14549.49;-14102.72;-97069.75;-100900.42;-100403.70;-100169.31;-100263.99;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201046189250.72;257574035.41;14083.60;0.97;0.99;123.95;5.92;100.66;6.22;2836.03;26047.09;26047.09;26047.09;26047.09;26047.09;110130.33;110130.33;110130.33;110130.33;110130.33;0.01;0.01;0.01;0.01;0.01;23217.47;16908.58;17546.97;17964.36;18432.52;18974.70;16376.47;16713.40;16872.40;16808.18;0.00;0.00;0.00;0.00;0.00;-2829.62;-9138.51;-8500.12;-8082.73;-7614.58;-91155.63;-93753.86;-93416.93;-93257.92;-93322.15;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
217108468070.06;246369808.22;14067.30;1.02;0.99;123.85;5.54;101.86;7.61;3239.76;31028.97;31028.97;31028.97;31028.97;31028.97;103819.34;103819.34;103819.34;103819.34;103819.34;0.02;0.02;0.02;0.02;0.02;25139.37;16892.66;17779.93;18316.39;18746.30;19873.52;16533.98;16967.03;17171.40;17088.85;0.00;0.00;0.00;0.00;0.00;-5889.60;-14136.31;-13249.04;-12712.58;-12282.67;-83945.82;-87285.36;-86852.30;-86647.94;-86730.49;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
188660806497.68;241755502.77;15349.89;0.98;1.01;140.74;5.91;96.50;6.51;685.80;28882.94;28882.94;28882.94;28882.94;28882.94;118261.87;118261.87;118261.87;118261.87;118261.87;0.01;0.01;0.01;0.01;0.01;23710.35;16061.41;16881.56;17379.73;17790.93;18805.25;15703.74;16105.92;16295.70;16219.04;0.00;0.00;0.00;0.00;0.00;-5172.60;-12821.53;-12001.39;-11503.22;-11092.01;-99456.62;-102558.13;-102155.95;-101966.17;-102042.83;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
184932766187.02;250995460.78;12943.06;1.08;0.97;141.99;5.69;101.91;6.58;1553.87;34738.05;34738.05;34738.05;34738.05;34738.05;131218.82;131218.82;131218.82;131218.82;131218.82;0.02;0.02;0.02;0.02;0.02;21156.69;13834.21;14634.95;15109.15;15448.96;16543.84;13591.49;13974.32;14154.97;14082.00;0.00;0.00;0.00;0.00;0.00;-13581.36;-20903.84;-20103.10;-19628.90;-19289.09;-114674.98;-117627.33;-117244.50;-117063.85;-117136.82;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
190295155418.84;256576995.18;13240.21;1.01;1.01;134.70;5.47;107.60;7.13;1101.55;34601.48;34601.48;34601.48;34601.48;34601.48;114478.67;114478.67;114478.67;114478.67;114478.67;0.02;0.02;0.02;0.02;0.02;22165.07;14252.75;15124.53;15635.74;15979.17;17217.97;14035.28;14447.98;14642.73;14564.06;0.00;0.00;0.00;0.00;0.00;-12436.41;-20348.73;-19476.95;-18965.73;-18622.31;-97260.70;-100443.39;-100030.69;-99835.94;-99914.60;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
184606354173.25;258945231.12;13590.57;1.04;0.97;132.34;6.11;101.19;7.03;1088.42;33965.09;33965.09;33965.09;33965.09;33965.09;130843.05;130843.05;130843.05;130843.05;130843.05;0.02;0.02;0.02;0.02;0.02;20885.86;14146.21;14868.37;15307.35;15670.07;16564.09;13831.23;14185.61;14352.84;14285.29;0.00;0.00;0.00;0.00;0.00;-13079.24;-19818.89;-19096.72;-18657.74;-18295.03;-114278.96;-117011.82;-116657.44;-116490.21;-116557.76;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
207501157868.95;255831606.64;14556.56;1.00;1.01;147.11;5.77;95.48;7.73;1845.66;37191.48;37191.48;37191.48;37191.48;37191.48;130246.63;130246.63;130246.63;130246.63;130246.63;0.01;0.01;0.01;0.01;0.01;26649.18;15908.80;17127.57;17815.39;18160.81;20118.81;15836.12;16391.45;16653.48;16547.63;0.00;0.00;0.00;0.00;0.00;-10542.30;-21282.68;-20063.91;-19376.09;-19030.67;-110127.82;-114410.51;-113855.18;-113593.16;-113699.00;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
