# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
192523664181.13;246763801.45;10632.07;31271.70;108513.26;0.01;27598.20;10513.58;37.26;-3673.50;-97999.68;0.36;0.00;0.00;1.00
223510674162.68;302564019.12;9554.43;38343.11;133051.15;0.01;27598.20;10513.58;37.26;-10744.91;-122537.57;0.36;0.00;0.00;1.00
215488735696.61;217943575.42;11494.23;27619.39;95839.70;0.01;27598.20;10513.58;37.26;-21.19;-85326.12;0.36;0.00;0.00;1.00
227683231759.18;232660850.75;12121.35;29484.48;102311.55;0.01;27598.20;10513.58;37.26;-1886.28;-91797.97;0.36;0.00;0.00;1.00
205973953153.74;231995071.15;9017.05;29400.10;102018.78;0.01;27598.20;10513.58;37.26;-1801.90;-91505.20;0.36;0.00;0.00;1.00
209601394601.01;255789349.15;11044.54;32415.49;112482.20;0.01;27598.20;10513.58;37.26;-4817.29;-101968.62;0.36;0.00;0.00;1.00
180429855330.38;268150885.35;11284.63;33982.03;117918.13;0.01;27598.20;10513.58;37.26;-6383.83;-107404.55;0.36;0.00;0.00;1.00
210775797988.67;212665141.06;8470.39;26950.47;93518.53;0.01;27598.20;10513.58;37.26;647.73;-83004.95;0.36;1.00;0.00;1.00
233783125909.41;227075865.41;9849.23;28776.71;99855.58;0.01;27598.20;10513.58;37.26;-1178.51;-89342.00;0.36;0.00;0.00;1.00
147295801426.69;190254448.59;9457.74;24110.43;83663.53;0.01;27598.20;10513.58;37.26;3487.77;-73149.95;0.36;1.00;0.00;1.00
