# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
180448643282.76;266238537.83;9994.57;36305255158.92;1.00;1.50;17559.39;1650.30;-0.00;-36305237599.53;1649.30;-1.50;0.00;1.00;0.00
232555841320.82;308760900.70;7282.21;42103759186.67;1.00;1.50;17559.39;1650.30;-0.00;-42103741627.28;1649.30;-1.50;0.00;1.00;0.00
198060453847.91;239864875.66;9086.73;32708846681.01;1.00;1.50;17559.39;1650.30;-0.00;-32708829121.61;1649.30;-1.50;0.00;1.00;0.00
179454860904.13;262826289.59;11084.82;35839948580.20;1.00;1.50;17559.39;1650.30;-0.00;-35839931020.80;1649.30;-1.50;0.00;1.00;0.00
224344971010.36;236285088.24;9921.86;32220693851.48;1.00;1.50;17559.39;1650.30;-0.00;-32220676292.08;1649.30;-1.50;0.00;1.00;0.00
209173048738.84;252068910.95;9614.68;34373033311.55;1.00;1.50;17559.39;1650.30;-0.00;-34373015752.15;1649.30;-1.50;0.00;1.00;0.00
189009306632.16;227390607.51;10152.46;31007810115.55;1.00;1.50;17559.39;1650.30;-0.00;-31007792556.15;1649.30;-1.50;0.00;1.00;0.00
206574313193.47;244067116.84;10120.37;33281879568.74;1.00;1.50;17559.39;1650.30;-0.00;-33281862009.35;1649.30;-1.50;0.00;1.00;0.00
230244431067.68;220153188.84;9259.54;30020889387.34;1.00;1.50;17559.39;1650.30;-0.00;-30020871827.95;1649.30;-1.50;0.00;1.00;0.00
208733763146.66;244688936.17;11064.10;33366673114.60;1.00;1.50;17559.39;1650.30;-0.00;-33366655555.21;1649.30;-1.50;0.00;1.00;0.00
