# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
181339805419.90;250640372.16;18164.39;1.02;1.05;139.45;6.25;99.32;7.42;133.51;967.92;30979.25;30979.25;30979.25;30979.25;30979.25;121327.59;121327.59;121327.59;121327.59;121327.59;0.02;0.02;0.02;0.02;0.02;19848.82;20427.92;20151.38;20151.38;20871.22;19057.29;19057.29;19057.29;19057.29;19057.29;0.00;0.00;0.00;0.00;0.00;-11130.43;-10551.33;-10827.87;-10827.87;-10108.03;-102270.30;-102270.30;-102270.30;-102270.30;-102270.30;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
197881605666.34;259533503.71;21135.69;0.98;1.01;141.19;5.29;102.29;7.37;139.87;917.25;32394.48;32394.48;32394.48;32394.48;32394.48;103747.99;103747.99;103747.99;103747.99;103747.99;0.01;0.01;0.01;0.01;0.01;22235.66;22884.49;22574.51;22574.51;23381.10;21348.95;21348.95;21348.95;21348.95;21348.95;0.00;0.00;0.00;0.00;0.00;-10158.82;-9509.99;-9819.97;-9819.97;-9013.39;-82399.03;-82399.03;-82399.03;-82399.03;-82399.03;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
199071291449.81;268183100.32;18729.81;1.08;1.01;131.55;5.72;99.72;7.79;142.25;985.31;37419.41;37419.41;37419.41;37419.41;37419.41;118687.50;118687.50;118687.50;118687.50;118687.50;0.02;0.02;0.02;0.02;0.02;19790.58;20367.78;20092.45;20092.45;20809.76;19001.34;19001.34;19001.34;19001.34;19001.34;0.00;0.00;0.00;0.00;0.00;-17628.83;-17051.63;-17326.96;-17326.96;-16609.65;-99686.16;-99686.16;-99686.16;-99686.16;-99686.16;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
190877165826.93;266704251.36;18607.33;0.98;0.98;154.03;5.91;107.96;7.10;132.63;968.64;31573.08;31573.08;31573.08;31573.08;31573.08;130068.93;130068.93;130068.93;130068.93;130068.93;0.01;0.01;0.01;0.01;0.01;18945.56;19498.52;19234.14;19234.14;19921.66;18190.07;18190.07;18190.07;18190.07;18190.07;0.00;0.00;0.00;0.00;0.00;-12627.52;-12074.55;-12338.94;-12338.94;-11651.42;-111878.86;-111878.86;-111878.86;-111878.86;-111878.86;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
224772912082.27;221236386.25;20412.63;1.00;1.00;137.25;5.70;95.01;6.34;137.02;1018.66;27441.52;27441.52;27441.52;27441.52;27441.52;93965.44;93965.44;93965.44;93965.44;93965.44;0.01;0.01;0.01;0.01;0.01;21268.33;21887.39;21593.99;21593.99;22362.29;20420.03;20420.03;20420.03;20420.03;20420.03;0.00;0.00;0.00;0.00;0.00;-6173.19;-5554.13;-5847.53;-5847.53;-5079.23;-73545.41;-73545.41;-73545.41;-73545.41;-73545.41;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
216690869005.51;269035181.63;20757.77;0.95;1.01;136.76;5.62;102.07;7.09;140.14;922.32;32727.04;32727.04;32727.04;32727.04;32727.04;107644.37;107644.37;107644.37;107644.37;107644.37;0.01;0.01;0.01;0.01;0.01;21876.66;22514.87;22210.19;22210.19;23003.45;21004.25;21004.25;21004.25;21004.25;21004.25;0.00;0.00;0.00;0.00;0.00;-10850.38;-10212.16;-10516.85;-10516.85;-9723.59;-86640.11;-86640.11;-86640.11;-86640.11;-86640.11;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
182780550951.25;255422390.60;16406.91;0.98;0.97;132.43;6.02;104.84;7.04;139.96;894.93;31980.73;31980.73;31980.73;31980.73;31980.73;109341.82;109341.82;109341.82;109341.82;109341.82;0.01;0.01;0.01;0.01;0.01;16571.62;17055.33;16824.00;16824.00;17425.44;15910.80;15910.80;15910.80;15910.80;15910.80;0.00;0.00;0.00;0.00;0.00;-15409.11;-14925.40;-15156.73;-15156.73;-14555.29;-93431.03;-93431.03;-93431.03;-93431.03;-93431.03;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
202845273330.78;244749609.11;20052.93;0.99;1.01;147.31;5.90;105.63;7.44;130.85;903.00;28681.94;28681.94;28681.94;28681.94;28681.94;114246.12;114246.12;114246.12;114246.12;114246.12;0.01;0.01;0.01;0.01;0.01;20995.66;21608.85;21315.08;21315.08;22077.79;20158.46;20158.46;20158.46;20158.46;20158.46;0.00;0.00;0.00;0.00;0.00;-7686.28;-7073.09;-7366.86;-7366.86;-6604.15;-94087.66;-94087.66;-94087.66;-94087.66;-94087.66;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
193684221870.45;277400097.88;20411.79;0.97;1.00;136.09;5.92;103.01;6.85;127.95;942.01;31409.91;31409.91;31409.91;31409.91;31409.91;118758.23;118758.23;118758.23;118758.23;118758.23;0.01;0.01;0.01;0.01;0.01;21164.91;21782.24;21487.71;21487.71;22254.92;20320.88;20320.88;20320.88;20320.88;20320.88;0.00;0.00;0.00;0.00;0.00;-10244.99;-9627.66;-9922.20;-9922.20;-9154.99;-98437.35;-98437.35;-98437.35;-98437.35;-98437.35;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
181572820303.82;239913932.00;20412.17;1.02;0.98;145.54;5.74;103.20;7.21;139.42;925.99;30947.39;30947.39;30947.39;30947.39;30947.39;111271.47;111271.47;111271.47;111271.47;111271.47;0.02;0.02;0.02;0.02;0.02;20835.40;21443.49;21152.79;21152.79;21908.83;20004.54;20004.54;20004.54;20004.54;20004.54;0.00;0.00;0.00;0.00;0.00;-10111.99;-9503.90;-9794.60;-9794.60;-9038.56;-91266.93;-91266.93;-91266.93;-91266.93;-91266.93;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
