# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
194670693487.98;247008464.21;22436.72;0.97;0.93;146.03;6.09;106.68;6.60;136.94;924.58;29958.38;29958.38;29958.38;29958.38;29958.38;116744.01;116744.01;116744.01;116744.01;116744.01;0.01;0.01;0.01;0.01;0.01;21639.92;22271.43;21969.62;21969.62;22754.73;20776.97;20776.97;20776.97;20776.97;20776.97;0.00;0.00;0.00;0.00;0.00;-8318.46;-7686.95;-7988.76;-7988.76;-7203.65;-95967.03;-95967.03;-95967.03;-95967.03;-95967.03;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
196369591193.16;250553489.73;21182.22;1.01;1.01;139.95;5.90;108.27;7.04;140.74;960.90;32280.88;32280.88;32280.88;32280.88;32280.88;113633.04;113633.04;113633.04;113633.04;113633.04;0.02;0.02;0.02;0.02;0.02;22343.87;22995.82;22684.40;22684.40;23494.84;21452.84;21452.84;21452.84;21452.84;21452.84;0.00;0.00;0.00;0.00;0.00;-9937.01;-9285.05;-9596.47;-9596.47;-8786.03;-92180.19;-92180.19;-92180.19;-92180.19;-92180.19;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
216170065770.60;238738395.28;22401.93;1.04;1.00;146.41;5.68;98.33;7.04;145.18;894.99;32616.27;32616.27;32616.27;32616.27;32616.27;112103.73;112103.73;112103.73;112103.73;112103.73;0.02;0.02;0.02;0.02;0.02;23280.65;23960.02;23635.37;23635.37;24479.97;22352.27;22352.27;22352.27;22352.27;22352.27;0.00;0.00;0.00;0.00;0.00;-9335.63;-8656.25;-8980.90;-8980.90;-8136.30;-89751.46;-89751.46;-89751.46;-89751.46;-89751.46;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
198581705088.49;260238735.42;18315.62;0.97;0.97;145.03;5.56;97.02;7.28;133.87;920.25;30844.74;30844.74;30844.74;30844.74;30844.74;111524.33;111524.33;111524.33;111524.33;111524.33;0.01;0.01;0.01;0.01;0.01;18494.32;19033.88;18776.25;18776.25;19446.92;17756.80;17756.80;17756.80;17756.80;17756.80;0.00;0.00;0.00;0.00;0.00;-12350.42;-11810.86;-12068.48;-12068.48;-11397.82;-93767.53;-93767.53;-93767.53;-93767.53;-93767.53;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
220800618821.92;249500167.19;22101.99;0.96;0.95;139.73;6.00;114.00;6.44;142.36;1024.76;31149.36;31149.36;31149.36;31149.36;31149.36;110116.45;110116.45;110116.45;110116.45;110116.45;0.01;0.01;0.01;0.01;0.01;21780.38;22415.37;22112.86;22112.86;22901.77;20911.77;20911.77;20911.77;20911.77;20911.77;0.00;0.00;0.00;0.00;0.00;-9368.98;-8733.99;-9036.50;-9036.50;-8247.59;-89204.68;-89204.68;-89204.68;-89204.68;-89204.68;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
189049225116.39;268232364.96;20420.53;0.98;1.05;144.32;5.97;103.77;7.57;140.06;952.39;33546.83;33546.83;33546.83;33546.83;33546.83;123877.49;123877.49;123877.49;123877.49;123877.49;0.01;0.01;0.01;0.01;0.01;22410.86;23065.05;22752.15;22752.15;23565.58;21517.20;21517.20;21517.20;21517.20;21517.20;0.00;0.00;0.00;0.00;0.00;-11135.96;-10481.78;-10794.68;-10794.68;-9981.25;-102360.30;-102360.30;-102360.30;-102360.30;-102360.30;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
173244586740.48;257889885.59;19728.90;1.02;1.02;140.73;6.33;102.25;6.76;143.60;987.00;34406.63;34406.63;34406.63;34406.63;34406.63;128001.47;128001.47;128001.47;128001.47;128001.47;0.02;0.02;0.02;0.02;0.02;20878.37;21487.20;21196.93;21196.93;21953.47;20045.75;20045.75;20045.75;20045.75;20045.75;0.00;0.00;0.00;0.00;0.00;-13528.26;-12919.43;-13209.70;-13209.70;-12453.16;-107955.72;-107955.72;-107955.72;-107955.72;-107955.72;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
182763489283.18;261597769.09;18127.96;1.02;1.00;137.89;6.13;104.67;7.18;129.24;908.01;31341.44;31341.44;31341.44;31341.44;31341.44;122970.24;122970.24;122970.24;122970.24;122970.24;0.02;0.02;0.02;0.02;0.02;18855.73;19406.20;19142.81;19142.81;19827.33;18103.83;18103.83;18103.83;18103.83;18103.83;0.00;0.00;0.00;0.00;0.00;-12485.71;-11935.24;-12198.63;-12198.63;-11514.11;-104866.41;-104866.41;-104866.41;-104866.41;-104866.41;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
219485918097.11;272612999.09;25316.02;0.97;1.00;151.71;5.44;106.41;7.03;141.78;925.45;33973.52;33973.52;33973.52;33973.52;33973.52;118695.86;118695.86;118695.86;118695.86;118695.86;0.01;0.01;0.01;0.01;0.01;26421.66;27192.79;26824.16;26824.16;27782.89;25368.04;25368.04;25368.04;25368.04;25368.04;0.00;0.00;0.00;0.00;0.00;-7551.86;-6780.73;-7149.37;-7149.37;-6190.63;-93327.82;-93327.82;-93327.82;-93327.82;-93327.82;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
208545981445.84;240261175.09;20172.10;1.03;1.03;135.76;5.95;103.82;7.23;142.40;899.63;32121.14;32121.14;32121.14;32121.14;32121.14;109251.13;109251.13;109251.13;109251.13;109251.13;0.02;0.02;0.02;0.02;0.02;21648.77;22280.73;21978.42;21978.42;22764.24;20785.50;20785.50;20785.50;20785.50;20785.50;0.00;0.00;0.00;0.00;0.00;-10472.37;-9840.41;-10142.72;-10142.72;-9356.90;-88465.63;-88465.63;-88465.63;-88465.63;-88465.63;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
