# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.28;10.33;37.69;3014.98;2187.47;-827.50;0.00
0.27;8.31;37.83;3026.63;2023.32;-1003.31;0.00
0.24;9.52;37.47;2997.79;1939.39;-1058.40;0.00
0.19;11.58;37.37;2989.68;1732.98;-1256.70;0.00
0.26;10.51;37.93;3034.12;2068.78;-965.34;0.00
0.29;8.11;41.71;3336.42;2119.83;-1216.59;0.00
0.23;11.88;40.15;3212.31;2008.95;-1203.36;0.00
0.24;9.10;40.17;3213.60;1867.05;-1346.55;0.00
0.30;12.47;37.67;3013.97;2444.18;-569.79;0.00
0.22;11.27;44.63;3570.02;1887.24;-1682.78;0.00
0.28;10.93;37.43;2994.18;2203.09;-791.09;0.00
0.25;10.01;41.18;3294.19;2019.08;-1275.11;0.00
0.27;10.93;42.06;3365.05;2161.16;-1203.89;0.00
0.27;10.60;47.75;3820.11;2124.76;-1695.35;0.00
0.27;9.76;41.82;3345.82;2095.87;-1249.95;0.00
0.24;9.54;42.67;3413.23;1928.50;-1484.73;0.00
0.26;9.88;40.02;3201.49;2025.59;-1175.90;0.00
0.24;9.04;48.68;3894.34;1888.62;-2005.72;0.00
0.26;10.36;42.23;3378.25;2080.32;-1297.93;0.00
0.23;11.46;42.81;3424.63;1970.09;-1454.54;0.00
0.28;10.99;42.53;3402.30;2207.35;-1194.95;0.00
0.26;11.46;46.83;3746.24;2138.69;-1607.55;0.00
0.29;9.57;33.82;2705.84;2185.12;-520.72;0.00
0.27;8.96;47.21;3776.94;2040.26;-1736.69;0.00
0.26;13.39;40.28;3222.22;2238.21;-984.00;0.00
0.24;11.79;33.99;2719.56;2033.65;-685.91;0.00
0.27;10.36;41.41;3313.20;2114.24;-1198.96;0.00
0.22;8.77;33.03;2642.07;1784.20;-857.86;0.00
0.29;10.86;44.54;3563.12;2289.92;-1273.20;0.00
0.26;10.17;43.31;3465.18;2082.86;-1382.32;0.00
0.28;9.49;40.89;3270.92;2152.61;-1118.31;0.00
0.25;11.06;39.12;3129.53;2066.74;-1062.79;0.00
0.22;7.11;41.73;3338.12;1668.45;-1669.67;0.00
0.24;12.48;39.60;3168.14;2084.05;-1084.09;0.00
0.24;10.08;40.93;3274.14;1921.80;-1352.34;0.00
0.25;12.11;43.87;3509.81;2134.83;-1374.98;0.00
0.28;9.94;38.03;3042.05;2180.47;-861.57;0.00
0.27;10.54;38.21;3056.89;2166.02;-890.87;0.00
0.25;11.39;40.08;3206.48;2064.87;-1141.62;0.00
0.29;11.48;32.46;2596.82;2285.39;-311.42;0.00
0.28;9.72;34.13;2730.38;2143.62;-586.76;0.00
0.28;10.26;35.95;2876.15;2186.05;-690.10;0.00
0.22;9.00;40.77;3261.90;1775.76;-1486.13;0.00
0.23;11.02;42.25;3380.20;1955.62;-1424.58;0.00
0.27;9.53;40.29;3222.88;2070.37;-1152.51;0.00
0.22;8.64;42.98;3438.70;1768.48;-1670.22;0.00
0.23;9.86;41.73;3338.76;1860.80;-1477.95;0.00
0.25;10.63;38.04;3042.82;2012.44;-1030.38;0.00
0.24;9.13;38.05;3044.06;1877.34;-1166.72;0.00
0.29;9.93;34.30;2743.91;2232.87;-511.04;0.00
0.28;9.90;45.52;3641.71;2184.91;-1456.80;0.00
0.28;8.33;37.44;2995.18;2053.81;-941.37;0.00
0.26;10.41;44.74;3579.26;2090.75;-1488.51;0.00
0.21;11.39;44.02;3521.77;1850.27;-1671.50;0.00
0.30;10.55;36.88;2950.22;2346.59;-603.63;0.00
0.25;9.42;40.27;3221.62;1955.22;-1266.41;0.00
0.25;10.91;35.71;2856.91;2037.50;-819.41;0.00
0.24;8.57;36.33;2906.46;1835.22;-1071.24;0.00
0.24;10.75;44.26;3540.87;1992.89;-1547.98;0.00
0.26;10.99;43.77;3502.00;2089.71;-1412.29;0.00
0.25;9.76;40.62;3249.52;1991.73;-1257.79;0.00
0.28;9.25;37.59;3007.46;2160.04;-847.42;0.00
0.28;7.47;28.26;2261.06;2010.27;-250.79;0.00
0.27;11.71;37.71;3016.81;2204.52;-812.28;0.00
0.25;10.61;35.83;2866.58;2031.68;-834.91;0.00
0.29;9.61;43.06;3444.78;2191.37;-1253.41;0.00
0.24;8.92;43.76;3501.19;1882.25;-1618.93;0.00
0.28;9.37;45.49;3639.01;2156.82;-1482.18;0.00
0.21;9.92;36.21;2896.98;1774.84;-1122.13;0.00
0.26;9.52;42.88;3430.10;2035.64;-1394.46;0.00
0.25;10.75;50.18;4014.09;2050.87;-1963.22;0.00
0.27;10.16;40.21;3216.58;2147.32;-1069.25;0.00
0.21;8.86;41.78;3342.72;1732.01;-1610.71;0.00
0.23;10.19;44.92;3593.27;1882.31;-1710.96;0.00
0.24;10.02;41.43;3314.13;1929.59;-1384.54;0.00
0.22;9.88;39.10;3128.27;1824.11;-1304.16;0.00
0.28;8.90;32.68;2614.50;2107.76;-506.75;0.00
0.24;11.07;45.96;3677.00;2019.58;-1657.41;0.00
0.22;12.57;40.69;3255.01;1956.39;-1298.61;0.00
0.26;10.09;47.87;3829.62;2035.37;-1794.25;0.00
0.25;9.78;33.80;2704.26;1990.06;-714.20;0.00
0.25;10.54;37.45;2996.28;2014.42;-981.85;0.00
0.28;11.98;36.65;2932.12;2274.51;-657.61;0.00
0.28;10.50;46.68;3734.16;2186.00;-1548.16;0.00
0.25;12.13;39.39;3151.51;2132.01;-1019.50;0.00
0.27;9.75;39.96;3196.69;2111.32;-1085.37;0.00
0.23;10.80;34.25;2739.72;1944.98;-794.73;0.00
0.29;9.92;40.06;3204.45;2197.76;-1006.68;0.00
