# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
435;951;3;3;3;2;2;0;1;1;1
609;914;2;2;3;2;2;0;0;1;1
632;975;2;2;3;2;2;0;0;1;1
564;1106;2;2;3;2;2;0;0;1;1
484;974;3;3;3;2;2;0;1;1;1
366;1080;2;2;3;1;1;0;1;1;1
415;1050;2;2;3;2;2;0;0;1;1
465;1005;2;2;3;2;2;0;0;1;1
442;901;2;2;3;2;2;0;0;1;1
546;1009;2;2;3;2;2;0;0;1;1
338;1002;2;2;3;1;1;1;1;1;1
429;959;2;2;2;2;2;0;0;1;1
522;844;2;2;2;2;2;0;0;1;1
495;1025;2;2;2;2;2;0;0;1;1
303;987;3;3;3;1;1;1;1;1;1
591;1050;2;2;2;2;2;0;0;0;1
476;1104;3;3;4;2;2;1;1;1;1
439;1062;2;2;3;2;2;0;0;1;1
416;1003;2;2;2;2;2;0;0;1;1
534;927;3;3;3;2;2;0;0;1;1
505;954;3;3;3;2;2;0;1;1;1
478;1128;3;3;3;2;2;0;0;1;1
322;923;3;3;3;1;1;1;1;1;1
554;887;3;3;3;2;2;0;0;1;1
509;949;2;2;3;2;2;0;0;1;1
497;952;3;3;3;2;2;0;1;1;1
391;1052;2;2;3;1;2;0;1;1;1
395;927;3;3;3;1;2;1;1;1;1
302;1041;3;3;3;1;1;1;2;1;1
542;906;2;2;2;2;2;0;0;1;1
318;882;3;3;3;1;1;1;1;1;1
538;937;3;3;3;2;2;0;0;1;1
579;1005;2;2;3;2;2;0;0;1;1
588;891;3;3;3;2;2;0;0;1;1
533;941;2;2;3;2;2;0;0;1;1
389;850;2;2;3;1;1;0;1;1;1
409;1050;3;3;3;2;2;1;1;1;1
488;979;2;2;2;2;2;0;0;1;1
471;909;3;3;3;2;2;0;1;1;1
456;1120;3;3;3;2;2;1;1;1;1
447;963;2;2;2;2;2;0;0;1;1
514;983;2;2;2;2;2;0;0;1;1
474;981;3;3;3;2;2;1;1;1;1
615;766;2;2;2;2;2;0;0;0;0
366;831;3;3;3;1;1;1;1;1;1
399;1009;2;2;3;1;2;0;1;1;1
472;941;3;3;3;2;2;0;1;1;1
511;973;2;2;2;2;2;0;0;1;1
445;1030;3;3;3;2;2;0;1;1;1
448;1045;3;3;3;2;2;0;1;1;1
468;1019;2;2;2;2;2;0;0;1;1
546;1121;3;3;3;2;2;1;1;1;1
516;1113;2;2;3;2;2;0;0;1;1
698;982;2;2;2;3;3;0;0;0;0
365;1192;2;2;2;1;2;0;0;1;1
467;1319;2;2;3;2;2;0;0;1;1
539;1114;2;2;3;2;2;0;0;1;1
507;904;3;3;3;2;2;0;1;1;1
508;1006;2;2;2;2;2;0;0;1;1
574;955;3;3;3;2;2;1;1;1;1
550;1073;3;3;3;2;2;0;0;1;1
500;1054;2;2;2;2;2;0;0;1;1
467;1051;2;2;3;2;2;0;0;1;1
458;1072;2;2;3;2;2;0;0;1;1
625;1011;2;2;2;2;2;0;0;0;0
340;932;3;3;3;1;1;1;1;1;1
401;877;3;3;3;1;2;1;1;1;1
575;927;3;3;3;2;2;0;0;1;1
410;1205;3;3;3;2;2;0;1;1;1
455;1083;3;3;4;2;2;1;1;1;1
571;953;3;3;3;2;2;0;0;1;1
497;893;3;3;3;2;2;0;0;1;1
466;950;3;3;3;2;2;0;1;1;1
483;983;2;2;2;2;2;0;0;1;1
727;900;2;2;3;3;3;0;0;0;0
640;965;2;2;3;2;2;0;0;1;1
459;1131;2;2;2;2;2;0;0;1;1
409;954;3;3;3;1;2;1;1;1;1
632;1036;2;2;2;2;2;0;0;0;1
348;931;2;2;3;1;1;1;1;1;1
598;1063;3;3;3;2;2;0;0;1;1
387;878;3;3;3;1;1;1;1;1;1
368;1181;2;2;2;1;2;0;0;1;1
530;1051;2;2;3;2;2;0;0;1;1
556;962;3;3;3;2;2;0;1;1;1
454;1075;3;3;3;2;2;0;1;1;1
314;957;3;3;3;1;1;1;2;1;1
519;927;3;3;3;2;2;0;1;1;1
399;1077;3;3;3;2;2;1;1;1;1
459;1021;2;2;2;2;2;0;0;1;1
340;916;3;3;3;1;1;1;1;1;1
538;1086;3;3;4;2;2;1;1;1;1
647;895;2;2;3;2;2;0;0;0;1
594;1153;3;3;3;2;2;0;0;1;1
553;1052;3;3;3;2;2;0;0;1;1
546;794;2;2;3;2;2;0;0;1;1
432;1093;3;3;3;2;2;0;1;1;1
538;1200;3;3;3;2;2;0;0;1;1
522;996;3;3;3;2;2;0;0;1;1
538;1033;2;2;2;2;2;0;0;1;1
685;952;2;2;2;3;3;0;0;0;0
632;962;2;2;3;2;2;0;0;1;1
538;1145;3;3;3;2;2;0;1;1;1
641;1089;3;3;3;2;3;0;0;1;1
390;940;2;2;2;1;1;0;0;1;1
301;920;2;2;2;1;1;0;1;1;1
531;985;2;2;2;2;2;0;0;1;1
401;1252;3;3;3;2;2;1;1;1;1
467;987;3;3;3;2;2;1;1;1;1
521;955;3;3;3;2;2;0;0;1;1
445;1075;3;3;3;2;2;1;1;1;1
502;1039;3;3;3;2;2;0;0;1;1
601;996;3;3;3;2;2;0;0;1;1
387;1026;2;2;3;1;2;0;0;1;1
551;905;3;3;4;2;2;1;1;1;1
545;959;2;2;2;2;2;0;0;1;1
490;1153;3;3;3;2;2;0;0;1;1
429;1086;3;3;3;2;2;0;1;1;1
481;1027;2;2;3;2;2;0;0;1;1
361;965;3;3;3;1;1;1;1;1;1
453;1036;3;3;3;2;2;1;1;1;1
604;1017;2;2;2;2;2;0;0;0;1
622;1013;2;2;3;2;2;0;0;0;1
572;1057;3;3;3;2;2;0;0;1;1
502;1100;2;2;2;2;2;0;0;1;1
568;1058;3;3;3;2;2;0;0;1;1
598;889;2;2;2;2;2;0;0;1;1
388;849;3;3;3;1;1;1;1;1;1
691;1005;3;3;3;3;3;0;0;1;1
468;1094;2;2;3;2;2;0;0;1;1
195;1050;2;2;3;1;1;1;1;1;1
463;1027;2;2;2;2;2;0;0;1;1
614;1131;2;2;3;2;2;0;0;0;1
493;1163;2;2;2;2;2;0;0;0;0
546;1029;3;3;3;2;2;0;1;1;1
453;1175;3;3;3;2;2;1;1;1;1
460;1181;2;2;2;2;2;0;0;1;1
623;1096;3;3;3;2;2;0;0;1;1
671;1071;3;3;3;3;3;0;0;1;1
471;977;3;3;3;2;2;0;1;1;1
459;906;2;2;3;2;2;0;0;1;1
568;1052;2;2;3;2;2;0;0;1;1
441;979;2;2;2;2;2;0;0;1;1
624;916;2;2;3;2;2;0;0;1;1
522;959;3;3;3;2;2;0;1;1;1
649;1078;2;2;3;2;3;0;0;0;0
369;1026;3;3;3;1;1;1;1;1;1
624;1031;2;2;3;2;2;0;0;0;1
551;993;3;3;3;2;2;0;1;1;1
498;847;3;3;3;2;2;0;1;1;1
303;938;3;3;3;1;1;1;1;1;1
306;1004;3;3;3;1;1;1;1;1;1
382;944;3;3;3;1;1;1;1;1;1
404;1073;3;3;3;2;2;0;1;1;1
506;963;2;2;2;2;2;0;0;1;1
557;941;3;3;3;2;2;0;1;1;1
402;939;3;3;3;1;2;1;1;1;1
522;1045;3;3;3;2;2;0;0;1;1
347;1073;3;3;3;1;1;1;1;1;1
429;951;2;2;3;2;2;0;1;1;1
413;881;2;2;3;1;2;1;1;1;1
493;948;3;3;3;2;2;0;1;1;1
591;1124;2;2;2;2;2;0;0;0;1
486;938;3;3;3;2;2;0;1;1;1
494;935;2;2;3;2;2;0;0;1;1
528;915;2;2;3;2;2;0;0;1;1
425;1066;3;3;3;2;2;1;1;1;1
651;1095;2;2;3;2;3;0;0;1;1
601;973;3;3;3;2;2;0;0;1;1
426;1056;3;3;3;2;2;0;1;1;1
461;1054;3;3;3;2;2;0;1;1;1
350;1008;2;2;3;1;1;1;1;1;1
513;986;3;3;3;2;2;1;1;1;1
445;1127;3;3;3;2;2;1;1;1;1
546;987;3;3;3;2;2;0;0;1;1
463;1097;2;2;3;2;2;0;0;1;1
486;1141;3;3;3;2;2;0;1;1;1
613;795;3;3;3;2;2;0;0;1;1
456;1002;2;2;2;2;2;0;0;1;1
575;1179;2;2;3;2;2;0;0;1;1
567;1197;3;3;3;2;2;0;0;1;1
357;960;2;2;2;1;1;0;1;1;1
567;986;2;2;3;2;2;0;0;1;1
688;1067;3;3;3;3;3;0;0;1;1
513;1003;2;2;3;2;2;0;0;1;1
474;1055;3;3;3;2;2;0;1;1;1
386;979;3;3;3;1;2;1;1;1;1
523;1108;2;2;3;2;2;0;0;1;1
467;878;2;2;3;2;2;0;0;1;1
453;1049;2;2;3;2;2;0;0;1;1
415;934;2;2;3;1;2;0;1;1;1
583;1002;3;3;3;2;2;0;0;1;1
590;1255;3;3;3;2;2;0;0;1;1
718;970;2;2;2;3;3;0;0;0;0
561;773;2;2;2;2;2;0;0;1;1
389;1146;2;2;2;2;2;0;0;1;1
619;931;2;2;3;2;2;0;0;1;1
462;1093;2;2;2;2;2;0;0;1;1
450;1063;2;2;3;2;2;0;0;1;1
477;1051;3;3;3;2;2;0;1;1;1
334;904;3;3;3;1;1;1;1;1;1
520;962;2;2;3;2;2;0;0;1;1
533;891;2;2;3;2;2;0;0;1;1
512;1080;2;2;3;2;2;0;0;1;1
492;771;3;3;3;2;2;0;1;1;1
365;983;2;2;2;1;1;0;0;1;1
337;1269;3;3;3;1;2;1;1;1;1
617;883;2;2;2;2;2;0;0;0;1
517;958;3;3;3;2;2;1;1;1;1
375;994;2;2;2;1;1;0;0;1;1
560;978;3;3;3;2;2;0;0;1;1
361;929;2;2;3;1;1;1;1;1;1
586;919;2;2;2;2;2;0;0;1;1
454;934;3;3;3;2;2;1;1;1;1
500;1153;3;3;3;2;2;0;1;1;1
561;1128;3;3;3;2;2;0;0;1;1
514;1081;2;2;2;2;2;0;0;1;1
442;925;2;2;3;2;2;0;1;1;1
597;947;3;3;3;2;2;0;1;1;1
375;751;3;3;3;1;1;1;1;1;1
467;947;3;3;3;2;2;0;1;1;1
467;958;3;3;3;2;2;0;1;1;1
394;851;2;2;2;1;1;0;1;1;1
703;1043;2;2;2;3;3;0;0;0;0
599;1009;2;2;3;2;2;0;0;1;1
515;1107;2;2;3;2;2;0;0;1;1
537;1204;2;2;2;2;2;0;0;0;1
504;864;3;3;3;2;2;0;1;1;1
409;1022;2;2;3;2;2;0;0;1;1
459;1000;2;2;3;2;2;0;0;1;1
493;1089;3;3;3;2;2;0;0;1;1
625;1003;2;2;2;2;2;0;0;0;0
381;985;3;3;3;1;1;1;1;1;1
471;905;2;2;2;2;2;0;0;1;1
472;1018;2;2;3;2;2;0;0;1;1
558;1027;2;2;3;2;2;0;0;1;1
630;1138;3;3;3;2;3;0;0;1;1
680;871;2;2;3;2;3;0;0;0;0
465;1139;3;3;3;2;2;0;0;1;1
460;1047;3;3;3;2;2;0;1;1;1
507;953;2;2;3;2;2;0;0;1;1
568;975;2;2;2;2;2;0;0;1;1
508;1064;3;3;3;2;2;0;0;1;1
385;1221;3;3;3;2;2;1;1;1;1
617;969;3;3;3;2;2;0;0;1;1
491;1189;3;3;3;2;2;0;0;1;1
612;1150;3;3;3;2;2;0;0;1;1
540;1237;2;2;3;2;2;0;0;1;1
383;1055;2;2;2;1;2;0;0;1;1
603;1060;3;3;3;2;2;0;0;1;1
301;1114;3;3;3;1;1;1;1;1;1
