# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
193293677742.08;254004440.66;12287.64;0.96;0.97;144.99;5.27;102.98;7.05;2334.70;33848.82;33848.82;33848.82;33848.82;33848.82;112294.39;112294.39;112294.39;112294.39;112294.39;0.01;0.01;0.01;0.01;0.01;14761.06;15191.46;14986.34;14986.34;15521.10;14172.39;14172.39;14172.39;14172.39;14172.39;0.00;0.00;0.00;0.00;0.00;-19087.76;-18657.36;-18862.48;-18862.48;-18327.72;-98122.00;-98122.00;-98122.00;-98122.00;-98122.00;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
212661644477.43;236953286.84;15290.36;1.01;1.02;143.66;5.70;103.70;6.57;2118.16;31501.73;31501.73;31501.73;31501.73;31501.73;117488.31;117488.31;117488.31;117488.31;117488.31;0.02;0.02;0.02;0.02;0.02;18452.08;18990.37;18733.40;18733.40;19402.47;17716.24;17716.24;17716.24;17716.24;17716.24;0.00;0.00;0.00;0.00;0.00;-13049.66;-12511.36;-12768.33;-12768.33;-12099.27;-99772.08;-99772.08;-99772.08;-99772.08;-99772.08;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
197547973528.20;246692876.99;15293.01;1.01;1.02;135.81;5.49;97.25;6.90;1873.81;30180.22;30180.22;30180.22;30180.22;30180.22;111569.93;111569.93;111569.93;111569.93;111569.93;0.02;0.02;0.02;0.02;0.02;18212.55;18744.30;18489.79;18489.79;19151.07;17486.31;17486.31;17486.31;17486.31;17486.31;0.00;0.00;0.00;0.00;0.00;-11967.66;-11435.92;-11690.43;-11690.43;-11029.15;-94083.62;-94083.62;-94083.62;-94083.62;-94083.62;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
177121006542.33;256444075.77;14984.70;1.00;1.00;155.77;5.62;104.02;6.85;2648.66;38303.91;38303.91;38303.91;38303.91;38303.91;134232.71;134232.71;134232.71;134232.71;134232.71;0.01;0.01;0.01;0.01;0.01;18417.61;18954.02;18699.29;18699.29;19365.29;17683.05;17683.05;17683.05;17683.05;17683.05;0.00;0.00;0.00;0.00;0.00;-19886.30;-19349.88;-19604.62;-19604.62;-18938.62;-116549.66;-116549.66;-116549.66;-116549.66;-116549.66;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
210491568249.42;238176647.25;15864.84;0.99;1.00;129.64;5.62;103.78;7.14;2520.03;29410.74;29410.74;29410.74;29410.74;29410.74;102866.40;102866.40;102866.40;102866.40;102866.40;0.01;0.01;0.01;0.01;0.01;19242.16;19804.27;19534.77;19534.77;20234.05;18474.90;18474.90;18474.90;18474.90;18474.90;0.00;0.00;0.00;0.00;0.00;-10168.58;-9606.48;-9875.97;-9875.97;-9176.69;-84391.50;-84391.50;-84391.50;-84391.50;-84391.50;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
191448785510.59;239235815.96;14994.96;1.01;0.98;143.13;5.94;95.01;6.99;3250.20;31352.54;31352.54;31352.54;31352.54;31352.54;122948.07;122948.07;122948.07;122948.07;122948.07;0.02;0.02;0.02;0.02;0.02;18683.82;19228.97;18968.59;18968.59;19646.24;17938.75;17938.75;17938.75;17938.75;17938.75;0.00;0.00;0.00;0.00;0.00;-12668.72;-12123.57;-12383.94;-12383.94;-11706.29;-105009.32;-105009.32;-105009.32;-105009.32;-105009.32;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
213771912212.55;243466244.85;13237.40;0.99;1.02;135.30;5.26;99.85;7.66;3821.11;32007.64;32007.64;32007.64;32007.64;32007.64;102335.83;102335.83;102335.83;102335.83;102335.83;0.01;0.01;0.01;0.01;0.01;18044.47;18571.11;18319.33;18319.33;18974.12;17324.91;17324.91;17324.91;17324.91;17324.91;0.00;0.00;0.00;0.00;0.00;-13963.17;-13436.52;-13688.30;-13688.30;-13033.51;-85010.93;-85010.93;-85010.93;-85010.93;-85010.93;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
199739470718.59;250431510.34;15205.65;0.95;1.01;143.64;6.23;95.82;7.03;1912.18;31859.15;31859.15;31859.15;31859.15;31859.15;128000.04;128000.04;128000.04;128000.04;128000.04;0.01;0.01;0.01;0.01;0.01;17953.46;18477.31;18227.10;18227.10;18878.27;17237.52;17237.52;17237.52;17237.52;17237.52;0.00;0.00;0.00;0.00;0.00;-13905.68;-13381.84;-13632.05;-13632.05;-12980.88;-110762.52;-110762.52;-110762.52;-110762.52;-110762.52;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
217800794430.73;270573219.66;15962.38;1.04;0.96;143.25;5.77;102.36;6.44;2628.68;35931.86;35931.86;35931.86;35931.86;35931.86;138892.08;138892.08;138892.08;138892.08;138892.08;0.02;0.02;0.02;0.02;0.02;18529.06;19069.69;18811.48;18811.48;19483.51;17790.16;17790.16;17790.16;17790.16;17790.16;0.00;0.00;0.00;0.00;0.00;-17402.79;-16862.17;-17120.38;-17120.38;-16448.35;-121101.92;-121101.92;-121101.92;-121101.92;-121101.92;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
197554834322.45;234439980.04;14217.10;0.98;1.03;135.94;5.54;110.56;6.88;890.94;30995.62;30995.62;30995.62;30995.62;30995.62;104340.78;104340.78;104340.78;104340.78;104340.78;0.01;0.01;0.01;0.01;0.01;16132.26;16603.16;16377.94;16377.94;16963.46;15488.96;15488.96;15488.96;15488.96;15488.96;0.00;0.00;0.00;0.00;0.00;-14863.36;-14392.46;-14617.68;-14617.68;-14032.16;-88851.82;-88851.82;-88851.82;-88851.82;-88851.82;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
