# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
220627390065.70;249444226.29;11336.52;1.12;0.98;140.43;5.77;102.48;7.06;141.06;948.89;1008528.70;81517.77;31986.92;110227.69;0.01;116671.57;66955.16;0.00;78648.92;-58204.49;-0.01;1.00;0.00;0.00
184068663101.11;279682499.01;9564.77;1.04;0.92;140.67;5.89;100.67;6.88;138.32;942.33;1045758.47;105638.65;35168.62;126472.74;0.01;77475.04;48504.62;0.00;34506.30;-86882.21;-0.01;1.00;0.00;0.00
179344344484.66;235794192.73;10016.94;1.11;0.97;138.98;5.74;100.01;6.81;140.98;945.32;959239.42;129748.57;30220.96;102551.84;0.01;70413.73;46712.02;0.00;34440.36;-68744.86;-0.02;1.00;0.00;0.00
182202643535.78;227732794.18;9954.33;0.99;1.00;136.21;5.73;102.41;7.07;145.82;949.87;1039789.33;93032.66;30190.09;97012.29;0.01;86715.19;52799.06;0.00;56724.80;-43613.55;-0.01;1.00;0.00;0.00
209189786819.58;234713888.63;9183.47;0.98;1.00;141.87;5.75;97.90;7.04;138.95;922.59;933281.06;111726.52;29647.94;104356.04;0.01;74972.07;46794.62;0.00;45762.86;-55453.08;-0.01;1.00;0.00;0.00
212794705039.56;261712554.12;9090.11;1.07;0.99;138.55;5.94;97.51;7.08;140.10;953.66;893434.11;92214.41;33333.37;117549.04;0.01;84859.65;50376.59;0.00;48471.48;-76270.26;-0.01;1.00;0.00;0.00
204871974827.08;249769623.50;9872.13;0.97;1.03;138.64;5.78;100.96;7.14;139.11;897.01;917504.09;91049.16;31586.51;109102.02;0.01;88703.12;53393.70;0.00;60761.49;-50924.60;-0.01;1.00;0.00;0.00
190986460191.03;268530134.02;9289.88;1.06;1.05;136.91;5.97;96.45;7.06;136.59;942.95;954237.28;99203.04;33344.83;119778.72;0.01;78864.02;48487.67;0.00;47406.87;-75626.40;-0.01;1.00;0.00;0.00
195574901031.54;261166187.38;9760.03;1.00;1.00;136.51;5.85;102.77;7.12;140.94;923.52;851270.10;117015.36;33463.50;113806.71;0.01;74222.58;47654.86;0.00;40765.77;-66573.98;-0.01;1.00;0.00;0.00
190671052483.98;235575512.12;9985.92;1.02;1.00;136.77;5.81;103.94;6.93;138.33;930.59;973856.40;89077.60;29625.42;102091.63;0.01;89812.38;54040.55;0.00;59838.58;-50167.95;-0.01;1.00;0.00;0.00
193365145553.40;223302690.67;9405.62;0.96;1.08;136.73;5.70;99.37;6.99;141.00;940.28;1031134.05;113660.22;28622.55;94905.07;0.01;74586.78;47088.57;0.00;53510.03;-39649.44;-0.01;1.00;0.00;0.00
214340680517.87;237816031.55;8882.64;1.03;1.02;140.27;5.70;100.13;7.22;141.61;907.28;1010325.01;107688.70;30614.54;103721.02;0.01;75027.97;46218.33;0.00;44760.60;-59475.15;-0.01;1.00;0.00;0.00
205255615421.12;251559644.03;9758.17;1.02;0.96;138.93;5.86;104.42;7.30;142.22;944.38;1006185.95;91673.91;32525.32;111665.39;0.01;90421.17;53821.81;0.00;53663.07;-62658.41;-0.01;1.00;0.00;0.00
180283607754.20;234524672.88;9277.88;0.95;1.08;134.01;5.74;101.25;7.13;138.94;926.72;983156.10;75368.79;29622.13;98389.40;0.01;89255.79;52422.69;0.00;67777.99;-37418.09;-0.01;1.00;0.00;0.00
196095203025.65;259236749.71;11086.74;1.05;1.03;139.42;5.95;99.50;7.10;138.98;960.10;823922.39;98302.33;32754.43;117334.00;0.01;95217.77;58285.83;0.00;64034.72;-63240.19;-0.01;1.00;0.00;0.00
222148769267.57;254559603.81;11145.56;1.04;0.98;141.83;5.85;103.21;7.02;141.84;919.14;972174.27;97802.17;32824.00;115267.51;0.01;101675.35;60863.17;0.00;65402.71;-60761.38;-0.01;1.00;0.00;0.00
