# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
185030.15;859.10;8331.00;781.00;1.00;1.50;22984.08;8754.61;8.53;22203.08;8753.61;7.03;1.00;1.00;1.00
196803.69;1038.08;10953.00;943.71;1.00;1.50;30218.68;11510.26;10.55;29274.97;11509.26;9.05;1.00;1.00;1.00
204039.28;933.51;11288.15;848.64;1.00;1.50;31145.77;11863.39;10.49;30297.13;11862.39;8.99;1.00;1.00;1.00
204069.68;1121.38;10782.04;1019.43;1.00;1.50;29749.62;11331.60;10.02;28730.19;11330.60;8.52;1.00;1.00;1.00
195568.68;970.20;10538.57;882.00;1.00;1.50;29076.37;11075.16;10.21;28194.37;11074.16;8.71;1.00;1.00;1.00
216283.03;1215.76;11546.36;1105.23;1.00;1.50;31857.64;12134.54;10.12;30752.41;12133.54;8.62;1.00;1.00;1.00
208212.72;1185.20;10475.40;1077.46;1.00;1.50;28902.55;11008.95;9.54;27825.09;11007.95;8.04;1.00;1.00;1.00
193121.50;1097.35;10498.38;997.59;1.00;1.50;28966.01;11033.12;10.30;27968.42;11032.12;8.80;1.00;1.00;1.00
204422.99;1079.73;10698.55;981.57;1.00;1.50;29517.85;11243.32;9.92;28536.28;11242.32;8.42;1.00;1.00;1.00
208393.62;838.08;9770.42;761.89;1.00;1.50;26957.31;10268.01;8.89;26195.43;10267.01;7.39;1.00;1.00;1.00
