# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
223298708103.97;225684692.69;8928.83;30775185366.31;1.00;1.50;19485.96;0.00;0.00;-30775165880.35;-1.00;-1.50;0.00;0.00;0.00
213727967279.60;269347835.17;10797.60;36729250249.98;1.00;1.50;19485.96;0.00;0.00;-36729230764.02;-1.00;-1.50;0.00;0.00;0.00
186019616051.93;243241076.10;11568.82;33169237650.56;1.00;1.50;19485.96;0.00;0.00;-33169218164.61;-1.00;-1.50;0.00;0.00;0.00
228292196066.82;222309626.46;8257.37;30314949062.46;1.00;1.50;19485.96;0.00;0.00;-30314929576.50;-1.00;-1.50;0.00;0.00;0.00
190412812032.82;247465379.76;9673.11;33745279058.39;1.00;1.50;19485.96;0.00;0.00;-33745259572.44;-1.00;-1.50;0.00;0.00;0.00
164183905543.36;234015899.18;9703.97;31911258978.51;1.00;1.50;19485.96;0.00;0.00;-31911239492.56;-1.00;-1.50;0.00;0.00;0.00
221293555535.24;232082896.31;9339.24;31647667678.27;1.00;1.50;19485.96;0.00;0.00;-31647648192.31;-1.00;-1.50;0.00;0.00;0.00
178593789432.25;224532059.72;11058.53;30618008143.20;1.00;1.50;19485.96;0.00;0.00;-30617988657.24;-1.00;-1.50;0.00;0.00;0.00
202397661221.76;226344125.96;9001.74;30865108085.90;1.00;1.50;19485.96;0.00;0.00;-30865088599.95;-1.00;-1.50;0.00;0.00;0.00
210043064566.42;288219378.17;9675.82;39302642477.44;1.00;1.50;19485.96;0.00;0.00;-39302622991.48;-1.00;-1.50;0.00;0.00;0.00
