# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
326;1090;2;2;3;1;1;-1;-1;0;0
491;1077;3;3;3;2;2;0;-1;0;0
568;863;2;2;2;2;2;0;0;0;0
597;978;2;2;2;2;2;0;0;1;1
506;1074;2;2;3;2;2;0;0;0;0
525;906;3;3;3;2;2;-1;-1;0;0
488;878;2;2;3;2;2;0;0;0;0
593;1146;2;2;2;2;2;0;0;1;1
587;1094;2;2;2;2;2;0;0;1;1
502;1016;2;2;2;2;2;0;0;0;0
452;1067;2;2;3;2;2;0;0;0;0
421;956;3;3;3;2;2;-1;-1;0;0
624;1162;3;3;3;2;3;0;0;0;0
566;1041;3;3;3;2;2;0;0;0;0
613;1070;3;3;3;2;2;0;0;0;0
419;971;3;3;3;2;2;-1;-1;0;0
456;846;2;2;2;2;2;0;0;0;0
570;1113;2;2;3;2;2;0;0;0;0
544;969;2;2;3;2;2;0;0;0;0
500;1056;2;2;2;2;2;0;0;0;0
516;811;2;2;3;2;2;0;0;0;0
468;908;2;2;2;2;2;0;0;0;0
513;856;3;3;3;2;2;0;0;0;0
415;1036;2;2;3;2;2;0;0;0;0
508;986;3;3;3;2;2;0;0;0;0
599;934;3;3;3;2;2;0;-1;0;0
510;915;2;2;3;2;2;0;0;0;0
459;990;2;2;2;2;2;0;0;0;0
371;1157;3;3;3;1;2;-1;-1;0;0
511;983;2;2;3;2;2;0;0;0;0
457;1187;2;2;3;2;2;0;0;0;0
481;1098;2;2;2;2;2;0;0;0;0
399;897;3;3;3;1;2;-1;-1;0;0
503;829;2;2;2;2;2;0;0;0;0
411;1002;3;3;3;2;2;-1;-1;0;0
528;996;3;3;3;2;2;0;-1;0;0
445;821;3;3;3;2;2;-1;-1;0;0
437;862;2;2;3;2;2;0;-1;0;0
529;933;2;2;3;2;2;0;0;0;0
503;1030;2;2;3;2;2;0;0;0;0
479;1153;2;2;2;2;2;0;0;0;0
546;1031;2;2;2;2;2;0;0;0;0
357;957;2;2;3;1;1;0;-1;0;0
615;874;3;3;3;2;2;0;0;0;0
634;973;2;2;3;2;2;0;0;0;0
377;1080;2;2;2;1;2;0;0;0;0
671;874;2;2;3;2;3;0;0;1;0
430;1007;3;3;3;2;2;-1;-1;0;0
580;1005;2;2;3;2;2;0;0;0;0
497;840;2;2;2;2;2;0;0;0;0
623;1014;2;2;3;2;2;0;0;0;0
512;1065;3;3;3;2;2;-1;-1;0;0
503;1072;3;3;3;2;2;0;0;0;0
596;939;3;3;3;2;2;0;0;0;0
509;1139;2;2;3;2;2;0;0;0;0
297;1017;3;3;3;1;1;-1;-1;0;0
507;627;2;2;2;2;2;0;0;0;0
425;1009;2;2;2;2;2;0;0;0;0
562;968;2;2;2;2;2;0;0;0;0
627;1026;3;3;3;2;2;0;0;0;0
479;1041;2;2;3;2;2;0;0;0;0
480;1028;2;2;2;2;2;0;0;0;0
555;933;3;3;3;2;2;0;-1;0;0
531;1067;3;3;3;2;2;0;0;0;0
562;1113;2;2;2;2;2;0;0;1;0
570;882;3;3;3;2;2;0;0;0;0
535;944;2;2;3;2;2;0;0;0;0
459;983;2;2;3;2;2;0;0;0;0
599;1073;2;2;3;2;2;0;0;0;0
369;882;3;3;3;1;1;-1;-1;0;0
487;872;2;2;3;2;2;0;0;0;0
662;970;2;2;3;2;3;0;0;1;0
533;893;3;3;3;2;2;0;0;0;0
474;998;2;2;3;2;2;0;0;0;0
505;979;2;2;2;2;2;0;0;0;0
482;996;2;2;3;2;2;0;0;0;0
378;956;2;2;3;1;1;-1;-1;0;0
594;1165;3;3;3;2;2;0;0;0;0
551;883;3;3;3;2;2;0;0;0;0
533;988;3;3;3;2;2;0;0;0;0
495;949;3;3;3;2;2;0;0;0;0
539;958;2;2;3;2;2;0;0;0;0
462;1043;3;3;3;2;2;0;-1;0;0
386;1022;3;3;3;1;2;-1;-1;0;0
622;1032;3;3;3;2;2;0;0;0;0
351;731;3;3;4;1;1;-2;-2;0;0
527;1006;2;2;3;2;2;0;0;0;0
435;1119;2;2;3;2;2;0;0;0;0
425;1054;3;3;3;2;2;-1;-1;0;0
451;1015;3;3;3;2;2;-1;-1;0;0
555;1079;3;3;3;2;2;0;0;0;0
594;987;3;3;3;2;2;0;0;0;0
602;1083;3;3;3;2;2;0;0;0;0
586;1064;2;2;2;2;2;0;0;1;1
416;990;2;2;2;2;2;0;0;0;0
332;1160;3;3;3;1;1;-1;-1;0;0
644;860;2;2;3;2;2;0;0;0;0
655;944;3;3;3;2;3;0;0;0;0
579;1022;3;3;3;2;2;0;0;0;0
626;1029;2;2;3;2;2;0;0;0;0
