# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.24;10.87;41.32;3305.25;2002.47;-1302.78;0.00
0.27;12.28;36.42;2913.42;2255.87;-657.55;0.00
0.27;11.06;48.35;3868.15;2200.93;-1667.22;0.00
0.25;10.59;32.60;2608.34;2000.98;-607.36;0.00
0.21;9.19;40.94;3275.01;1746.32;-1528.69;0.00
0.26;10.49;47.54;3803.24;2060.69;-1742.55;0.00
0.24;10.57;38.56;3084.44;1997.21;-1087.23;0.00
0.23;10.04;45.27;3621.52;1910.54;-1710.99;0.00
0.26;10.75;40.56;3244.58;2095.99;-1148.58;0.00
0.25;10.76;38.69;3095.23;2029.53;-1065.69;0.00
0.31;12.30;34.94;2795.10;2470.00;-325.11;0.00
0.24;9.89;37.92;3033.86;1940.97;-1092.89;0.00
0.25;9.83;39.88;3190.01;1983.14;-1206.87;0.00
0.24;11.35;40.12;3209.60;1985.20;-1224.40;0.00
0.24;11.12;40.44;3235.28;2019.56;-1215.72;0.00
0.22;8.66;37.86;3028.55;1743.20;-1285.35;0.00
0.25;8.18;47.56;3804.45;1916.18;-1888.26;0.00
0.25;10.00;36.41;2913.09;2014.49;-898.60;0.00
0.24;11.80;38.76;3101.20;2058.55;-1042.65;0.00
0.30;10.68;48.37;3869.67;2322.52;-1547.15;0.00
0.24;10.49;34.81;2785.15;1943.83;-841.31;0.00
0.24;10.91;37.91;3032.59;1971.84;-1060.75;0.00
0.30;11.51;42.33;3386.65;2342.18;-1044.47;0.00
0.25;9.81;46.58;3726.65;1980.55;-1746.10;0.00
0.22;10.20;44.48;3558.41;1809.03;-1749.39;0.00
0.23;10.55;43.54;3483.34;1892.32;-1591.02;0.00
0.28;10.86;45.12;3609.28;2191.95;-1417.32;0.00
0.25;12.79;35.56;2845.14;2151.37;-693.77;0.00
0.26;10.46;37.27;2981.23;2075.97;-905.26;0.00
0.26;11.26;42.77;3421.20;2149.24;-1271.97;0.00
0.26;11.83;48.09;3847.45;2131.86;-1715.59;0.00
0.30;11.00;36.62;2929.89;2335.48;-594.41;0.00
0.28;11.46;36.30;2903.81;2227.73;-676.08;0.00
0.27;8.84;42.18;3374.71;2076.68;-1298.03;0.00
0.25;11.67;33.90;2712.08;2099.31;-612.77;0.00
0.23;9.21;47.10;3767.91;1835.80;-1932.11;0.00
0.29;11.92;33.54;2683.29;2349.59;-333.70;0.00
0.26;9.63;35.34;2827.24;2046.71;-780.53;0.00
0.23;8.28;33.12;2649.78;1783.20;-866.58;0.00
0.23;11.20;46.23;3698.10;1957.47;-1740.63;0.00
0.24;11.44;35.16;2813.02;2002.98;-810.04;0.00
0.22;9.06;37.51;3001.10;1773.00;-1228.10;0.00
0.26;9.21;45.79;3663.46;2039.63;-1623.83;0.00
0.22;10.27;42.73;3418.20;1856.45;-1561.76;0.00
0.27;8.11;37.51;3000.69;2030.97;-969.71;0.00
0.27;11.84;46.46;3716.82;2219.78;-1497.04;0.00
0.24;8.43;32.21;2577.16;1869.53;-707.63;0.00
0.23;11.65;42.68;3414.42;1987.72;-1426.70;0.00
0.28;8.21;41.22;3297.55;2068.31;-1229.25;0.00
0.29;8.03;41.31;3305.10;2121.39;-1183.71;0.00
0.22;9.33;44.65;3572.06;1783.57;-1788.48;0.00
0.29;9.03;34.85;2788.06;2177.87;-610.19;0.00
0.26;9.44;40.85;3267.73;2015.93;-1251.80;0.00
0.20;10.55;39.02;3121.44;1734.56;-1386.88;0.00
0.28;11.12;37.05;2964.36;2209.63;-754.73;0.00
0.24;9.21;36.55;2924.19;1886.20;-1037.99;0.00
0.24;11.37;39.60;3168.01;2029.34;-1138.67;0.00
0.25;10.38;48.59;3887.39;1995.49;-1891.90;0.00
0.29;7.77;34.29;2743.22;2097.13;-646.09;0.00
0.26;8.66;40.72;3257.72;1981.21;-1276.51;0.00
0.26;7.90;36.11;2889.16;1923.26;-965.90;0.00
0.25;9.15;31.86;2548.67;1938.91;-609.76;0.00
0.26;10.26;38.99;3119.01;2046.43;-1072.58;0.00
0.24;10.79;35.97;2877.27;1989.70;-887.57;0.00
0.27;10.47;44.30;3543.89;2145.87;-1398.02;0.00
0.28;7.70;42.24;3378.93;2037.39;-1341.55;0.00
0.21;10.38;27.37;2189.41;1813.64;-375.76;0.00
0.19;11.66;41.21;3296.66;1732.93;-1563.72;0.00
0.26;10.16;39.05;3124.05;2066.24;-1057.81;0.00
0.22;6.97;41.54;3322.86;1633.80;-1689.06;0.00
0.28;12.57;36.47;2917.81;2294.99;-622.83;0.00
0.28;11.39;37.35;2987.98;2230.57;-757.42;0.00
0.30;11.70;35.05;2803.71;2367.70;-436.01;0.00
0.25;10.57;41.44;3315.54;2004.75;-1310.79;0.00
0.22;9.82;38.91;3113.10;1786.94;-1326.16;0.00
0.19;11.69;36.46;2916.52;1750.89;-1165.63;0.00
0.27;11.54;42.38;3390.41;2181.40;-1209.02;0.00
0.24;8.44;41.39;3311.12;1847.10;-1464.02;0.00
0.21;10.33;37.27;2981.41;1805.72;-1175.70;0.00
0.25;9.83;39.98;3198.19;2014.70;-1183.50;0.00
0.21;9.45;37.04;2963.22;1744.54;-1218.68;0.00
0.24;10.57;43.57;3485.62;1950.13;-1535.50;0.00
0.25;11.12;43.15;3451.84;2071.65;-1380.19;0.00
0.23;12.23;43.15;3451.64;2022.25;-1429.39;0.00
0.29;9.81;38.28;3062.26;2232.08;-830.18;0.00
0.23;9.39;49.27;3941.66;1824.63;-2117.03;0.00
0.23;9.98;40.05;3203.85;1901.94;-1301.91;0.00
0.24;10.27;42.92;3433.45;1939.23;-1494.22;0.00
0.23;12.17;38.20;3056.36;2008.13;-1048.24;0.00
0.30;9.85;42.70;3416.10;2261.51;-1154.59;0.00
0.24;10.10;43.28;3462.14;1937.94;-1524.19;0.00
0.25;10.79;36.75;2939.98;2022.98;-917.00;0.00
0.25;9.00;41.76;3341.03;1930.07;-1410.95;0.00
0.26;10.96;32.49;2599.17;2078.97;-520.19;0.00
0.22;8.21;35.83;2866.19;1736.54;-1129.65;0.00
0.25;9.98;34.25;2739.83;1998.87;-740.95;0.00
0.26;11.98;32.23;2578.63;2179.86;-398.77;0.00
0.21;8.85;35.85;2868.31;1715.20;-1153.11;0.00
0.24;9.47;39.90;3192.34;1890.64;-1301.70;0.00
0.24;11.07;35.96;2876.84;1984.28;-892.55;0.00
