# X_0;X_1;R_0;S_0;G_0;I_0
17602;19838;143000;145945;-2945;0
12636;18719;143000;142323;676;1
11895;10288;143000;139215;3784;1
14479;10392;143000;140951;2048;1
16951;21654;143000;146079;-3079;0
17461;19898;143000;145870;-2870;0
13494;17413;143000;142483;516;1
16585;22163;143000;145996;-2996;0
12939;20608;143000;143109;-109;0
10218;14993;143000;139571;3428;1
18501;12355;143000;144213;-1213;0
16465;17208;143000;144378;-1378;0
15055;21234;143000;144699;-1699;0
12767;17048;143000;141890;1109;1
16665;18459;143000;144898;-1898;0
15614;17290;143000;143842;-842;0
13867;23337;143000;144569;-1569;0
18885;16885;143000;145873;-2873;0
17131;19092;143000;145402;-2402;0
13426;18340;143000;142726;273;1
12204;13935;143000;140552;2447;1
15736;11677;143000;142179;820;1
11397;18953;143000;141578;1421;1
24059;18084;143000;149657;-6657;0
12690;21221;143000;143135;-135;0
14404;20171;143000;143939;-939;0
14523;15243;143000;142487;512;1
16517;16502;143000;144193;-1193;0
16039;27706;143000;147358;-4358;0
12223;22798;143000;143317;-317;0
12187;17606;143000;141681;1318;1
13020;18872;143000;142623;376;1
17682;21218;143000;146426;-3426;0
13363;26040;143000;145076;-2076;0
15893;24925;143000;146398;-3398;0
14788;14761;143000;142512;487;1
12856;21146;143000;143221;-221;0
16735;9616;143000;142198;801;1
12836;16504;143000;141766;1233;1
15467;11421;143000;141922;1077;1
14827;17801;143000;143482;-482;0
18506;19102;143000;146312;-3312;0
9832;16232;143000;139701;3298;1
20977;21467;143000;148676;-5676;0
16542;17072;143000;144386;-1386;0
14868;13107;143000;142051;948;1
14142;18961;143000;143391;-391;0
10612;14031;143000;139532;3467;1
16868;19845;143000;145463;-2463;0
11882;15139;143000;140713;2286;1
19177;12401;143000;144673;-1673;0
9998;17410;143000;140176;2823;1
13062;21752;143000;143546;-546;0
18994;19561;143000;146776;-3776;0
16188;17164;143000;144182;-1182;0
15572;14610;143000;142982;17;1
16393;30110;143000;148338;-5338;0
13091;21042;143000;143344;-344;0
21961;23121;143000;149839;-6839;0
12814;19073;143000;142550;449;1
14717;21438;143000;144539;-1539;0
15265;21177;143000;144820;-1820;0
13796;23338;143000;144522;-1522;0
14310;17754;143000;143127;-127;0
14600;24498;143000;145413;-2413;0
