# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
180306252855.37;246850414.88;9295.55;31282.68;108551.35;0.01;27598.20;10513.58;0.37;-3684.48;-98037.77;0.36;0.00;0.00;1.00
182922832032.04;200697958.33;11102.40;25433.90;88256.01;0.01;27598.20;10513.58;0.37;2164.30;-77742.44;0.36;1.00;0.00;1.00
189285108779.30;247363233.32;10369.58;31347.67;108776.86;0.01;27598.20;10513.58;0.37;-3749.47;-98263.28;0.36;0.00;0.00;1.00
190555740511.90;294774551.48;11374.56;37355.97;129625.77;0.01;27598.20;10513.58;0.37;-9757.78;-119112.19;0.36;0.00;0.00;1.00
206318034613.01;227413048.25;7752.58;28819.44;100003.85;0.01;27598.20;10513.58;0.37;-1221.24;-89490.27;0.36;0.00;0.00;1.00
210172949251.83;245863890.64;9656.38;31157.66;108117.53;0.01;27598.20;10513.58;0.37;-3559.46;-97603.95;0.36;0.00;0.00;1.00
184086060537.15;296054802.84;11306.08;37518.22;130188.75;0.01;27598.20;10513.58;0.37;-9920.02;-119675.17;0.36;0.00;0.00;1.00
194814816216.96;229254009.28;10627.24;29052.74;100813.41;0.01;27598.20;10513.58;0.37;-1454.54;-90299.83;0.36;0.00;0.00;1.00
192517023628.04;238622966.64;11263.14;30240.04;104933.36;0.01;27598.20;10513.58;0.37;-2641.84;-94419.79;0.36;0.00;0.00;1.00
204055224409.24;278235757.76;8558.14;35260.06;122352.91;0.01;27598.20;10513.58;0.37;-7661.86;-111839.33;0.36;0.00;0.00;1.00
