# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
211267806030.75;217072072.73;10905.85;197338247.93;1.00;1.50;30089.00;11460.87;0.00;-197308158.93;11459.87;-1.50;0.00;1.00;0.00
253280778589.05;195641420.73;10622.75;177855837.03;1.00;1.50;29308.15;11163.44;0.00;-177826528.88;11162.44;-1.50;0.00;1.00;0.00
219336457883.24;218995721.01;8876.84;199087019.10;1.00;1.50;24490.60;9328.44;0.00;-199062528.50;9327.44;-1.50;0.00;1.00;0.00
215418126676.98;210229280.72;9880.69;191117527.93;1.00;1.50;27260.83;10383.62;0.00;-191090267.10;10382.62;-1.50;0.00;1.00;0.00
206028441854.03;197745998.08;10183.10;179769089.16;1.00;1.50;28096.86;10702.07;0.00;-179740992.30;10701.07;-1.50;0.00;1.00;0.00
189122949288.14;207904507.50;9864.98;189004097.73;1.00;1.50;27216.68;10366.81;0.00;-188976881.05;10365.81;-1.50;0.00;1.00;0.00
188622854449.62;205386351.56;10713.78;186714865.05;1.00;1.50;29559.23;11259.08;0.00;-186685305.82;11258.08;-1.50;0.00;1.00;0.00
175055639763.16;154287286.81;10104.27;140261169.83;1.00;1.50;27878.88;10619.04;0.00;-140233290.94;10618.04;-1.50;0.00;1.00;0.00
176537441159.07;186146382.74;12745.27;169223984.31;1.00;1.50;35165.91;13394.66;0.00;-169188818.40;13393.66;-1.50;0.00;1.00;0.00
185296320184.22;190569456.43;10468.09;173244960.39;1.00;1.50;28883.23;11001.59;0.00;-173216077.16;11000.59;-1.50;0.00;1.00;0.00
