# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
178366590166.51;251200707.36;10324.94;31833.98;110464.37;0.01;27598.20;10513.58;0.37;-4235.78;-99950.79;0.36;0.00;0.00;1.00
236207132046.16;219944623.64;10206.22;27872.98;96719.65;0.01;27598.20;10513.58;0.37;-274.78;-86206.07;0.36;0.00;0.00;1.00
189445604257.70;240557869.25;11143.99;30485.24;105784.23;0.01;27598.20;10513.58;0.37;-2887.04;-95270.65;0.36;0.00;0.00;1.00
200751397735.42;256126115.48;10332.58;32458.16;112630.30;0.01;27598.20;10513.58;0.37;-4859.96;-102116.72;0.36;0.00;0.00;1.00
202529162873.51;220756499.85;11473.39;27975.87;97076.67;0.01;27598.20;10513.58;0.37;-377.67;-86563.09;0.36;0.00;0.00;1.00
237659073426.09;244593753.15;9401.74;30996.70;107558.99;0.01;27598.20;10513.58;0.37;-3398.50;-97045.41;0.36;0.00;0.00;1.00
201341195607.99;267790927.06;9658.99;33936.41;117759.84;0.01;27598.20;10513.58;0.37;-6338.21;-107246.26;0.36;0.00;0.00;1.00
188991714582.10;307978400.20;9921.85;39029.26;135432.10;0.01;27598.20;10513.58;0.37;-11431.06;-124918.52;0.36;0.00;0.00;1.00
192274644462.54;270721169.29;10704.81;34307.76;119048.40;0.01;27598.20;10513.58;0.37;-6709.56;-108534.82;0.36;0.00;0.00;1.00
224779802203.86;252833751.33;10730.59;32040.93;111182.49;0.01;27598.20;10513.58;0.37;-4442.73;-100668.91;0.36;0.00;0.00;1.00
