# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
204357519910.59766;234031003.36517;16707.68261;0.94523;1.02189;137.86693;5.39983;100.76656;6.44003;3596.27618;26392.02632;26392.02632;26392.02632;26392.02632;26392.02632;98810.54864;98810.54864;98810.54864;98810.54864;98810.54864;0.01418;0.01418;0.01418;0.01418;0.01418;29873.29057;20662.63705;21637.01532;22239.20887;22780.37230;23895.65875;20146.52724;20632.68390;20862.09096;20769.42547;0.00254;0.00254;0.00254;0.00254;0.00254;3481.26424;-5729.38927;-4755.01100;-4152.81745;-3611.65403;-74914.88989;-78664.02140;-78177.86474;-77948.45768;-78041.12317;-0.01164;-0.01164;-0.01164;-0.01164;-0.01164;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
191283438336.44080;231800492.79528;14434.02073;0.99359;0.93424;136.00792;5.65967;96.59005;6.99768;927.58707;28290.03906;28290.03906;28290.03906;28290.03906;28290.03906;106372.50779;106372.50779;106372.50779;106372.50779;106372.50779;0.01490;0.01490;0.01490;0.01490;0.01490;21194.95896;14190.76302;14946.72041;15402.01170;15760.82065;16731.06191;13896.54849;14264.10646;14437.55076;14367.49069;0.00201;0.00201;0.00201;0.00201;0.00201;-7095.08011;-14099.27605;-13343.31865;-12888.02737;-12529.21841;-89641.44588;-92475.95930;-92108.40133;-91934.95703;-92005.01710;-0.01289;-0.01289;-0.01289;-0.01289;-0.01289;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
203776994056.45108;242058011.71831;14299.65534;0.99249;0.94290;145.59829;5.75171;106.40529;7.29979;1900.03101;35854.53237;35854.53237;35854.53237;35854.53237;35854.53237;120712.36596;120712.36596;120712.36596;120712.36596;120712.36596;0.01489;0.01489;0.01489;0.01489;0.01489;24549.40026;14723.29570;15836.55978;16466.13364;16788.10233;18565.85322;14645.88003;15154.17398;15394.01164;15297.13163;0.00206;0.00206;0.00206;0.00206;0.00206;-11305.13211;-21131.23667;-20017.97259;-19388.39873;-19066.43004;-102146.51274;-106066.48593;-105558.19198;-105318.35433;-105415.23433;-0.01283;-0.01283;-0.01283;-0.01283;-0.01283;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
190410608520.66669;221228676.11027;12963.36488;1.05688;0.99440;150.24770;5.64602;102.29423;6.92779;1836.84420;33493.55767;33493.55767;33493.55767;33493.55767;33493.55767;119006.06413;119006.06413;119006.06413;119006.06413;119006.06413;0.01585;0.01585;0.01585;0.01585;0.01585;23438.06124;14226.27850;15266.04854;15856.97342;16173.17218;17805.89961;14126.46892;14603.56797;14828.68222;14737.74926;0.00208;0.00208;0.00208;0.00208;0.00208;-10055.49643;-19267.27916;-18227.50913;-17636.58424;-17320.38549;-101200.16452;-104879.59522;-104402.49616;-104177.38192;-104268.31487;-0.01377;-0.01377;-0.01377;-0.01377;-0.01377;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
196787418502.64029;264361120.69766;15130.33985;1.00583;0.97598;141.77699;6.44946;110.16232;6.44559;1575.90155;36603.20473;36603.20473;36603.20473;36603.20473;36603.20473;145882.11335;145882.11335;145882.11335;145882.11335;145882.11335;0.01509;0.01509;0.01509;0.01509;0.01509;24859.90988;15972.77491;16952.55332;17526.66434;17910.89909;19305.28649;15730.91873;16194.41039;16413.11935;16324.77495;0.00217;0.00217;0.00217;0.00217;0.00217;-11743.29486;-20630.42982;-19650.65141;-19076.54039;-18692.30565;-126576.82686;-130151.19462;-129687.70296;-129468.99400;-129557.33840;-0.01291;-0.01291;-0.01291;-0.01291;-0.01291;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
197535011091.04581;236588652.69925;13824.58949;1.00728;1.03611;141.38314;5.95742;95.71966;7.78982;4274.84194;33601.99211;33601.99211;33601.99211;33601.99211;33601.99211;120434.89807;120434.89807;120434.89807;120434.89807;120434.89807;0.01511;0.01511;0.01511;0.01511;0.01511;28599.96744;18369.29030;19497.75944;20158.59975;20599.86221;22206.65042;18092.19367;18625.71409;18877.46278;18775.77206;0.00240;0.00240;0.00240;0.00240;0.00240;-5002.02466;-15232.70181;-14104.23266;-13443.39235;-13002.12989;-98228.24765;-102342.70440;-101809.18398;-101557.43529;-101659.12601;-0.01271;-0.01271;-0.01271;-0.01271;-0.01271;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
175993346759.38342;240419145.15714;14364.85417;0.98680;1.00398;140.04238;5.44306;103.60188;7.17567;2170.62450;32296.63506;32296.63506;32296.63506;32296.63506;32296.63506;108506.10771;108506.10771;108506.10771;108506.10771;108506.10771;0.01480;0.01480;0.01480;0.01480;0.01480;24533.63379;16411.14159;17288.93429;17816.78547;18230.55251;19359.58134;16073.14046;16499.29283;16700.37900;16619.15281;0.00224;0.00224;0.00224;0.00224;0.00224;-7763.00127;-15885.49347;-15007.70077;-14479.84959;-14066.08255;-89146.52636;-92432.96725;-92006.81487;-91805.72871;-91886.95489;-0.01257;-0.01257;-0.01257;-0.01257;-0.01257;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
197701500338.64325;218553526.05171;13977.88820;1.01221;1.03176;145.82852;5.78590;102.19924;6.81792;-27.87339;30334.68081;30334.68081;30334.68081;30334.68081;30334.68081;111994.10171;111994.10171;111994.10171;111994.10171;111994.10171;0.01518;0.01518;0.01518;0.01518;0.01518;22898.09614;13989.78317;14992.50817;15564.41487;15878.79479;17438.92313;13878.08567;14339.81461;14557.68382;14469.67800;0.00210;0.00210;0.00210;0.00210;0.00210;-7436.58467;-16344.89764;-15342.17264;-14770.26594;-14455.88602;-94555.17857;-98116.01604;-97654.28710;-97436.41788;-97524.42371;-0.01308;-0.01308;-0.01308;-0.01308;-0.01308;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
212374393508.85239;247861499.75634;14125.73814;0.99935;0.98291;136.84961;5.73302;100.54696;7.92514;1306.90501;35224.12772;35224.12772;35224.12772;35224.12772;35224.12772;116601.16666;116601.16666;116601.16666;116601.16666;116601.16666;0.01499;0.01499;0.01499;0.01499;0.01499;24172.75986;14659.83915;15732.85561;16343.13830;16669.74726;18357.99759;14558.40712;15051.10273;15283.59137;15189.68080;0.00210;0.00210;0.00210;0.00210;0.00210;-11051.36786;-20564.28857;-19491.27212;-18880.98942;-18554.38047;-98243.16907;-102042.75954;-101550.06394;-101317.57529;-101411.48586;-0.01290;-0.01290;-0.01290;-0.01290;-0.01290;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
208412798917.04620;264808593.46859;11962.99641;0.98904;1.05745;137.60082;5.98158;103.19355;7.10829;2092.99878;35216.53876;35216.53876;35216.53876;35216.53876;35216.53876;129340.58598;129340.58598;129340.58598;129340.58598;129340.58598;0.01484;0.01484;0.01484;0.01484;0.01484;23444.33590;14410.23795;15424.19846;16004.63222;16331.97356;17895.98359;14282.30079;14750.89258;14972.01020;14882.69303;0.00216;0.00216;0.00216;0.00216;0.00216;-11772.20286;-20806.30081;-19792.34030;-19211.90654;-18884.56520;-111444.60240;-115058.28519;-114589.69340;-114368.57578;-114457.89296;-0.01267;-0.01267;-0.01267;-0.01267;-0.01267;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
