# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
204470312188.27;230277958.51;9604.43;29182.50;101263.69;0.01;27598.20;10513.58;0.00;-1584.30;-90750.11;0.36;0.00;0.00;1.00
191093824701.97;206657778.37;11527.97;26189.18;90876.82;0.01;27598.20;10513.58;0.00;1409.02;-80363.24;0.36;1.00;0.00;1.00
151141158898.22;271363380.03;10071.36;34389.14;119330.81;0.01;27598.20;10513.58;0.00;-6790.94;-108817.23;0.36;0.00;0.00;1.00
195659232173.15;202831351.85;10169.89;25704.26;89194.17;0.01;27598.20;10513.58;0.00;1893.94;-78680.59;0.36;1.00;0.00;1.00
205901438630.50;262063240.40;11527.69;33210.56;115241.12;0.01;27598.20;10513.58;0.00;-5612.36;-104727.54;0.36;0.00;0.00;1.00
221893427527.96;250538810.07;10921.94;31750.10;110173.30;0.01;27598.20;10513.58;0.00;-4151.90;-99659.72;0.36;0.00;0.00;1.00
240527881755.60;223667294.78;9310.31;28344.75;98356.68;0.01;27598.20;10513.58;0.00;-746.55;-87843.10;0.36;0.00;0.00;1.00
190113713135.25;247261649.15;9562.47;31334.79;108732.19;0.01;27598.20;10513.58;0.00;-3736.59;-98218.61;0.36;0.00;0.00;1.00
176077614453.32;208424263.09;9403.62;26413.04;91653.62;0.01;27598.20;10513.58;0.00;1185.16;-81140.04;0.36;1.00;0.00;1.00
173969356728.27;234896607.37;10341.72;29767.81;103294.72;0.01;27598.20;10513.58;0.00;-2169.61;-92781.14;0.36;0.00;0.00;1.00
