# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.29;11.23;43.07;3445.88;2294.51;-1151.37;0.00
0.29;8.32;48.82;3905.99;2149.65;-1756.34;0.00
0.25;11.20;42.35;3388.17;2061.66;-1326.51;0.00
0.29;8.92;38.20;3055.87;2167.18;-888.68;0.00
0.22;11.27;42.33;3386.56;1870.53;-1516.03;0.00
0.25;10.32;47.70;3815.62;2017.88;-1797.74;0.00
0.24;9.27;44.27;3541.21;1920.55;-1620.66;0.00
0.26;9.69;36.20;2896.39;2045.50;-850.89;0.00
0.23;10.07;40.76;3261.15;1893.50;-1367.64;0.00
0.26;11.29;37.77;3021.36;2142.29;-879.07;0.00
0.25;11.17;42.88;3430.47;2050.18;-1380.29;0.00
0.25;10.29;28.72;2297.44;2037.07;-260.37;0.00
0.27;8.56;33.86;2708.43;2061.02;-647.41;0.00
0.21;10.23;39.35;3147.68;1800.45;-1347.23;0.00
0.23;11.07;36.93;2954.71;1929.72;-1024.98;0.00
0.28;10.27;43.20;3456.34;2169.71;-1286.63;0.00
0.27;10.62;35.00;2799.73;2158.84;-640.89;0.00
0.29;10.46;31.08;2486.57;2264.77;-221.80;0.00
0.28;9.94;37.51;3000.45;2141.81;-858.64;0.00
0.25;9.63;37.48;2998.49;1957.55;-1040.94;0.00
0.20;10.72;38.15;3052.36;1754.44;-1297.92;0.00
0.26;10.00;45.34;3627.46;2072.43;-1555.03;0.00
0.25;13.02;35.98;2878.36;2187.83;-690.53;0.00
0.26;10.10;45.54;3643.58;2052.98;-1590.60;0.00
0.30;8.29;36.22;2897.90;2181.49;-716.41;0.00
0.25;10.23;49.61;3968.78;1996.05;-1972.73;0.00
0.28;10.40;46.52;3721.84;2186.51;-1535.33;0.00
0.28;11.81;40.35;3228.16;2247.81;-980.35;0.00
0.24;11.44;30.65;2451.84;1992.72;-459.12;0.00
0.21;9.91;32.46;2596.47;1774.32;-822.16;0.00
0.21;11.93;51.88;4150.13;1856.59;-2293.54;0.00
0.21;8.11;41.06;3284.83;1658.40;-1626.43;0.00
0.22;9.88;36.31;2904.75;1802.82;-1101.92;0.00
0.24;10.51;35.17;2813.83;1980.03;-833.80;0.00
0.26;11.53;32.60;2607.65;2161.08;-446.57;0.00
0.24;10.35;36.58;2926.40;1965.39;-961.01;0.00
0.21;9.53;40.17;3213.80;1749.90;-1463.91;0.00
0.27;9.64;36.15;2892.15;2098.06;-794.08;0.00
0.23;9.42;40.96;3277.19;1861.91;-1415.28;0.00
0.30;8.20;39.49;3159.35;2180.89;-978.46;0.00
0.27;8.24;33.80;2703.83;2036.46;-667.37;0.00
0.26;7.60;36.68;2934.02;1935.51;-998.51;0.00
0.22;10.81;39.83;3186.56;1894.58;-1291.98;0.00
0.27;9.61;34.32;2745.83;2095.95;-649.88;0.00
0.23;10.40;40.61;3248.92;1903.47;-1345.45;0.00
0.28;11.24;42.96;3436.49;2266.47;-1170.02;0.00
0.21;8.43;41.97;3357.36;1676.54;-1680.83;0.00
0.24;13.79;33.69;2695.26;2128.47;-566.79;0.00
0.28;10.10;36.64;2931.01;2184.50;-746.51;0.00
0.28;11.41;33.91;2712.79;2230.75;-482.04;0.00
0.21;12.36;39.30;3143.73;1911.02;-1232.71;0.00
0.25;12.51;38.12;3049.76;2119.31;-930.45;0.00
0.27;10.10;46.41;3712.93;2117.63;-1595.29;0.00
0.27;10.10;37.55;3004.00;2144.28;-859.73;0.00
0.28;10.74;42.74;3418.93;2229.18;-1189.75;0.00
0.26;8.70;40.54;3243.56;2001.26;-1242.30;0.00
0.24;9.45;32.61;2609.00;1936.65;-672.35;0.00
0.20;11.21;44.71;3576.74;1771.47;-1805.27;0.00
0.21;11.34;50.52;4041.84;1861.49;-2180.35;0.00
0.25;10.60;39.17;3133.35;2019.08;-1114.27;0.00
0.25;10.19;37.84;3026.81;1999.53;-1027.29;0.00
0.23;11.24;37.68;3014.33;1933.87;-1080.47;0.00
0.23;8.52;37.48;2998.29;1814.82;-1183.48;0.00
0.26;8.26;35.92;2873.94;1982.49;-891.45;0.00
0.22;10.83;44.65;3571.64;1866.47;-1705.17;0.00
0.25;11.28;33.84;2706.85;2079.81;-627.03;0.00
0.25;11.94;43.98;3518.43;2086.99;-1431.44;0.00
0.26;10.23;47.66;3812.57;2087.66;-1724.91;0.00
0.27;10.68;41.53;3322.67;2149.96;-1172.71;0.00
0.27;11.20;35.61;2848.82;2174.09;-674.74;0.00
0.29;12.03;40.70;3256.10;2331.12;-924.97;0.00
0.27;8.72;37.02;2961.93;2027.16;-934.78;0.00
0.26;8.28;37.27;2981.62;1946.01;-1035.62;0.00
0.29;11.30;36.12;2889.54;2282.86;-606.67;0.00
0.27;11.45;39.11;3128.96;2192.40;-936.56;0.00
0.25;9.62;41.89;3351.02;1978.86;-1372.16;0.00
0.26;8.90;31.25;2499.95;2025.26;-474.68;0.00
0.24;7.13;43.96;3516.44;1760.88;-1755.57;0.00
0.24;11.96;47.69;3815.28;2038.40;-1776.88;0.00
0.26;10.37;37.69;3015.20;2052.33;-962.87;0.00
0.24;11.92;43.75;3500.22;2032.34;-1467.88;0.00
0.22;8.69;40.48;3238.36;1739.89;-1498.47;0.00
0.22;11.26;39.16;3133.01;1901.71;-1231.30;0.00
0.22;8.79;39.22;3137.50;1767.76;-1369.74;0.00
0.21;7.78;39.64;3171.15;1640.39;-1530.76;0.00
0.26;9.34;40.89;3270.94;1998.83;-1272.12;0.00
0.24;11.35;34.73;2778.65;1994.25;-784.40;0.00
0.23;8.91;38.52;3081.60;1828.47;-1253.13;0.00
0.29;9.78;32.57;2605.28;2229.70;-375.57;0.00
0.25;11.33;36.94;2955.49;2078.48;-877.01;0.00
0.24;9.99;38.13;3050.13;1966.25;-1083.88;0.00
0.23;9.07;40.20;3216.21;1826.05;-1390.16;0.00
0.26;10.65;35.94;2875.03;2064.71;-810.33;0.00
0.27;10.16;39.69;3174.97;2121.75;-1053.23;0.00
0.27;9.58;41.03;3282.65;2073.41;-1209.24;0.00
0.26;10.64;36.83;2946.57;2108.88;-837.69;0.00
0.24;12.56;40.74;3259.49;2050.71;-1208.78;0.00
0.24;7.61;32.75;2620.00;1817.23;-802.77;0.00
0.27;9.48;46.86;3748.44;2063.99;-1684.45;0.00
0.28;9.66;40.27;3221.74;2161.07;-1060.68;0.00
0.24;9.23;38.97;3117.59;1896.67;-1220.92;0.00
0.20;9.06;31.85;2547.76;1674.89;-872.87;0.00
0.26;9.80;47.13;3770.35;2028.96;-1741.39;0.00
0.21;9.61;39.21;3137.08;1768.25;-1368.83;0.00
0.28;9.28;35.93;2874.49;2133.73;-740.76;0.00
0.25;10.44;39.51;3160.53;2013.79;-1146.74;0.00
0.24;11.24;39.91;3192.84;1998.85;-1194.00;0.00
0.24;10.22;41.38;3310.61;1973.07;-1337.54;0.00
0.24;10.28;37.73;3018.34;1943.74;-1074.60;0.00
0.25;11.22;36.28;2902.11;2087.06;-815.05;0.00
0.26;10.54;44.85;3587.96;2105.49;-1482.46;0.00
0.27;8.50;42.01;3360.49;2044.36;-1316.13;0.00
0.24;11.33;42.41;3392.92;2032.92;-1359.99;0.00
0.26;9.68;39.31;3144.71;2054.42;-1090.29;0.00
0.22;11.89;35.94;2874.94;1947.66;-927.27;0.00
0.24;10.36;30.60;2447.71;1950.28;-497.42;0.00
0.27;9.55;38.73;3098.79;2102.87;-995.92;0.00
0.28;8.66;43.89;3511.12;2088.97;-1422.15;0.00
0.29;10.42;37.50;3000.10;2276.43;-723.67;0.00
0.22;10.84;48.79;3903.54;1865.81;-2037.73;0.00
0.22;14.02;41.46;3316.68;2059.36;-1257.32;0.00
0.23;10.08;41.51;3320.54;1866.51;-1454.03;0.00
0.26;10.32;35.39;2830.88;2088.77;-742.11;0.00
0.26;11.40;45.78;3662.72;2150.63;-1512.10;0.00
0.29;11.91;37.63;3010.24;2350.69;-659.55;0.00
0.23;10.02;48.65;3891.82;1904.99;-1986.83;0.00
0.26;12.58;42.63;3410.18;2200.91;-1209.28;0.00
0.25;8.99;38.96;3117.17;1927.63;-1189.54;0.00
0.28;8.44;46.02;3681.70;2097.34;-1584.36;0.00
0.29;11.44;41.35;3307.91;2290.21;-1017.70;0.00
0.29;11.91;44.78;3582.03;2317.95;-1264.08;0.00
0.25;10.21;39.54;3163.23;1987.22;-1176.01;0.00
0.27;10.41;41.59;3327.39;2118.79;-1208.60;0.00
0.23;10.68;44.93;3594.56;1942.88;-1651.68;0.00
0.26;9.79;31.64;2531.58;2021.22;-510.36;0.00
0.26;9.65;44.13;3530.45;2045.35;-1485.10;0.00
0.22;7.58;42.35;3388.27;1686.23;-1702.04;0.00
0.21;11.61;48.65;3892.33;1861.23;-2031.10;0.00
0.24;8.77;43.66;3492.45;1889.39;-1603.06;0.00
0.22;10.77;35.18;2814.20;1884.62;-929.58;0.00
0.28;9.05;47.32;3785.47;2095.35;-1690.11;0.00
0.27;11.05;45.30;3624.39;2167.10;-1457.28;0.00
0.25;9.26;39.73;3178.26;1948.57;-1229.69;0.00
0.21;7.77;35.20;2815.72;1648.20;-1167.52;0.00
0.24;9.58;35.58;2846.34;1943.47;-902.87;0.00
0.23;9.62;45.10;3608.16;1871.58;-1736.58;0.00
0.24;8.76;45.50;3639.86;1855.13;-1784.74;0.00
0.29;7.62;43.27;3461.91;2103.34;-1358.57;0.00
0.27;11.40;36.41;2912.79;2194.07;-718.72;0.00
0.25;9.08;43.14;3450.92;1959.44;-1491.48;0.00
0.21;11.27;36.78;2942.03;1829.11;-1112.92;0.00
0.25;9.34;35.75;2860.33;1966.62;-893.71;0.00
0.25;9.56;39.03;3122.78;1962.03;-1160.75;0.00
0.29;9.71;44.46;3556.87;2214.23;-1342.64;0.00
0.24;8.64;45.59;3647.05;1838.49;-1808.56;0.00
0.25;11.13;43.41;3473.02;2043.94;-1429.08;0.00
0.23;11.02;42.14;3371.26;1948.15;-1423.11;0.00
0.24;12.09;39.76;3181.08;2035.28;-1145.79;0.00
0.25;9.25;46.94;3754.91;1938.44;-1816.48;0.00
0.24;9.08;30.11;2408.74;1875.26;-533.48;0.00
0.26;9.79;35.74;2859.12;2034.77;-824.35;0.00
0.20;9.06;47.30;3784.18;1674.67;-2109.51;0.00
0.31;11.39;40.94;3275.18;2411.54;-863.64;0.00
0.23;8.88;40.45;3236.28;1817.08;-1419.20;0.00
0.24;12.00;47.39;3791.00;2061.86;-1729.13;0.00
0.24;8.71;51.58;4126.07;1853.92;-2272.15;0.00
0.25;9.80;39.96;3196.44;1959.63;-1236.81;0.00
0.22;11.51;47.74;3819.55;1903.83;-1915.72;0.00
0.28;10.25;35.28;2822.71;2185.77;-636.95;0.00
0.25;11.08;42.29;3383.40;2076.38;-1307.02;0.00
0.25;12.07;35.34;2826.90;2122.69;-704.21;0.00
0.28;8.68;39.52;3161.40;2101.41;-1059.99;0.00
0.29;10.55;36.41;2913.18;2255.63;-657.56;0.00
0.26;12.25;40.86;3268.44;2165.64;-1102.81;0.00
0.27;9.42;46.98;3758.22;2103.76;-1654.47;0.00
0.22;9.97;47.71;3816.67;1832.88;-1983.80;0.00
0.25;9.82;41.11;3288.76;1988.72;-1300.04;0.00
0.21;9.19;44.65;3572.03;1726.35;-1845.68;0.00
0.25;11.26;40.76;3260.49;2071.60;-1188.89;0.00
0.22;10.79;39.57;3165.58;1868.24;-1297.34;0.00
0.31;11.04;32.43;2594.15;2389.74;-204.41;0.00
0.29;11.04;38.72;3097.74;2303.92;-793.82;0.00
0.23;11.64;45.39;3631.15;1944.86;-1686.29;0.00
0.24;10.58;45.90;3672.17;1983.38;-1688.79;0.00
0.21;11.20;45.58;3646.12;1852.44;-1793.68;0.00
0.24;9.17;37.70;3016.35;1912.35;-1104.01;0.00
0.22;9.83;36.69;2935.00;1841.97;-1093.03;0.00
0.27;10.96;50.95;4076.26;2150.81;-1925.45;0.00
0.23;12.63;41.73;3338.73;2033.06;-1305.67;0.00
0.23;10.87;43.00;3439.74;1926.52;-1513.21;0.00
0.26;9.18;37.32;2985.36;2007.56;-977.80;0.00
0.23;9.54;31.22;2497.78;1875.52;-622.26;0.00
0.23;10.04;45.42;3633.35;1897.98;-1735.37;0.00
0.22;10.80;38.92;3113.86;1875.03;-1238.84;0.00
0.24;9.94;41.52;3321.54;1908.59;-1412.95;0.00
0.27;11.09;46.19;3695.35;2154.27;-1541.09;0.00
0.25;7.85;37.33;2986.70;1896.26;-1090.44;0.00
0.26;10.84;34.56;2764.72;2116.89;-647.84;0.00
0.27;12.72;36.14;2891.03;2267.49;-623.54;0.00
0.23;9.78;39.94;3194.98;1864.94;-1330.04;0.00
0.23;10.14;46.03;3682.47;1868.94;-1813.53;0.00
0.26;10.25;40.78;3262.26;2065.35;-1196.91;0.00
0.28;9.33;35.77;2861.98;2140.28;-721.70;0.00
0.23;10.17;39.58;3166.31;1878.40;-1287.90;0.00
0.22;11.21;41.24;3299.46;1904.95;-1394.51;0.00
0.27;11.40;31.50;2520.32;2166.32;-354.01;0.00
0.22;10.42;43.96;3516.69;1873.28;-1643.41;0.00
0.27;8.52;31.10;2488.12;2029.22;-458.90;0.00
0.23;8.09;47.22;3777.67;1753.32;-2024.35;0.00
0.26;10.31;44.08;3526.31;2069.21;-1457.10;0.00
0.26;7.13;40.98;3278.16;1895.77;-1382.38;0.00
0.23;12.85;38.77;3101.40;2007.78;-1093.62;0.00
0.21;11.17;33.67;2693.78;1819.57;-874.21;0.00
0.28;10.87;43.11;3449.03;2207.93;-1241.10;0.00
0.24;11.44;38.06;3044.60;1992.38;-1052.22;0.00
0.29;9.04;42.18;3374.75;2153.41;-1221.35;0.00
0.26;9.34;32.20;2575.62;2000.91;-574.70;0.00
0.28;10.17;42.53;3402.78;2197.92;-1204.86;0.00
0.20;9.48;43.09;3447.10;1678.39;-1768.71;0.00
0.24;9.55;38.91;3112.67;1889.17;-1223.50;0.00
0.22;9.67;41.85;3348.27;1813.62;-1534.65;0.00
0.30;10.77;37.69;3015.31;2349.83;-665.48;0.00
0.24;10.26;44.44;3555.39;1942.35;-1613.04;0.00
0.27;10.65;45.24;3619.40;2125.49;-1493.91;0.00
0.25;10.46;43.45;3476.29;2042.88;-1433.41;0.00
0.21;12.35;45.08;3606.62;1881.09;-1725.53;0.00
0.23;10.90;45.97;3677.48;1902.17;-1775.31;0.00
0.25;10.59;34.24;2738.98;2037.64;-701.34;0.00
0.23;9.45;41.41;3313.00;1873.31;-1439.70;0.00
0.27;11.43;33.89;2711.23;2189.09;-522.14;0.00
0.26;10.45;41.69;3334.89;2054.32;-1280.57;0.00
0.22;7.95;41.90;3352.02;1702.77;-1649.25;0.00
0.23;9.48;40.61;3248.74;1866.11;-1382.63;0.00
0.23;10.48;47.55;3803.64;1907.01;-1896.62;0.00
0.26;11.99;38.34;3066.97;2146.71;-920.25;0.00
0.21;8.63;42.31;3384.85;1696.62;-1688.23;0.00
0.21;10.17;41.69;3335.57;1798.60;-1536.97;0.00
0.28;9.67;40.52;3241.87;2175.43;-1066.43;0.00
0.24;10.84;40.82;3265.41;1967.58;-1297.84;0.00
0.27;10.56;34.24;2739.01;2131.69;-607.32;0.00
0.27;11.25;43.50;3479.72;2172.64;-1307.07;0.00
0.27;10.85;36.06;2885.04;2134.27;-750.77;0.00
0.22;11.26;39.52;3161.69;1893.11;-1268.59;0.00
0.28;8.84;36.32;2905.90;2103.98;-801.92;0.00
0.23;9.91;38.47;3077.45;1874.17;-1203.27;0.00
0.25;10.64;51.85;4147.78;2035.72;-2112.06;0.00
0.25;9.73;32.80;2624.20;2000.92;-623.28;0.00
0.21;9.92;32.94;2635.23;1757.07;-878.16;0.00
0.23;11.03;38.69;3095.16;1965.37;-1129.79;0.00
0.26;10.31;42.63;3410.44;2072.10;-1338.34;0.00
0.26;11.26;36.78;2942.33;2141.35;-800.98;0.00
0.22;9.77;38.95;3115.84;1808.50;-1307.34;0.00
0.25;10.09;46.12;3689.66;2013.59;-1676.07;0.00
