# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
198628631156.22;265449263.89;12859.10;0.99;1.10;138.96;5.72;102.97;6.98;137.34;927.57;101131.07;10310.26;33143.68;115101.25;0.01;1817.30;989.15;0.00;-30855.61;-112989.71;-0.01;0.00;0.00;0.00
189293332630.58;256378954.30;12299.61;0.96;1.01;138.70;5.66;101.29;7.07;141.70;917.28;93089.96;11222.94;33026.10;109871.81;0.01;1738.16;946.08;0.00;-30020.35;-104750.65;-0.01;0.00;0.00;0.00
208289354023.28;253057708.02;13668.55;1.03;0.99;141.14;5.85;101.08;7.32;137.51;952.82;100783.95;9805.09;31633.39;114059.50;0.01;1931.64;1051.38;0.00;-30736.40;-116667.95;-0.02;0.00;0.00;0.00
202376497941.81;241049199.39;14094.41;0.91;0.98;140.78;5.78;98.86;7.01;138.01;943.07;111466.41;8408.84;30243.54;107010.80;0.01;1991.81;1084.15;0.00;-25664.24;-96665.57;-0.01;0.00;0.00;0.00
207899694029.30;263701755.32;13465.04;0.94;1.00;139.35;5.73;97.61;7.12;137.50;943.43;89904.35;11087.97;32963.84;114769.68;0.01;1902.92;1035.77;0.00;-29109.94;-106932.87;-0.01;0.00;0.00;0.00
202715020309.37;246147605.80;11745.47;1.01;0.95;135.73;5.78;103.65;7.14;139.24;957.09;104609.85;10303.70;31158.12;105328.59;0.01;1659.85;903.46;0.00;-29817.93;-105261.16;-0.02;0.00;0.00;0.00
204325629736.21;258327440.14;11741.78;0.96;0.96;133.07;5.76;104.98;7.25;142.48;921.86;110406.77;9356.29;33460.76;107991.17;0.01;1659.32;903.15;0.00;-30501.35;-102726.23;-0.01;0.00;0.00;0.00
210282645415.76;239178379.88;11232.92;1.04;1.02;137.44;5.65;101.35;7.33;143.02;927.38;89207.80;11098.90;31097.88;101272.66;0.01;1587.37;864.00;0.00;-30846.23;-104862.52;-0.02;0.00;0.00;0.00
208516284646.27;231867808.62;14346.26;1.01;0.87;139.32;5.90;104.61;6.95;135.42;919.67;87278.24;10300.32;28544.90;103965.45;0.01;2027.47;1103.54;0.00;-27109.16;-104186.63;-0.02;0.00;0.00;0.00
192676985837.95;253710408.77;13775.18;0.95;1.01;139.90;5.80;101.63;6.82;147.21;960.40;111291.39;9954.84;33952.32;112290.65;0.01;1946.72;1059.62;0.00;-30409.54;-105980.72;-0.01;0.00;0.00;0.00
206170563246.82;244946191.88;13030.80;0.97;1.00;138.11;5.82;96.91;7.26;137.44;920.15;103139.01;8945.10;30605.63;107337.23;0.01;1841.47;1002.31;0.00;-27819.11;-103024.64;-0.01;0.00;0.00;0.00
205206881625.83;273493004.63;12270.00;1.10;1.08;141.00;5.80;103.23;7.38;139.92;973.46;111854.95;10465.70;34789.18;121895.67;0.01;1734.06;943.85;0.00;-36422.59;-133185.68;-0.02;0.00;0.00;0.00
185339260422.13;241717178.96;15039.52;0.98;1.05;142.56;5.81;100.98;6.97;139.46;930.62;104147.89;9173.84;30645.40;109141.86;0.01;2125.39;1156.85;0.00;-27749.37;-105582.72;-0.01;0.00;0.00;0.00
181863322168.59;247411815.84;12603.60;0.93;0.99;136.72;5.95;103.80;7.01;137.32;932.96;83187.56;10382.47;30885.00;109747.02;0.01;1781.13;969.46;0.00;-26864.24;-100749.92;-0.01;0.00;0.00;0.00
202345239954.74;216384846.45;12633.77;0.97;0.97;141.74;5.63;100.98;6.92;138.87;931.37;95693.51;9859.64;27317.96;94148.90;0.01;1785.35;971.77;0.00;-24777.38;-90418.63;-0.01;0.00;0.00;0.00
212608300443.64;239604725.80;13015.21;0.92;0.98;141.09;5.90;99.01;7.17;137.59;953.25;97896.76;10567.34;29970.57;108816.10;0.01;1839.33;1001.15;0.00;-25686.94;-98850.51;-0.01;0.00;0.00;0.00
192784916763.63;262479086.98;14733.05;0.97;1.01;139.61;5.84;105.99;7.21;134.81;952.77;104310.12;9673.72;32169.19;116749.43;0.01;2082.16;1133.31;0.00;-29059.00;-111924.55;-0.01;0.00;0.00;0.00
195256947815.38;243939361.99;10004.75;1.04;1.00;136.95;5.61;102.36;6.89;137.56;942.38;96305.20;10765.98;30504.82;102269.72;0.01;1413.80;769.54;0.00;-30302.84;-105555.90;-0.02;0.00;0.00;0.00
192729549779.41;237472741.38;12774.31;1.08;1.08;137.53;5.64;103.57;7.04;138.87;927.27;106438.63;10896.30;29980.04;100542.79;0.01;1805.29;982.62;0.00;-30540.80;-107922.79;-0.02;0.00;0.00;0.00
191204964235.97;245020846.12;10912.99;0.99;1.07;143.30;5.83;98.38;7.13;134.95;957.50;105674.97;9845.53;30060.06;111709.39;0.01;1542.12;839.38;0.00;-28126.98;-109755.81;-0.01;0.00;0.00;0.00
208490588849.74;258856069.87;14821.56;1.10;1.01;140.98;5.74;100.09;7.02;138.15;936.94;97342.85;7547.06;32509.78;114347.48;0.01;2094.57;1140.08;0.00;-33683.50;-124738.96;-0.02;0.00;0.00;0.00
206991406092.85;256078253.00;11649.88;1.00;0.94;138.87;5.69;106.05;7.30;141.47;950.10;104622.26;8965.66;32934.64;110281.35;0.01;1646.31;896.08;0.00;-31351.99;-109339.88;-0.01;0.00;0.00;0.00
193124417582.99;220387199.01;13186.22;1.01;1.00;136.76;5.68;100.76;7.17;137.98;940.86;89578.67;9743.51;27644.52;93376.32;0.01;1863.50;1014.31;0.00;-26146.81;-93609.86;-0.02;0.00;0.00;0.00
185405979933.37;248322975.38;12399.68;0.95;1.08;143.09;5.81;102.61;7.28;140.23;954.37;105501.88;8226.01;31656.38;112586.33;0.01;1752.30;953.77;0.00;-28132.30;-105765.75;-0.01;0.00;0.00;0.00
213528021457.25;264737724.36;14265.10;1.01;1.01;140.67;5.73;106.63;7.18;136.80;923.86;101350.31;8512.68;32924.16;116370.72;0.01;2016.04;1097.31;0.00;-31271.66;-116592.11;-0.02;0.00;0.00;0.00
200075130737.75;246137676.73;12655.82;1.10;0.95;135.27;5.90;99.01;7.11;140.46;938.94;100796.34;9191.49;31428.69;107099.74;0.01;1788.45;973.46;0.00;-32892.88;-116953.56;-0.02;0.00;0.00;0.00
209004347342.84;246456545.77;12674.57;1.04;1.01;138.35;5.84;101.35;7.22;141.34;935.15;104654.25;11192.16;31667.36;108631.19;0.01;1791.16;974.92;0.00;-31075.08;-111801.89;-0.02;0.00;0.00;0.00
194498503149.39;233637235.66;13618.03;1.01;0.99;138.52;5.73;101.94;7.32;140.01;932.50;85911.58;9712.27;29737.21;101225.28;0.01;1924.58;1047.54;0.00;-27999.59;-100738.36;-0.02;0.00;0.00;0.00
209168091148.57;279720358.41;11578.29;0.97;1.00;138.84;5.75;105.25;7.13;141.40;938.98;95402.97;9954.08;35955.77;121726.94;0.01;1636.27;890.62;0.00;-33250.02;-117229.00;-0.01;0.00;0.00;0.00
205405863047.44;228233799.43;13339.79;1.02;1.12;137.31;6.03;102.78;6.93;132.06;964.05;92286.16;7932.95;27399.87;103021.11;0.01;1885.12;1026.08;0.00;-25786.76;-103772.88;-0.02;0.00;0.00;0.00
216979792682.27;249673376.94;10953.34;1.08;1.03;137.00;5.68;103.69;7.24;137.18;929.71;98031.34;9238.31;31137.27;106043.02;0.01;1547.94;842.54;0.00;-31895.29;-113197.78;-0.02;0.00;0.00;0.00
219895490080.35;256260914.54;12644.75;0.98;0.95;139.85;5.90;99.40;7.16;140.56;946.94;113391.63;11296.11;32746.25;115236.32;0.01;1786.91;972.62;0.00;-30329.98;-111790.76;-0.01;0.00;0.00;0.00
194299067534.46;256591229.90;14162.78;1.03;0.98;142.82;5.75;101.08;7.22;138.22;919.99;103795.47;10158.89;32241.11;114859.89;0.01;2001.47;1089.38;0.00;-31220.77;-117155.24;-0.02;0.00;0.00;0.00
192986934282.72;243828229.46;13602.89;1.01;0.98;132.25;5.76;100.65;7.32;136.90;950.68;100154.47;8309.29;30344.65;101380.17;0.01;1922.29;1046.31;0.00;-28764.77;-101360.65;-0.02;0.00;0.00;0.00
188222411682.02;251133608.81;12612.84;1.05;0.95;138.81;5.79;102.80;6.93;147.01;950.88;108697.23;9509.49;33562.02;110003.76;0.01;1782.38;970.15;0.00;-33574.90;-114674.08;-0.02;0.00;0.00;0.00
199251812589.57;251312045.55;10746.96;1.01;1.10;140.78;5.70;100.33;6.99;137.79;938.75;104031.54;10735.59;31479.42;109974.45;0.01;1518.67;826.62;0.00;-30155.19;-110258.52;-0.02;0.00;0.00;0.00
