# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
158775229156.21;283878062.57;9530.28;35975.09;124834.09;0.01;27598.20;10513.58;0.37;-8376.89;-114320.51;0.36;0.00;0.00;1.00
249589220201.55;241582906.87;11304.06;30615.14;106234.99;0.01;27598.20;10513.58;0.37;-3016.94;-95721.41;0.36;0.00;0.00;1.00
232778696972.35;289055387.79;10842.20;36631.20;127110.79;0.01;27598.20;10513.58;0.37;-9033.00;-116597.21;0.36;0.00;0.00;1.00
201992370485.40;276786897.26;9244.07;35076.45;121715.78;0.01;27598.20;10513.58;0.37;-7478.25;-111202.20;0.36;0.00;0.00;1.00
184649598369.71;138891028.17;10878.78;17601.28;61076.70;0.01;27598.20;10513.58;0.37;9996.92;-50563.12;0.36;1.00;0.00;1.00
238358740702.70;258029573.02;9145.56;32699.38;113467.33;0.01;27598.20;10513.58;0.37;-5101.18;-102953.75;0.36;0.00;0.00;1.00
185077650414.47;258495997.07;10102.38;32758.49;113672.44;0.01;27598.20;10513.58;0.37;-5160.29;-103158.86;0.36;0.00;0.00;1.00
163792319545.16;237443817.06;9669.74;30090.61;104414.84;0.01;27598.20;10513.58;0.37;-2492.41;-93901.26;0.36;0.00;0.00;1.00
196129325271.68;207405305.05;10299.15;26283.91;91205.54;0.01;27598.20;10513.58;0.37;1314.29;-80691.96;0.36;1.00;0.00;1.00
187788328499.44;234762869.73;10184.42;29750.86;103235.90;0.01;27598.20;10513.58;0.37;-2152.66;-92722.33;0.36;0.00;0.00;1.00
