# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
202395329417.41;266473488.65;12034.31;0.99;1.01;33769.46;117180.51;0.01;22109.17;12034.00;0.00;-10991.21;-103648.79;-0.01;0.00;0.00;0.00
223481335982.07;233971395.12;9942.17;1.03;0.97;29650.56;102887.86;0.01;18265.69;9942.00;0.00;-12916.55;-96474.36;-0.02;0.00;0.00;0.00
226154926570.56;240188173.19;9450.69;0.97;1.02;30438.39;105621.66;0.01;17361.78;9450.00;0.00;-11817.43;-92807.53;-0.01;0.00;0.00;0.00
187633042650.62;282779569.97;10260.31;0.99;1.00;35835.88;124351.03;0.01;18849.93;10260.00;0.00;-16484.04;-112358.00;-0.01;0.00;0.00;0.00
191535967058.54;240740213.01;10363.68;0.96;0.93;30508.35;105864.41;0.01;19039.16;10363.00;0.00;-11539.18;-91841.85;-0.01;0.00;0.00;0.00
161171907468.67;245165160.28;8072.79;0.99;0.92;31069.11;107810.26;0.01;14830.08;8072.00;0.00;-17237.00;-99724.21;-0.01;0.00;0.00;0.00
184715040611.11;251465599.20;10276.70;0.97;0.99;31867.55;110580.85;0.01;18879.32;10276.00;0.00;-12344.51;-97283.04;-0.01;0.00;0.00;0.00
194532160012.60;303521718.66;10173.73;0.92;0.99;38464.48;133472.30;0.01;18690.09;10173.00;0.00;-16760.01;-112260.66;-0.01;0.00;0.00;0.00
188007592064.02;244884608.85;9716.64;0.97;1.00;31033.56;107686.89;0.01;17850.48;9716.00;0.00;-12303.16;-94751.25;-0.01;0.00;0.00;0.00
184098784902.82;288076589.80;9326.99;0.86;0.97;36507.16;126680.37;0.01;17133.96;9326.00;0.00;-14883.70;-100239.62;-0.01;0.00;0.00;0.00
