# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
207747811909.44;233748914.64;17497.47;0.95;1.03;140.45;5.89;102.65;6.84;141.97;972.40;28546.11;28546.11;28546.11;28546.11;28546.11;99795.87;99795.87;99795.87;99795.87;99795.87;0.01;0.01;0.01;0.01;0.01;18704.12;19249.53;18989.53;18989.53;19667.24;17958.20;17958.20;17958.20;17958.20;17958.20;0.00;0.00;0.00;0.00;0.00;-9841.98;-9296.57;-9556.58;-9556.58;-8878.86;-81837.66;-81837.66;-81837.66;-81837.66;-81837.66;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
187490578755.17;225652074.44;21191.72;0.99;1.07;135.90;5.73;99.87;7.62;135.53;909.12;27574.07;27574.07;27574.07;27574.07;27574.07;95072.89;95072.89;95072.89;95072.89;95072.89;0.01;0.01;0.01;0.01;0.01;23509.86;24196.06;23867.94;23867.94;24721.14;22572.36;22572.36;22572.36;22572.36;22572.36;0.00;0.00;0.00;0.00;0.00;-4064.21;-3378.01;-3706.13;-3706.13;-2852.94;-72500.53;-72500.53;-72500.53;-72500.53;-72500.53;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
202670964343.20;267081291.97;17069.28;1.01;0.99;145.59;5.59;99.68;7.92;144.89;901.86;35584.60;35584.60;35584.60;35584.60;35584.60;119859.86;119859.86;119859.86;119859.86;119859.86;0.02;0.02;0.02;0.02;0.02;17655.41;18170.96;17924.10;17924.10;18565.29;16951.40;16951.40;16951.40;16951.40;16951.40;0.00;0.00;0.00;0.00;0.00;-17929.19;-17413.65;-17660.50;-17660.50;-17019.31;-102908.46;-102908.46;-102908.46;-102908.46;-102908.46;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
207621573580.68;254008049.48;19201.09;1.00;0.96;142.96;5.82;106.72;6.76;139.81;954.41;32358.14;32358.14;32358.14;32358.14;32358.14;115460.59;115460.59;115460.59;115460.59;115460.59;0.02;0.02;0.02;0.02;0.02;19172.48;19731.76;19464.82;19464.82;20159.94;18407.90;18407.90;18407.90;18407.90;18407.90;0.00;0.00;0.00;0.00;0.00;-13185.67;-12626.39;-12893.33;-12893.33;-12198.20;-97052.68;-97052.68;-97052.68;-97052.68;-97052.68;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
203724191017.35;249130521.74;20265.37;1.01;1.00;137.23;5.68;101.20;6.87;132.49;944.35;30320.33;30320.33;30320.33;30320.33;30320.33;106973.65;106973.65;106973.65;106973.65;106973.65;0.02;0.02;0.02;0.02;0.02;21072.70;21687.19;21394.24;21394.24;22157.79;20232.33;20232.33;20232.33;20232.33;20232.33;0.00;0.00;0.00;0.00;0.00;-9247.63;-8633.15;-8926.09;-8926.09;-8162.54;-86741.33;-86741.33;-86741.33;-86741.33;-86741.33;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
196605859386.34;237676858.60;14947.42;1.01;1.04;145.49;5.76;101.35;7.07;141.74;947.49;31080.46;31080.46;31080.46;31080.46;31080.46;110285.27;110285.27;110285.27;110285.27;110285.27;0.02;0.02;0.02;0.02;0.02;16247.26;16721.24;16494.97;16494.97;17084.09;15599.35;15599.35;15599.35;15599.35;15599.35;0.00;0.00;0.00;0.00;0.00;-14833.19;-14359.22;-14585.48;-14585.48;-13996.37;-94685.92;-94685.92;-94685.92;-94685.92;-94685.92;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
183514675155.28;264699329.32;21783.46;1.08;0.99;141.85;5.62;102.99;6.93;140.51;918.77;36625.61;36625.61;36625.61;36625.61;36625.61;124692.04;124692.04;124692.04;124692.04;124692.04;0.02;0.02;0.02;0.02;0.02;22558.96;23217.13;22902.83;22902.83;23720.95;21659.35;21659.35;21659.35;21659.35;21659.35;0.00;0.00;0.00;0.00;0.00;-14066.65;-13408.48;-13722.78;-13722.78;-12904.66;-103032.69;-103032.69;-103032.69;-103032.69;-103032.69;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
197834982017.88;241053337.11;18716.66;1.01;0.99;142.15;6.14;90.24;6.97;140.28;952.50;31064.09;31064.09;31064.09;31064.09;31064.09;115966.88;115966.88;115966.88;115966.88;115966.88;0.02;0.02;0.02;0.02;0.02;19201.57;19761.34;19494.72;19494.72;20190.15;18435.80;18435.80;18435.80;18435.80;18435.80;0.00;0.00;0.00;0.00;0.00;-11862.52;-11302.75;-11569.37;-11569.37;-10873.94;-97531.08;-97531.08;-97531.08;-97531.08;-97531.08;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
191165316353.50;250039320.22;20192.64;0.97;0.96;143.75;5.38;100.33;7.38;137.03;865.51;30240.75;30240.75;30240.75;30240.75;30240.75;102473.20;102473.20;102473.20;102473.20;102473.20;0.01;0.01;0.01;0.01;0.01;20190.38;20779.85;20497.74;20497.74;21230.80;19385.27;19385.27;19385.27;19385.27;19385.27;0.00;0.00;0.00;0.00;0.00;-10050.38;-9460.90;-9743.02;-9743.02;-9009.96;-83087.93;-83087.93;-83087.93;-83087.93;-83087.93;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
184279271307.71;244914595.89;19737.76;1.01;1.01;143.51;5.43;98.19;7.48;132.88;950.13;29849.97;29849.97;29849.97;29849.97;29849.97;104943.06;104943.06;104943.06;104943.06;104943.06;0.02;0.02;0.02;0.02;0.02;20779.95;21386.08;21096.85;21096.85;21850.15;19951.27;19951.27;19951.27;19951.27;19951.27;0.00;0.00;0.00;0.00;0.00;-9070.02;-8463.89;-8753.12;-8753.12;-7999.82;-84991.79;-84991.79;-84991.79;-84991.79;-84991.79;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
