# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
186800533364.06;287121420.68;9102.51;36386.11;126260.34;0.01;27598.20;10513.58;0.00;-8787.91;-115746.76;0.36;0.00;0.00;1.00
205354106484.42;226710065.92;10742.80;28730.35;99694.72;0.01;27598.20;10513.58;0.00;-1132.15;-89181.14;0.36;0.00;0.00;1.00
201431504796.68;231644847.22;9340.60;29355.72;101864.77;0.01;27598.20;10513.58;0.00;-1757.52;-91351.19;0.36;0.00;0.00;1.00
219195028786.57;271693081.85;10559.16;34430.92;119475.80;0.01;27598.20;10513.58;0.00;-6832.72;-108962.22;0.36;0.00;0.00;1.00
172172077598.20;272427048.42;10041.21;34523.94;119798.56;0.01;27598.20;10513.58;0.00;-6925.74;-109284.98;0.36;0.00;0.00;1.00
227553461089.40;293584632.47;9293.86;37205.18;129102.51;0.01;27598.20;10513.58;0.00;-9606.98;-118588.93;0.36;0.00;0.00;1.00
199246863555.03;276040723.29;9596.38;34981.89;121387.65;0.01;27598.20;10513.58;0.00;-7383.69;-110874.07;0.36;0.00;0.00;1.00
181925560585.39;250503986.67;11668.07;31745.69;110157.99;0.01;27598.20;10513.58;0.00;-4147.49;-99644.41;0.36;0.00;0.00;1.00
217414647893.20;262994176.16;8346.51;33328.53;115650.49;0.01;27598.20;10513.58;0.00;-5730.33;-105136.91;0.36;0.00;0.00;1.00
194937937751.53;248816320.70;9219.59;31531.81;109415.85;0.01;27598.20;10513.58;0.00;-3933.61;-98902.27;0.36;0.00;0.00;1.00
