# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
201517259239.38;237328391.58;18000.83;1.00;1.01;136.15;6.11;111.90;7.11;138.71;840.82;30013.45;30013.45;30013.45;30013.45;30013.45;108015.51;108015.51;108015.51;108015.51;108015.51;0.02;0.02;0.02;0.02;0.02;18850.48;19401.31;19136.96;19136.96;19822.36;18098.85;18098.85;18098.85;18098.85;18098.85;-0.00;-0.00;-0.00;-0.00;-0.00;-11162.97;-10612.14;-10876.49;-10876.49;-10191.09;-89916.66;-89916.66;-89916.66;-89916.66;-89916.66;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
173640729280.22;210008488.46;19475.86;1.05;0.98;151.53;5.46;103.60;6.79;143.58;947.70;28769.55;28769.55;28769.55;28769.55;28769.55;99506.95;99506.95;99506.95;99506.95;99506.95;0.02;0.02;0.02;0.02;0.02;19785.62;20362.72;20087.37;20087.37;20804.59;18996.59;18996.59;18996.59;18996.59;18996.59;-0.00;-0.00;-0.00;-0.00;-0.00;-8983.93;-8406.83;-8682.18;-8682.18;-7964.96;-80510.37;-80510.37;-80510.37;-80510.37;-80510.37;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201405462502.69;276807452.29;18251.57;0.98;0.97;126.53;5.97;101.85;6.37;145.94;991.14;35858.93;35858.93;35858.93;35858.93;35858.93;111327.54;111327.54;111327.54;111327.54;111327.54;0.01;0.01;0.01;0.01;0.01;18453.12;18990.62;18735.30;18735.30;19402.68;17717.15;17717.15;17717.15;17717.15;17717.15;-0.00;-0.00;-0.00;-0.00;-0.00;-17405.81;-16868.31;-17123.63;-17123.63;-16456.24;-93610.39;-93610.39;-93610.39;-93610.39;-93610.39;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
210273429782.69;213221555.64;18229.66;0.98;1.02;149.58;6.04;98.36;6.76;141.00;980.86;26858.80;26858.80;26858.80;26858.80;26858.80;103265.31;103265.31;103265.31;103265.31;103265.31;0.01;0.01;0.01;0.01;0.01;19345.92;19910.00;19641.17;19641.17;20342.04;18574.40;18574.40;18574.40;18574.40;18574.40;-0.00;-0.00;-0.00;-0.00;-0.00;-7512.88;-6948.80;-7217.64;-7217.64;-6516.76;-84690.90;-84690.90;-84690.90;-84690.90;-84690.90;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
184984880385.35;235186074.20;18649.20;1.00;0.92;141.01;6.08;98.89;6.94;141.16;912.72;30259.64;30259.64;30259.64;30259.64;30259.64;110354.10;110354.10;110354.10;110354.10;110354.10;0.02;0.02;0.02;0.02;0.02;17837.90;18358.38;18109.77;18109.77;18756.77;17126.57;17126.57;17126.57;17126.57;17126.57;-0.00;-0.00;-0.00;-0.00;-0.00;-12421.74;-11901.26;-12149.88;-12149.88;-11502.88;-93227.53;-93227.53;-93227.53;-93227.53;-93227.53;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
194241957337.81;253552334.63;22254.37;0.98;1.00;132.63;5.74;109.02;7.14;133.69;922.26;30325.75;30325.75;30325.75;30325.75;30325.75;103681.81;103681.81;103681.81;103681.81;103681.81;0.01;0.01;0.01;0.01;0.01;23200.78;23877.91;23554.19;23554.19;24396.08;22275.60;22275.60;22275.60;22275.60;22275.60;-0.00;-0.00;-0.00;-0.00;-0.00;-7124.97;-6447.84;-6771.56;-6771.56;-5929.67;-81406.21;-81406.21;-81406.21;-81406.21;-81406.21;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
217108193093.49;235297354.31;22129.72;0.99;0.99;141.32;6.10;94.32;6.62;138.88;908.82;29430.59;29430.59;29430.59;29430.59;29430.59;109585.79;109585.79;109585.79;109585.79;109585.79;0.01;0.01;0.01;0.01;0.01;22910.55;23578.70;23260.06;23260.06;24090.35;21996.89;21996.89;21996.89;21996.89;21996.89;-0.00;-0.00;-0.00;-0.00;-0.00;-6520.05;-5851.89;-6170.53;-6170.53;-5340.24;-87588.91;-87588.91;-87588.91;-87588.91;-87588.91;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
191089433478.75;258528037.46;20077.02;1.00;0.98;134.92;5.33;98.25;6.91;150.04;1001.42;35271.54;35271.54;35271.54;35271.54;35271.54;101403.69;101403.69;101403.69;101403.69;101403.69;0.02;0.02;0.02;0.02;0.02;20485.67;21082.38;20798.92;20798.92;21539.83;19668.64;19668.64;19668.64;19668.64;19668.64;-0.00;-0.00;-0.00;-0.00;-0.00;-14785.87;-14189.16;-14472.62;-14472.62;-13731.71;-81735.05;-81735.05;-81735.05;-81735.05;-81735.05;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
187389537753.67;262310716.29;20037.04;1.03;1.03;149.92;6.08;105.10;7.23;141.51;984.44;34871.81;34871.81;34871.81;34871.81;34871.81;134766.35;134766.35;134766.35;134766.35;134766.35;0.02;0.02;0.02;0.02;0.02;21577.91;22207.58;21906.71;21906.71;22689.50;20717.44;20717.44;20717.44;20717.44;20717.44;-0.00;-0.00;-0.00;-0.00;-0.00;-13293.89;-12664.22;-12965.09;-12965.09;-12182.31;-114048.92;-114048.92;-114048.92;-114048.92;-114048.92;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
168115728406.41;259164964.21;18784.82;1.02;0.97;137.77;6.10;101.62;7.00;147.00;928.63;35243.17;35243.17;35243.17;35243.17;35243.17;120913.27;120913.27;120913.27;120913.27;120913.27;0.02;0.02;0.02;0.02;0.02;18954.65;19507.70;19243.55;19243.55;19931.02;18198.78;18198.78;18198.78;18198.78;18198.78;-0.00;-0.00;-0.00;-0.00;-0.00;-16288.52;-15735.47;-15999.62;-15999.62;-15312.14;-102714.49;-102714.49;-102714.49;-102714.49;-102714.49;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
