# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
19668.95;1032.66;11514.69;938.78;1.00;1.50;31769.35;12100.91;110.97;30830.56;12099.91;109.47;1.00;1.00;1.00
19570.09;1044.40;10934.31;949.45;1.00;1.50;30169.01;11491.35;105.91;29219.56;11490.35;104.41;1.00;1.00;1.00
19020.15;917.58;9088.88;834.16;1.00;1.50;25075.54;9551.25;90.58;24241.38;9550.25;89.08;1.00;1.00;1.00
20257.47;906.11;10756.10;823.74;1.00;1.50;29677.88;11304.27;100.65;28854.14;11303.27;99.15;1.00;1.00;1.00
20090.79;1067.61;9549.81;970.55;1.00;1.50;26347.53;10035.75;90.10;25376.98;10034.75;88.60;1.00;1.00;1.00
20306.51;1009.00;9332.76;917.27;1.00;1.50;25748.79;9807.69;87.12;24831.52;9806.69;85.62;1.00;1.00;1.00
18968.16;917.94;8491.82;834.49;1.00;1.50;23428.31;8923.82;84.86;22593.82;8922.82;83.36;1.00;1.00;1.00
20903.28;990.13;10628.69;900.12;1.00;1.50;29324.70;11169.75;96.38;28424.58;11168.75;94.88;1.00;1.00;1.00
21555.71;897.84;10985.95;816.22;1.00;1.50;30309.73;11544.95;96.61;29493.51;11543.95;95.11;1.00;1.00;1.00
19934.38;978.43;8408.71;889.48;1.00;1.50;23199.29;8836.59;79.96;22309.81;8835.59;78.46;1.00;1.00;1.00
