# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
197559824664.32440;293436281.48135;12594.88524;1.04786;0.96690;134.53596;6.03076;106.84417;7.82443;1086.07093;44984.94558;44984.94558;44984.94558;44984.94558;44984.94558;149685.54835;149685.54835;149685.54835;149685.54835;149685.54835;0.01572;0.01572;0.01572;0.01572;0.01572;19119.78510;13158.90397;13791.64863;14180.99718;14523.77615;15262.69846;12838.68700;13153.01259;13301.33584;13241.42289;0.21132;0.21196;0.21245;0.21277;0.21293;-25865.16048;-31826.04161;-31193.29695;-30803.94840;-30461.16944;-134422.84988;-136846.86134;-136532.53576;-136384.21251;-136444.12546;0.19560;0.19625;0.19673;0.19705;0.19722;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
216682836785.08148;259695978.70544;11905.78397;1.03488;0.99591;139.11944;5.57822;104.22556;7.40279;1552.08828;37636.66490;37636.66490;37636.66490;37636.66490;37636.66490;125138.17070;125138.17070;125138.17070;125138.17070;125138.17070;0.01552;0.01552;0.01552;0.01552;0.01552;19801.07955;13250.79155;13958.47349;14384.18444;14718.47191;15627.64712;12977.15086;13320.84088;13483.01648;13417.50776;0.21535;0.21599;0.21647;0.21679;0.21695;-17835.58536;-24385.87335;-23678.19141;-23252.48047;-22918.19299;-109510.52358;-112161.01984;-111817.32982;-111655.15422;-111720.66294;0.19983;0.20047;0.20095;0.20127;0.20143;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
189763950576.87659;241441432.35868;10486.95166;0.98892;0.98630;133.30396;6.11319;98.45026;7.42735;2605.68295;31054.91199;31054.91199;31054.91199;31054.91199;31054.91199;116744.15063;116744.15063;116744.15063;116744.15063;116744.15063;0.01483;0.01483;0.01483;0.01483;0.01483;17995.08818;12972.81289;13486.86086;13818.21273;14172.86521;14643.94596;12581.08403;12848.58186;12974.81114;12923.82296;0.21187;0.21259;0.21313;0.21348;0.21366;-13059.82381;-18082.09910;-17568.05114;-17236.69927;-16882.04679;-102100.20467;-104163.06660;-103895.56877;-103769.33949;-103820.32767;0.19704;0.19776;0.19829;0.19865;0.19883;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
190117785570.84933;252427553.51276;15569.88146;1.02310;1.01378;132.90617;5.52145;108.57955;7.92051;1377.87027;37575.31244;37575.31244;37575.31244;37575.31244;37575.31244;113711.87201;113711.87201;113711.87201;113711.87201;113711.87201;0.01535;0.01535;0.01535;0.01535;0.01535;23977.91207;17254.10858;17943.91192;18387.29412;18857.63771;19497.61534;16737.19456;17095.14265;17264.05015;17195.82249;0.24736;0.24824;0.24890;0.24934;0.24956;-13597.40037;-20321.20386;-19631.40052;-19188.01832;-18717.67473;-94214.25667;-96974.67745;-96616.72936;-96447.82185;-96516.04952;0.23201;0.23289;0.23355;0.23400;0.23422;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
187416670197.61993;249822782.44776;14543.37662;1.02406;1.00199;134.23515;6.61591;113.24930;6.71475;2049.35293;35045.99100;35045.99100;35045.99100;35045.99100;35045.99100;136321.90139;136321.90139;136321.90139;136321.90139;136321.90139;0.01536;0.01536;0.01536;0.01536;0.01536;22811.75573;16772.15756;17378.62005;17779.13775;18246.39109;18718.83381;16225.38296;16548.71701;16701.29519;16639.66384;0.24334;0.24422;0.24488;0.24532;0.24554;-12234.23527;-18273.83344;-17667.37095;-17266.85325;-16799.59991;-117603.06757;-120096.51843;-119773.18437;-119620.60620;-119682.23755;0.22797;0.22885;0.22952;0.22996;0.23018;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
188404945182.08792;259205827.48479;13639.88394;1.01516;0.92688;131.79008;5.95544;100.73758;7.16599;1672.16806;33199.57535;33199.57535;33199.57535;33199.57535;33199.57535;123915.41432;123915.41432;123915.41432;123915.41432;123915.41432;0.01523;0.01523;0.01523;0.01523;0.01523;19227.03244;14363.90379;14843.58011;15167.58424;15573.77347;15885.21119;13868.11992;14129.68365;14253.11379;14203.25636;0.21565;0.21646;0.21706;0.21747;0.21767;-13972.54291;-18835.67156;-18355.99524;-18031.99111;-17625.80188;-108030.20313;-110047.29440;-109785.73067;-109662.30053;-109712.15796;0.20042;0.20123;0.20184;0.20224;0.20245;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
218329991523.53824;257200291.89921;15257.33414;1.01538;0.97716;130.77380;6.20999;98.46271;7.17865;1947.01123;32398.70634;32398.70634;32398.70634;32398.70634;32398.70634;127250.93495;127250.93495;127250.93495;127250.93495;127250.93495;0.01523;0.01523;0.01523;0.01523;0.01523;23096.41893;16954.29491;17571.75033;17978.90961;18450.88360;18939.47198;16404.74117;16733.43101;16888.53930;16825.88618;0.24037;0.24120;0.24182;0.24223;0.24244;-9302.28741;-15444.41143;-14826.95601;-14419.79673;-13947.82274;-108311.46297;-110846.19378;-110517.50394;-110362.39564;-110425.04877;0.22514;0.22597;0.22659;0.22700;0.22721;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
203222687910.38443;272684708.13166;12055.33172;0.95877;0.97869;142.90033;6.07638;103.89109;7.08820;4281.02857;36986.80738;36986.80738;36986.80738;36986.80738;36986.80738;136208.62863;136208.62863;136208.62863;136208.62863;136208.62863;0.01438;0.01438;0.01438;0.01438;0.01438;22896.26794;15946.00394;16678.33134;17133.31502;17553.32354;18366.67990;15533.90043;15901.22586;16074.55298;16004.53965;0.23458;0.23538;0.23599;0.23639;0.23659;-14090.53944;-21040.80344;-20308.47604;-19853.49236;-19433.48384;-117841.94873;-120674.72820;-120307.40277;-120134.07566;-120204.08899;0.22020;0.22100;0.22161;0.22201;0.22221;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
204146464997.40973;272754980.88544;13272.27882;0.97912;1.00126;134.64968;5.84829;102.27038;6.78988;2446.29551;33308.96870;33308.96870;33308.96870;33308.96870;33308.96870;126181.45269;126181.45269;126181.45269;126181.45269;126181.45269;0.01469;0.01469;0.01469;0.01469;0.01469;21633.12169;15869.71979;16449.89846;16831.85716;17272.92526;17734.66880;15356.73710;15665.09050;15810.59857;15751.82300;0.23526;0.23611;0.23675;0.23717;0.23738;-11675.84701;-17439.24891;-16859.07024;-16477.11154;-16036.04344;-108446.78389;-110824.71559;-110516.36219;-110370.85412;-110429.62969;0.22057;0.22142;0.22206;0.22248;0.22270;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
198914750758.29797;257179835.52092;14242.34237;0.99997;0.98311;139.91850;5.73241;101.07747;7.10949;1204.52457;34386.92308;34386.92308;34386.92308;34386.92308;34386.92308;123762.06037;123762.06037;123762.06037;123762.06037;123762.06037;0.01500;0.01500;0.01500;0.01500;0.01500;21437.77687;15204.44951;15852.06161;16261.70265;16669.97339;17326.85366;14776.43634;15107.15026;15263.20399;15200.16821;0.22988;0.23070;0.23131;0.23172;0.23192;-12949.14621;-19182.47357;-18534.86147;-18125.22043;-17716.94969;-106435.20671;-108985.62403;-108654.91011;-108498.85637;-108561.89216;0.21488;0.21570;0.21631;0.21672;0.21692;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;1.00000
