# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
20202.94;861.96;10777.93;783.60;1.00;1.50;29735.82;11326.34;1989.00;28952.22;11325.34;1987.50;1.00;1.00;1.00
19229.10;1108.07;10849.87;1007.33;1.00;1.50;29934.48;11402.01;1989.00;28927.15;11401.01;1987.50;1.00;1.00;1.00
19849.70;843.57;9217.29;766.88;1.00;1.50;25431.48;9686.83;1989.00;24664.60;9685.83;1987.50;1.00;1.00;1.00
20275.36;793.40;9554.56;721.27;1.00;1.50;26361.33;10041.00;1989.00;25640.06;10040.00;1987.50;1.00;1.00;1.00
20586.25;956.99;9899.67;870.00;1.00;1.50;27313.25;10403.59;1989.00;26443.25;10402.59;1987.50;1.00;1.00;1.00
20543.87;981.94;10249.96;892.67;1.00;1.50;28278.97;10771.43;1989.00;27386.29;10770.43;1987.50;1.00;1.00;1.00
19745.77;1185.87;9508.39;1078.06;1.00;1.50;26234.41;9992.66;1989.00;25156.35;9991.66;1987.50;1.00;1.00;1.00
18641.37;1058.43;9500.84;962.21;1.00;1.50;26212.33;9984.25;1989.00;25250.13;9983.25;1987.50;1.00;1.00;1.00
21382.13;772.33;8638.52;702.12;1.00;1.50;23833.91;9078.31;1989.00;23131.79;9077.31;1987.50;1.00;1.00;1.00
20000.78;871.90;8077.78;792.63;1.00;1.50;22286.00;8488.72;1989.00;21493.37;8487.72;1987.50;1.00;1.00;1.00
