# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
199428098980.13;225536199.05;9771.95;0.95;1.09;139.06;5.77;98.84;7.32;139.98;932.67;28700.79;98754.66;0.01;26017.95;29313.00;-0.00;957.14;-62081.72;-0.01;1.00;0.00;0.00
194906675477.47;256108393.53;10427.05;0.94;0.97;135.52;5.80;99.00;6.94;140.51;905.00;32715.51;109848.76;0.01;27764.79;31281.00;-0.00;-3910.39;-73219.17;-0.01;0.00;0.00;0.00
195564195002.36;264696081.98;10044.93;1.02;0.97;142.53;5.89;105.43;6.78;134.47;941.24;32358.23;121139.76;0.01;26744.89;30132.00;-0.00;-7045.02;-94022.80;-0.02;0.00;0.00;0.00
203870183296.71;235507988.70;9620.22;1.01;0.91;140.83;5.62;97.23;7.10;138.51;933.23;29653.99;101684.96;0.01;25616.09;28860.00;-0.00;-6622.22;-76274.42;-0.02;0.00;0.00;0.00
210278374933.94;247881196.07;9408.95;0.99;1.09;134.90;5.88;107.07;7.10;139.26;940.75;31381.30;107198.52;0.01;25051.24;28224.00;-0.00;-3674.46;-74932.97;-0.01;0.00;0.00;0.00
199965186689.23;247518935.34;10965.98;0.97;1.01;143.51;6.05;100.12;7.09;142.64;933.43;32096.12;117176.25;0.01;29197.18;32895.00;-0.00;-1348.51;-79707.74;-0.01;0.00;0.00;0.00
211745049715.28;255574866.79;9310.29;0.94;1.10;136.72;5.62;99.81;7.16;139.57;964.51;32426.80;107148.67;0.01;24790.76;27930.00;-0.00;-3202.06;-69991.92;-0.01;0.00;0.00;0.00
184693763462.88;252660125.43;10981.41;1.04;0.99;134.05;5.65;100.53;7.17;140.11;936.83;32181.13;104457.17;0.01;29240.09;32943.00;-0.00;-4378.82;-75611.11;-0.02;0.00;0.00;0.00
197711625232.51;239217152.80;9455.70;0.95;1.03;137.15;5.85;102.99;7.08;137.09;925.47;29812.13;104621.56;0.01;25176.43;28365.00;-0.00;-2536.04;-70465.11;-0.01;0.00;0.00;0.00
197775087511.61;259623289.51;11538.71;1.03;1.04;134.91;6.04;101.04;7.10;138.53;915.96;32695.71;115411.03;0.01;30722.93;34614.00;-0.00;-1790.23;-82836.65;-0.02;0.00;0.00;0.00
190855515411.90;256453107.28;11767.03;0.87;0.96;138.76;5.80;101.03;7.03;139.77;929.61;32586.72;112562.03;0.01;31332.90;35301.00;-0.00;1445.59;-64721.27;-0.01;1.00;0.00;0.00
197026483147.26;241412668.00;8708.04;1.08;1.05;142.93;5.85;98.43;7.08;136.09;909.15;29867.97;110091.69;0.01;23187.32;26124.00;-0.00;-8065.02;-91797.44;-0.02;0.00;0.00;0.00
202498895364.39;239373509.75;9499.57;1.02;1.02;137.14;5.81;105.60;6.96;141.31;942.42;30750.84;104104.37;0.01;25293.69;28497.00;-0.00;-5643.22;-77153.16;-0.02;0.00;0.00;0.00
224181235980.60;256519739.94;9970.36;0.93;0.92;140.04;5.93;100.62;7.15;145.03;930.05;33821.06;116279.20;0.01;26547.76;29910.00;-0.00;-6916.06;-80451.31;-0.01;0.00;0.00;0.00
199965341210.64;247555288.34;9811.55;0.96;1.05;143.58;5.77;100.79;7.22;141.74;942.89;31899.17;111800.20;0.01;26124.43;29433.00;-0.00;-3300.21;-76784.98;-0.01;0.00;0.00;0.00
185065553313.92;218416992.03;11395.37;0.90;1.03;142.71;5.84;101.16;7.02;137.47;930.80;27296.27;99359.35;0.01;30342.26;34185.00;-0.00;6601.75;-54465.68;-0.01;1.00;0.00;0.00
195402280916.02;254446900.93;10741.68;1.01;1.02;145.15;5.79;100.53;7.16;136.02;940.31;31464.55;116540.26;0.01;28600.80;32223.00;-0.00;-2459.04;-84272.65;-0.02;0.00;0.00;0.00
199377494811.58;251381582.24;9467.35;1.03;0.96;146.06;5.71;101.47;7.13;139.60;945.28;31903.38;114412.17;0.01;25208.46;28401.00;-0.00;-8743.84;-90800.35;-0.02;0.00;0.00;0.00
197996725730.28;269133372.93;10045.91;1.12;0.98;134.50;5.82;100.53;7.08;136.34;929.83;33357.97;114847.00;0.01;26747.65;30135.00;-0.00;-10928.18;-98642.58;-0.02;0.00;0.00;0.00
192398999340.51;251896168.74;10228.36;0.93;1.01;138.79;5.91;98.87;6.73;140.72;955.39;32225.52;112656.54;0.01;27235.31;30684.00;-0.00;-2602.73;-74264.33;-0.01;0.00;0.00;0.00
218360374049.05;238564242.84;9876.41;1.02;1.03;142.10;5.86;103.79;7.05;139.19;924.95;30186.87;108299.25;0.01;26297.36;29628.00;-0.00;-3787.16;-80096.24;-0.02;0.00;0.00;0.00
190151260537.01;262497957.25;10685.34;0.92;0.97;140.62;5.74;100.22;7.13;145.02;913.82;34605.69;115580.42;0.01;28451.62;32055.00;-0.00;-4470.83;-75729.26;-0.01;0.00;0.00;0.00
185482486042.40;262270825.05;11960.71;1.06;0.98;138.77;5.64;100.79;7.13;141.02;967.96;33622.49;111983.20;0.01;31847.16;35880.00;-0.00;-4396.67;-83502.82;-0.02;0.00;0.00;0.00
216572879902.05;247338629.21;9519.28;1.04;1.01;142.57;5.84;102.80;6.87;138.54;955.23;31150.33;112331.00;0.01;25347.09;28557.00;-0.00;-6873.23;-88277.70;-0.02;0.00;0.00;0.00
191525043958.84;237656595.30;12383.91;0.95;1.01;141.72;5.73;101.69;7.25;137.54;949.73;29716.48;105332.40;0.01;32973.12;37149.00;-0.00;4999.50;-62709.35;-0.01;1.00;0.00;0.00
198683221175.30;243614924.92;8311.69;1.04;1.09;143.11;5.83;102.80;7.36;137.11;935.53;30366.26;110797.58;0.01;22130.09;24933.00;-0.00;-7587.25;-88315.79;-0.02;0.00;0.00;0.00
196826907269.28;237599224.49;9017.52;1.00;1.00;137.06;6.00;102.51;7.19;137.55;926.32;29711.50;106638.43;0.01;24010.06;27051.00;-0.00;-5546.05;-79109.92;-0.01;0.00;0.00;0.00
215486873521.37;232427502.01;10414.20;1.08;1.01;138.98;5.81;100.28;7.02;135.14;945.47;28555.82;102288.79;0.01;27730.31;31242.00;-0.00;-2711.59;-78543.47;-0.02;0.00;0.00;0.00
192998236418.86;257277648.66;8904.53;1.05;0.98;141.26;5.79;103.63;7.04;139.52;960.07;32631.84;114827.77;0.01;23709.42;26712.00;-0.00;-10891.52;-93865.54;-0.02;0.00;0.00;0.00
194043575534.63;261533542.93;8866.31;0.99;1.04;143.57;5.70;100.56;7.21;142.55;964.60;33891.99;116741.74;0.01;23608.28;26598.00;-0.00;-9054.12;-88224.93;-0.01;0.00;0.00;0.00
209116028358.08;254970969.25;11343.62;1.00;1.04;141.39;5.71;100.35;6.85;136.93;959.58;31739.26;112240.76;0.01;30204.27;34029.00;-0.00;-420.47;-77107.66;-0.02;0.00;0.00;0.00
200608503809.65;258563136.37;9945.62;0.98;0.94;141.12;5.69;102.21;7.23;141.72;938.59;33313.08;113160.07;0.01;26481.22;29835.00;-0.00;-7666.43;-82625.62;-0.01;0.00;0.00;0.00
199409768640.28;250160173.80;9411.60;0.95;1.01;141.03;5.69;100.89;7.00;139.15;913.21;31646.09;109410.71;0.01;25059.31;28233.00;-0.00;-4786.53;-75403.11;-0.01;0.00;0.00;0.00
212291695542.12;248891237.72;9461.51;1.02;0.95;135.94;5.80;99.37;6.97;139.79;954.82;31630.37;107091.15;0.01;25192.85;28383.00;-0.00;-8312.99;-82030.79;-0.02;0.00;0.00;0.00
212150473472.32;257683797.71;9696.03;0.97;0.94;135.61;5.66;103.11;7.33;136.62;928.48;32005.22;107812.81;0.01;25818.13;29088.00;-0.00;-6710.51;-77218.02;-0.01;0.00;0.00;0.00
189312372696.18;226416952.56;10586.57;1.12;1.05;136.68;5.66;103.88;6.88;143.30;924.80;29495.84;95516.47;0.01;28188.19;31758.00;-0.00;-3506.24;-73650.43;-0.02;0.00;0.00;0.00
188105091824.33;266206543.55;10291.33;1.01;0.90;135.95;5.75;102.52;7.12;137.74;928.28;33334.48;113530.85;0.01;27402.58;30873.00;-0.00;-8923.63;-86767.02;-0.02;0.00;0.00;0.00
192693845435.88;251514739.85;10602.46;1.01;0.99;137.89;5.67;105.28;7.12;141.18;936.48;32279.79;107315.97;0.01;28230.64;31806.00;-0.00;-4723.20;-76820.73;-0.02;0.00;0.00;0.00
204610988634.98;232616645.08;8871.62;1.00;1.05;139.64;5.69;105.14;7.38;136.99;911.65;28968.32;100897.86;0.01;23621.09;26613.00;-0.00;-4116.60;-72570.37;-0.01;0.00;0.00;0.00
190381981821.73;264969154.84;10865.71;0.97;0.97;137.64;5.67;102.42;7.04;138.70;966.65;33410.81;112792.41;0.01;28931.36;32595.00;-0.00;-4188.62;-77269.58;-0.01;0.00;0.00;0.00
216059778096.74;236225511.02;9658.31;1.05;0.92;139.00;5.90;102.77;7.13;139.96;959.69;30055.91;105652.04;0.01;25717.14;28974.00;-0.00;-7875.53;-84483.47;-0.02;0.00;0.00;0.00
190696407316.32;245422478.77;11334.48;1.09;0.95;137.05;5.85;101.15;7.19;140.96;918.37;31449.66;107407.77;0.01;30179.72;34002.00;-0.00;-5640.37;-84623.33;-0.02;0.00;0.00;0.00
195741966116.28;252237534.60;9821.84;1.04;0.95;146.22;5.87;103.01;7.31;140.60;949.94;32241.00;118112.15;0.01;26150.89;29463.00;-0.00;-8744.21;-94852.80;-0.02;0.00;0.00;0.00
210123774739.12;249212095.76;9080.21;1.01;1.14;136.04;5.90;101.07;7.25;139.18;924.31;31532.56;109035.14;0.01;24177.87;27240.00;-0.00;-4063.17;-78539.03;-0.02;0.00;0.00;0.00
215089802644.49;242179309.72;10021.93;1.00;0.98;140.93;5.84;101.60;7.06;140.71;931.76;30979.60;108775.48;0.01;26683.61;30063.00;-0.00;-4953.98;-79789.05;-0.02;0.00;0.00;0.00
197010438801.93;263560984.87;9451.61;1.03;1.00;135.85;5.79;98.92;7.24;139.06;933.02;33318.97;113048.03;0.01;25165.94;28353.00;-0.00;-9336.90;-88580.90;-0.02;0.00;0.00;0.00
221868259302.51;253133995.48;12298.88;1.03;1.06;134.59;5.69;101.26;7.31;136.89;914.07;31500.59;105791.85;0.01;32746.62;36894.00;-0.00;2267.38;-70061.06;-0.02;1.00;0.00;0.00
196605172771.47;252681117.49;10414.63;1.00;1.04;139.27;5.83;102.04;7.10;137.54;949.83;31595.16;111867.05;0.01;27730.20;31242.00;-0.00;-2967.14;-79972.88;-0.02;0.00;0.00;0.00
194961274791.69;257261658.69;10633.14;1.00;1.00;140.12;5.95;105.20;7.30;142.94;954.99;33430.62;117048.27;0.01;28313.06;31899.00;-0.00;-5168.58;-85486.41;-0.02;0.00;0.00;0.00
188257118237.57;228600316.67;9788.11;1.04;1.01;141.33;5.82;98.39;7.11;138.77;934.61;28839.65;102614.27;0.01;26063.31;29364.00;-0.00;-3760.17;-77514.09;-0.02;0.00;0.00;0.00
187577969143.71;256007317.62;11992.27;1.04;0.99;139.60;5.79;96.91;7.03;140.21;935.29;32631.47;112892.46;0.01;31932.26;35976.00;-0.00;-2363.05;-81718.06;-0.02;0.00;0.00;0.00
210413294237.12;251722516.51;9491.42;1.02;1.00;140.73;5.78;104.20;6.89;138.28;954.13;31643.51;111659.74;0.01;25272.51;28473.00;-0.00;-6961.07;-85155.96;-0.02;0.00;0.00;0.00
206991711678.55;249877624.35;8400.03;1.13;1.00;136.79;5.82;104.48;6.96;144.21;974.46;32757.89;108419.75;0.01;22367.53;25200.00;-0.00;-14440.53;-96819.76;-0.02;0.00;0.00;0.00
205443169030.25;255227858.84;9603.23;1.05;1.01;138.32;5.91;101.26;6.76;142.10;950.81;32971.36;113780.08;0.01;25570.91;28809.00;-0.00;-8931.61;-90855.42;-0.02;0.00;0.00;0.00
210788266945.07;226712224.64;10581.53;0.97;0.99;137.04;5.67;103.11;7.23;139.43;947.89;28735.90;96030.63;0.01;28174.85;31743.00;-0.00;109.82;-61369.56;-0.01;1.00;0.00;0.00
196616948064.85;252664659.96;10021.15;0.92;0.95;134.74;5.61;102.03;7.19;136.94;928.44;31454.46;104258.80;0.01;26683.69;30063.00;-0.00;-3698.86;-67796.58;-0.01;0.00;0.00;0.00
204638375622.53;252077191.71;8333.64;1.03;1.09;141.78;5.80;103.70;7.26;138.84;949.88;31816.92;113134.19;0.01;22188.79;24999.00;-0.00;-8584.66;-89394.74;-0.02;0.00;0.00;0.00
190111448591.98;249900690.85;12422.22;1.00;1.06;135.39;5.68;102.80;7.02;137.73;958.67;31289.58;104793.80;0.01;33077.32;37266.00;-0.00;3813.40;-64915.27;-0.01;1.00;0.00;0.00
196871376608.46;245773912.43;10043.57;0.97;1.03;145.61;5.79;99.66;6.92;138.77;952.22;31004.93;113104.03;0.01;26742.43;30129.00;-0.00;-2499.76;-78630.03;-0.01;0.00;0.00;0.00
207741409519.21;261487757.54;9637.65;0.99;1.01;138.71;5.74;103.13;6.98;138.29;912.68;32872.69;113627.73;0.01;25661.04;28911.00;-0.00;-6570.73;-83060.42;-0.01;0.00;0.00;0.00
194226278278.60;251953462.46;9456.42;0.92;1.04;137.78;5.90;100.07;7.05;145.41;921.24;33305.18;111670.20;0.01;25179.17;28368.00;-0.00;-4362.75;-72804.31;-0.01;0.00;0.00;0.00
196138017748.94;225312039.56;9518.31;0.98;0.88;137.63;5.99;107.21;6.84;140.84;953.61;28847.23;101311.26;0.01;25344.29;28554.00;-0.00;-6203.25;-74753.91;-0.01;0.00;0.00;0.00
185011351510.82;267413146.76;8909.74;0.98;1.00;135.51;6.00;102.49;7.24;141.18;903.21;34320.66;118505.44;0.01;23722.34;26727.00;-0.00;-9995.24;-89798.29;-0.01;0.00;0.00;0.00
208471652424.99;250348773.43;9274.09;0.99;0.91;136.73;5.69;101.85;7.49;137.11;959.31;31204.52;106239.42;0.01;24694.57;27822.00;-0.00;-8567.55;-80234.68;-0.01;0.00;0.00;0.00
184560379415.32;270970029.04;10432.17;0.98;0.99;140.00;5.72;103.88;7.06;143.66;912.90;35387.62;118453.84;0.01;27777.84;31296.00;-0.00;-6963.22;-84501.86;-0.01;0.00;0.00;0.00
194765744881.25;243498149.71;10658.16;1.04;0.98;137.77;5.68;101.13;7.25;136.55;968.99;30226.34;103893.75;0.01;28380.10;31974.00;-0.00;-3542.68;-76731.27;-0.02;0.00;0.00;0.00
214497412228.81;242846710.72;9396.74;1.00;1.09;139.01;5.66;97.50;7.11;133.84;962.96;29547.83;104135.96;0.01;25019.83;28188.00;-0.00;-2251.31;-73122.90;-0.01;0.00;0.00;0.00
184748652137.22;262901017.01;9706.15;0.95;0.98;138.13;5.76;103.27;7.31;140.90;925.59;33675.08;114116.00;0.01;25844.67;29118.00;-0.00;-6627.40;-79633.81;-0.01;0.00;0.00;0.00
