# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.25;8.88;35.57;2845.37;1914.47;-930.90;0.00
0.26;12.27;41.35;3308.10;2179.64;-1128.46;0.00
0.24;11.52;43.53;3482.67;2037.76;-1444.91;0.00
0.25;13.06;45.43;3634.29;2178.05;-1456.24;0.00
0.24;9.71;41.00;3279.97;1908.41;-1371.57;0.00
0.30;10.99;44.37;3549.94;2346.08;-1203.86;0.00
0.28;9.73;32.96;2637.14;2184.80;-452.34;0.00
0.24;11.64;35.53;2842.66;2018.62;-824.04;0.00
0.18;9.45;31.70;2535.78;1559.77;-976.00;0.00
0.28;10.86;42.72;3417.64;2202.46;-1215.18;0.00
0.25;9.97;36.94;2955.44;2014.70;-940.74;0.00
0.23;9.71;33.81;2704.93;1894.41;-810.52;0.00
0.22;9.84;46.44;3715.35;1812.31;-1903.04;0.00
0.28;10.84;31.93;2554.03;2195.29;-358.74;0.00
0.25;11.61;38.37;3069.90;2111.96;-957.94;0.00
0.19;9.56;39.73;3178.44;1625.97;-1552.47;0.00
0.24;12.07;45.06;3604.73;2077.33;-1527.41;0.00
0.24;10.19;32.03;2562.59;1940.02;-622.57;0.00
0.24;11.71;36.71;2936.40;2060.63;-875.77;0.00
0.23;8.74;37.59;3006.91;1796.46;-1210.46;0.00
0.23;8.89;45.01;3600.87;1799.60;-1801.27;0.00
0.25;11.68;47.93;3834.41;2100.08;-1734.34;0.00
0.32;10.08;43.53;3482.32;2389.31;-1093.02;0.00
0.23;10.17;42.95;3436.11;1878.25;-1557.86;0.00
0.24;9.51;40.62;3249.52;1916.32;-1333.21;0.00
0.26;11.80;37.36;2988.68;2148.23;-840.46;0.00
0.23;8.48;42.74;3419.45;1819.92;-1599.53;0.00
0.28;9.14;42.99;3439.37;2098.01;-1341.36;0.00
0.31;10.45;38.25;3059.81;2355.94;-703.87;0.00
0.21;9.92;42.25;3379.63;1754.35;-1625.28;0.00
0.23;10.12;38.37;3069.98;1888.24;-1181.73;0.00
0.24;10.54;44.62;3569.26;1994.83;-1574.43;0.00
0.27;10.65;37.04;2963.07;2158.65;-804.42;0.00
0.26;8.79;41.06;3284.45;1970.36;-1314.09;0.00
0.22;9.99;50.69;4055.04;1826.77;-2228.27;0.00
0.23;10.78;42.63;3410.11;1929.74;-1480.37;0.00
0.29;10.35;46.79;3743.58;2242.95;-1500.63;0.00
0.24;9.63;35.50;2840.00;1944.64;-895.36;0.00
0.26;11.23;45.31;3625.04;2142.07;-1482.96;0.00
0.23;9.22;42.22;3377.68;1835.13;-1542.55;0.00
0.27;8.68;41.45;3316.33;2020.98;-1295.35;0.00
0.25;8.51;40.45;3236.13;1943.08;-1293.05;0.00
0.29;9.41;42.66;3412.77;2177.66;-1235.11;0.00
0.29;10.55;34.92;2793.79;2238.15;-555.64;0.00
0.22;11.15;42.26;3381.11;1880.39;-1500.72;0.00
0.25;8.66;34.91;2792.99;1952.62;-840.37;0.00
0.25;9.09;42.04;3363.39;1965.27;-1398.12;0.00
0.26;12.43;32.31;2585.08;2192.72;-392.36;0.00
0.27;10.81;31.56;2525.06;2185.51;-339.55;0.00
0.24;10.27;40.39;3231.22;1963.51;-1267.71;0.00
0.27;10.87;37.00;2959.69;2140.78;-818.91;0.00
