# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
387;989;2;2;2;1;2;0;0;1;1
403;723;2;2;3;1;1;1;1;1;1
261;1006;2;2;3;1;1;1;1;1;1
453;1010;2;2;2;2;2;0;0;1;1
399;919;3;3;3;1;2;1;1;1;1
353;1050;2;2;3;1;1;1;1;1;1
411;1084;2;2;3;2;2;0;1;1;1
518;962;2;2;2;2;2;0;0;1;1
603;888;2;2;3;2;2;0;0;1;1
410;1162;2;2;3;2;2;0;0;1;1
513;913;3;3;3;2;2;1;1;1;1
613;1009;2;2;3;2;2;0;0;1;1
542;960;1;1;2;2;2;0;0;0;0
450;981;3;3;3;2;2;0;1;1;1
478;834;3;3;3;2;2;0;1;1;1
478;906;3;3;3;2;2;0;1;1;1
584;911;2;2;2;2;2;0;0;0;1
649;892;3;3;3;2;3;0;0;1;1
321;987;3;3;3;1;1;1;1;1;1
653;854;2;2;2;2;3;0;0;0;0
657;1170;3;3;3;3;3;0;0;1;1
388;941;2;2;3;1;1;1;1;1;1
308;840;2;2;3;1;1;1;1;1;1
572;1051;2;2;3;2;2;0;0;1;1
554;874;2;2;2;2;2;0;0;1;1
580;1076;2;2;3;2;2;0;0;1;1
552;884;2;2;3;2;2;0;0;1;1
542;946;2;2;3;2;2;0;0;1;1
370;1011;2;2;2;1;1;0;0;1;1
638;947;3;3;3;2;2;0;0;1;1
504;923;2;2;2;2;2;0;0;1;1
534;970;2;2;3;2;2;0;0;1;1
739;1111;3;3;3;3;3;0;0;0;0
539;878;2;2;2;2;2;0;0;1;1
492;1059;3;3;3;2;2;0;0;1;1
631;889;3;3;3;2;2;0;0;1;1
463;1130;3;3;3;2;2;0;0;1;1
623;878;3;3;3;2;2;0;0;1;1
601;1134;2;2;3;2;2;0;0;1;1
466;761;3;3;3;2;2;0;1;1;1
645;974;2;2;2;2;3;0;0;0;0
590;998;3;3;3;2;2;0;0;1;1
389;951;2;2;3;1;1;1;1;1;1
491;898;2;2;2;2;2;0;0;1;1
475;982;3;3;3;2;2;0;1;1;1
492;1024;3;3;3;2;2;1;1;1;1
367;1232;3;3;3;1;2;1;1;1;1
422;1078;3;3;3;2;2;1;1;1;1
468;1034;2;2;3;2;2;0;0;1;1
401;1023;2;2;3;1;2;0;0;1;1
514;1031;3;3;3;2;2;0;0;1;1
377;983;2;2;2;1;1;0;1;1;1
577;1044;3;3;3;2;2;0;0;1;1
307;934;2;2;3;1;1;1;1;1;1
495;1138;3;3;3;2;2;0;1;1;1
530;997;3;3;3;2;2;0;1;1;1
594;903;2;2;3;2;2;0;0;1;1
