# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
1;2099;2;2;2;2;2;0;0;0;0
0;2020;3;3;3;2;2;0;-1;0;0
1;2017;3;3;3;2;2;-1;-1;0;0
1;2184;2;2;2;2;2;0;0;1;0
1;2067;2;2;3;2;2;0;0;0;0
1;2005;2;2;3;2;2;0;0;0;0
0;1747;2;2;3;1;1;0;-1;0;0
0;2132;3;3;3;2;2;-1;-1;0;0
0;2053;2;2;2;2;2;0;0;0;0
0;1932;3;3;3;2;2;-1;-1;0;0
1;1965;2;2;3;2;2;0;0;0;0
1;2004;3;3;3;2;2;-1;-1;0;0
0;1902;3;3;3;1;2;-1;-1;0;0
0;2190;2;2;3;2;2;0;0;0;0
0;1954;2;2;2;2;2;0;0;0;0
0;2489;3;3;3;2;2;0;0;0;0
0;1860;3;3;4;1;2;-1;-2;0;0
1;2158;3;3;3;2;2;0;-1;0;0
0;2248;2;2;2;2;2;0;0;0;0
0;2373;3;3;3;2;2;0;0;0;0
0;2097;3;3;3;2;2;0;-1;0;0
0;1991;3;3;3;2;2;-1;-1;0;0
1;1825;3;3;3;1;1;-1;-1;0;0
1;1839;2;2;3;1;2;0;-1;0;0
0;2217;2;2;3;2;2;0;0;0;0
0;1795;3;3;3;1;1;-1;-1;0;0
1;2186;2;2;3;2;2;0;0;0;0
0;2163;2;2;2;2;2;0;0;0;0
1;2045;3;3;3;2;2;-1;-1;0;0
1;2137;2;2;3;2;2;0;0;0;0
1;1990;3;3;3;2;2;-1;-1;0;0
0;2104;2;2;3;2;2;0;0;0;0
0;2009;2;2;3;2;2;0;0;0;0
0;1823;3;3;3;1;1;-1;-1;0;0
0;2270;2;2;2;2;2;0;0;0;0
1;2269;2;2;3;2;2;0;0;0;0
0;2124;2;2;3;2;2;0;0;0;0
1;1925;2;2;3;2;2;0;0;0;0
0;1888;2;2;3;1;2;0;-1;0;0
0;1971;2;2;2;2;2;0;0;0;0
