# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
99;1843;2;2;3;1;2;0;0;0;0
104;2221;2;2;3;2;2;0;0;0;0
98;1831;3;3;3;1;2;-1;-1;0;0
99;1928;3;3;3;2;2;-1;-1;0;0
105;1705;3;3;3;1;1;-1;-1;0;0
110;1776;2;2;2;1;2;0;0;0;0
102;1926;3;3;3;2;2;-1;-1;0;0
96;1989;2;2;2;2;2;0;0;0;0
115;1987;2;2;3;2;2;0;0;0;0
93;1841;2;2;3;1;2;-1;-1;0;0
107;2324;2;2;2;2;2;0;0;0;0
90;2093;2;2;2;2;2;0;0;0;0
114;1964;2;2;2;2;2;0;0;0;0
97;2219;3;3;4;2;2;-1;-1;0;0
105;1799;3;3;3;1;2;-1;-1;0;0
105;1772;3;3;3;1;1;-1;-1;0;0
114;1949;3;3;3;2;2;-1;-1;0;0
86;2220;3;3;3;2;2;0;0;0;0
106;1978;2;2;3;2;2;0;-1;0;0
85;2199;3;3;4;2;2;-1;-1;0;0
104;2173;2;2;3;2;2;0;0;0;0
113;2014;2;2;3;2;2;0;0;0;0
100;1846;2;2;3;1;2;-1;-1;0;0
96;1927;3;3;3;2;2;-1;-1;0;0
110;2421;2;2;3;2;2;0;0;0;0
116;2084;3;3;3;2;2;0;0;0;0
107;1724;3;3;3;1;1;-1;-1;0;0
94;2051;3;3;3;2;2;-1;-1;0;0
117;2040;3;3;3;2;2;-1;-1;0;0
112;1901;2;2;2;2;2;0;0;0;0
103;1986;2;2;2;2;2;0;0;0;0
104;1964;2;2;3;2;2;0;0;0;0
114;1824;3;3;3;1;2;-1;-1;0;0
83;1981;2;2;2;2;2;0;0;0;0
94;2251;2;2;2;2;2;0;0;0;0
103;1955;3;3;3;2;2;-1;-1;0;0
87;1838;3;3;3;1;2;-1;-1;0;0
103;1988;3;3;3;2;2;0;-1;0;0
96;2030;3;3;3;2;2;-1;-1;0;0
96;2085;3;3;3;2;2;0;-1;0;0
96;2093;2;2;3;2;2;0;0;0;0
106;1885;3;3;3;2;2;-1;-1;0;0
79;2160;2;2;2;2;2;0;0;0;0
92;1824;3;3;3;1;2;-1;-1;0;0
114;1701;2;2;3;1;1;-1;-1;0;0
88;2185;3;3;3;2;2;0;0;0;0
108;1676;3;3;3;1;1;-1;-1;0;0
104;2081;2;2;3;2;2;0;0;0;0
94;2145;2;2;3;2;2;0;0;0;0
90;2131;2;2;2;2;2;0;0;0;0
100;1526;2;2;3;1;1;-1;-1;0;0
110;1922;2;2;2;2;2;0;0;0;0
113;2259;3;3;3;2;2;-1;-1;0;0
97;1876;3;3;3;1;2;-1;-1;0;0
106;1997;3;3;3;2;2;-1;-1;0;0
82;1941;2;2;3;2;2;0;0;0;0
100;1869;2;2;3;1;2;0;-1;0;0
96;2115;2;2;2;2;2;0;0;0;0
95;1923;2;2;3;2;2;0;0;0;0
84;2338;3;3;3;2;2;0;0;0;0
113;2212;3;3;3;2;2;0;-1;0;0
99;1786;2;2;3;1;2;0;-1;0;0
105;1801;3;3;3;1;2;-1;-1;0;0
111;1832;3;3;3;1;2;-1;-1;0;0
107;2013;2;2;3;2;2;0;0;0;0
103;1807;2;2;2;1;2;0;0;0;0
108;2221;3;3;4;2;2;-1;-1;0;0
110;2078;3;3;3;2;2;0;-1;0;0
94;2165;2;2;3;2;2;0;0;0;0
99;2060;2;2;3;2;2;0;0;0;0
104;2226;2;2;3;2;2;0;0;0;0
97;1919;3;3;3;2;2;-1;-1;0;0
120;1849;3;3;3;1;2;-1;-1;0;0
86;2067;3;3;3;2;2;-1;-1;0;0
107;2112;2;2;3;2;2;0;0;0;0
80;2009;3;3;3;2;2;0;-1;0;0
92;2152;2;2;3;2;2;0;0;0;0
90;2047;2;2;2;2;2;0;0;0;0
93;1845;2;2;2;1;2;0;0;0;0
74;1907;2;2;2;2;2;0;0;0;0
97;2042;2;2;2;2;2;0;0;0;0
98;2023;2;2;3;2;2;0;0;0;0
90;1861;3;3;3;1;2;-1;-1;0;0
100;2115;3;3;3;2;2;-1;-1;0;0
96;1801;2;2;3;1;2;-1;-1;0;0
104;2159;3;3;3;2;2;0;-1;0;0
99;2158;2;2;2;2;2;0;0;0;0
98;2112;2;2;2;2;2;0;0;0;0
102;1983;2;2;2;2;2;0;0;0;0
95;2136;2;2;2;2;2;0;0;0;0
100;2040;2;2;3;2;2;0;0;0;0
89;2030;3;3;3;2;2;-1;-1;0;0
98;2149;2;2;3;2;2;0;0;0;0
94;2090;3;3;3;2;2;-1;-1;0;0
90;1960;3;3;3;2;2;-1;-1;0;0
93;1873;2;2;2;1;2;0;0;0;0
113;2083;2;2;2;2;2;0;0;0;0
86;2018;3;3;3;2;2;0;-1;0;0
76;2122;2;2;2;2;2;0;0;0;0
79;2003;2;2;3;2;2;0;0;0;0
102;2209;3;3;3;2;2;-1;-1;0;0
111;2046;3;3;3;2;2;-1;-1;0;0
104;2132;3;3;3;2;2;0;0;0;0
99;1970;3;3;3;2;2;-1;-1;0;0
112;1889;2;2;2;2;2;0;0;0;0
120;2271;2;2;3;2;2;0;0;0;0
96;1774;2;2;2;1;1;0;0;0;0
96;1966;3;3;3;2;2;-1;-1;0;0
99;2159;3;3;3;2;2;0;-1;0;0
90;1833;2;2;3;1;2;0;-1;0;0
109;1856;3;3;3;1;2;-1;-1;0;0
106;2075;3;3;3;2;2;-1;-1;0;0
99;2262;2;2;3;2;2;0;0;0;0
92;1761;2;2;3;1;1;0;-1;0;0
102;2020;2;2;3;2;2;0;0;0;0
103;2211;2;2;2;2;2;0;0;0;0
82;2027;3;3;3;2;2;-1;-1;0;0
94;2154;3;3;3;2;2;0;-1;0;0
118;1989;3;3;3;2;2;0;-1;0;0
101;2184;3;3;3;2;2;0;-1;0;0
106;2030;3;3;3;2;2;0;-1;0;0
101;1766;2;2;3;1;1;-1;-1;0;0
118;1971;3;3;3;2;2;-1;-1;0;0
109;1870;3;3;3;2;2;-1;-1;0;0
97;1893;2;2;2;2;2;0;0;0;0
87;2114;3;3;3;2;2;0;0;0;0
102;2155;3;3;3;2;2;-1;-1;0;0
105;1529;2;2;2;1;1;0;-1;0;0
106;1908;2;2;3;2;2;0;-1;0;0
104;2204;2;2;3;2;2;0;0;0;0
92;1935;3;3;3;2;2;0;-1;0;0
104;1974;2;2;2;2;2;0;0;0;0
107;1981;2;2;2;2;2;0;0;0;0
100;2107;2;2;3;2;2;0;0;0;0
106;1993;2;2;2;2;2;0;0;0;0
101;1974;2;2;3;2;2;0;-1;0;0
109;2030;2;2;3;2;2;0;0;0;0
99;2184;3;3;3;2;2;0;0;0;0
109;2034;3;3;3;2;2;-1;-1;0;0
88;1953;2;2;3;2;2;0;-1;0;0
91;2035;3;3;4;2;2;-1;-1;0;0
107;1905;2;2;3;2;2;0;-1;0;0
100;2027;3;3;3;2;2;0;-1;0;0
76;1733;2;2;3;1;1;-1;-1;0;0
107;1864;2;2;2;1;2;0;0;0;0
87;2092;2;2;2;2;2;0;0;0;0
89;2017;3;3;3;2;2;-1;-1;0;0
101;1869;2;2;3;1;2;0;-1;0;0
102;2185;3;3;3;2;2;-1;-1;0;0
106;2405;3;3;3;2;2;0;0;0;0
77;1864;2;2;2;1;2;0;0;0;0
86;2225;3;3;3;2;2;0;0;0;0
98;1950;2;2;2;2;2;0;0;0;0
96;1906;2;2;3;2;2;0;-1;0;0
91;1777;3;3;3;1;1;-1;-1;0;0
91;1994;3;3;3;2;2;-1;-1;0;0
91;1730;3;3;3;1;1;-1;-1;0;0
97;1811;3;3;3;1;2;-1;-1;0;0
108;1942;3;3;3;2;2;-1;-1;0;0
107;2070;3;3;3;2;2;-1;-1;0;0
97;2120;3;3;3;2;2;0;-1;0;0
91;1924;2;2;2;2;2;0;0;0;0
71;1737;3;3;3;1;1;-1;-1;0;0
100;1852;2;2;3;1;2;0;0;0;0
109;1959;3;3;3;2;2;-1;-1;0;0
95;1747;2;2;3;1;1;0;-1;0;0
98;2066;3;3;3;2;2;0;-1;0;0
95;2041;3;3;3;2;2;-1;-1;0;0
117;1846;2;2;3;1;2;0;-1;0;0
76;2001;3;3;3;2;2;-1;-1;0;0
98;2110;3;3;3;2;2;-1;-1;0;0
108;2001;2;2;2;2;2;0;0;0;0
97;2090;3;3;3;2;2;0;-1;0;0
112;1873;2;2;2;2;2;0;0;0;0
120;2241;2;2;3;2;2;0;0;0;0
96;2032;2;2;3;2;2;0;0;0;0
95;2235;2;2;2;2;2;0;0;0;0
109;1850;2;2;3;1;2;0;-1;0;0
117;1999;3;3;3;2;2;-1;-1;0;0
83;2030;3;3;3;2;2;0;-1;0;0
108;2049;2;2;3;2;2;0;0;0;0
95;2059;2;2;2;2;2;0;0;0;0
99;2193;3;3;3;2;2;0;-1;0;0
77;1702;3;3;3;1;1;-1;-1;0;0
105;2001;3;3;3;2;2;-1;-1;0;0
93;2007;2;2;3;2;2;0;0;0;0
98;1998;2;2;3;2;2;0;-1;0;0
103;2034;3;3;3;2;2;0;-1;0;0
100;1975;3;3;3;2;2;-1;-1;0;0
108;1944;3;3;3;2;2;-1;-1;0;0
114;1986;2;2;3;2;2;0;0;0;0
98;2118;3;3;3;2;2;-1;-1;0;0
102;1930;2;2;3;2;2;0;0;0;0
106;1837;2;2;3;1;2;0;-1;0;0
97;2139;3;3;3;2;2;-1;-1;0;0
103;1920;2;2;2;2;2;0;0;0;0
96;1908;3;3;3;2;2;0;-1;0;0
89;2117;3;3;3;2;2;0;0;0;0
106;1837;2;2;2;1;2;0;0;0;0
95;2169;3;3;3;2;2;0;0;0;0
99;2129;2;2;3;2;2;0;0;0;0
118;1944;2;2;3;2;2;0;-1;0;0
91;1967;2;2;2;2;2;0;0;0;0
90;2049;3;3;3;2;2;0;-1;0;0
102;2002;2;2;3;2;2;0;0;0;0
108;2014;3;3;3;2;2;0;-1;0;0
96;2035;3;3;3;2;2;0;-1;0;0
98;2071;3;3;3;2;2;0;-1;0;0
101;1928;3;3;3;2;2;-1;-1;0;0
115;1999;3;3;3;2;2;0;-1;0;0
83;2133;2;2;2;2;2;0;0;0;0
88;1995;2;2;2;2;2;0;0;0;0
95;2253;3;3;3;2;2;-1;-1;0;0
89;2121;3;3;3;2;2;-1;-1;0;0
99;1810;3;3;3;1;2;-1;-1;0;0
103;1924;3;3;3;2;2;-1;-1;0;0
105;2165;2;2;2;2;2;0;0;0;0
108;1884;3;3;3;2;2;-1;-1;0;0
97;2005;2;2;2;2;2;0;0;0;0
106;2025;3;3;3;2;2;-1;-1;0;0
87;1981;2;2;3;2;2;0;-1;0;0
115;2048;3;3;3;2;2;-1;-1;0;0
94;2165;2;2;3;2;2;0;0;0;0
98;2089;3;3;3;2;2;-1;-1;0;0
107;2118;3;3;3;2;2;0;-1;0;0
92;1913;3;3;3;2;2;-1;-1;0;0
98;1732;2;2;3;1;1;-1;-1;0;0
100;1657;3;3;3;1;1;-1;-1;0;0
95;1781;3;3;3;1;1;-1;-1;0;0
111;1830;2;2;3;1;2;0;-1;0;0
88;1862;3;3;4;1;2;-1;-1;0;0
108;2200;3;3;3;2;2;0;-1;0;0
90;1983;3;3;3;2;2;0;-1;0;0
101;1961;2;2;3;2;2;0;-1;0;0
94;2088;3;3;3;2;2;-1;-1;0;0
101;2267;3;3;3;2;2;0;0;0;0
101;1771;3;3;3;1;1;-1;-1;0;0
