# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
19343.54;729.88;10242.30;663.53;1.00;1.50;28259.65;10764.07;100.37;27596.13;10763.07;98.87;1.00;1.00;1.00
20441.97;843.87;11179.93;767.15;1.00;1.50;30845.02;11748.84;103.67;30077.86;11747.84;102.17;1.00;1.00;1.00
19462.38;989.21;11047.08;899.28;1.00;1.50;30480.80;11610.11;107.60;29581.52;11609.11;106.10;1.00;1.00;1.00
20222.27;1149.12;10412.79;1044.66;1.00;1.50;28728.72;10942.74;97.60;27684.06;10941.74;96.10;1.00;1.00;1.00
19776.66;983.76;9413.31;894.33;1.00;1.50;25972.28;9892.82;90.23;25077.95;9891.82;88.73;1.00;1.00;1.00
21146.13;965.24;11819.30;877.49;1.00;1.50;32610.90;12421.46;105.95;31733.41;12420.46;104.45;1.00;1.00;1.00
18162.58;847.95;12140.64;770.86;1.00;1.50;33496.60;12758.82;126.71;32725.74;12757.82;125.21;1.00;1.00;1.00
21559.62;934.82;9611.50;849.84;1.00;1.50;26518.60;10100.91;84.51;25668.76;10099.91;83.01;1.00;1.00;1.00
19913.16;900.47;10629.25;818.61;1.00;1.50;29327.46;11170.80;101.19;28508.85;11169.80;99.69;1.00;1.00;1.00
18682.54;1108.93;9255.54;1008.11;1.00;1.50;25536.33;9726.76;93.91;24528.22;9725.76;92.41;1.00;1.00;1.00
