# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
196959293093.53;249151220.67;14241.24;1.01;1.04;142.55;5.94;101.62;7.13;136.21;916.26;96654.36;10434.31;30851.02;115099.36;0.01;2012.64;1095.46;0.00;-29218.22;-115658.46;-0.02;0.00;0.00;0.00
210846575537.93;216691485.16;11776.67;0.95;1.00;138.09;5.92;100.33;7.13;142.07;942.25;105562.37;10917.19;27987.16;96679.57;0.01;1664.24;905.85;0.00;-25041.27;-91340.97;-0.01;0.00;0.00;0.00
196084318331.15;247833834.11;12740.46;1.05;0.94;137.14;5.63;99.34;6.95;138.14;942.75;101310.42;11540.43;31122.92;104311.37;0.01;1800.45;980.00;0.00;-30910.64;-108373.41;-0.02;0.00;0.00;0.00
193390866664.42;244151633.37;12480.14;1.01;1.03;139.73;5.66;101.32;7.25;142.86;972.22;98970.72;9426.45;31708.01;105387.21;0.01;1763.72;960.00;0.00;-30110.55;-105148.12;-0.02;0.00;0.00;0.00
210864681357.92;265223309.97;12583.80;0.96;1.00;140.12;5.81;101.95;7.10;143.53;918.97;103489.49;10408.06;34607.75;117694.74;0.01;1778.31;967.92;0.00;-31363.44;-111734.11;-0.01;0.00;0.00;0.00
207492094476.36;261083852.94;13906.18;1.00;1.02;142.92;5.73;102.01;7.13;140.65;931.68;99776.30;9348.93;33382.28;116599.50;0.01;1965.28;1069.69;0.00;-31379.45;-115518.55;-0.02;0.00;0.00;0.00
209293299486.63;239007033.23;12487.13;0.93;0.99;139.70;5.67;99.66;7.21;142.11;951.03;100337.84;8474.43;30877.07;103225.16;0.01;1764.71;960.54;0.00;-27047.51;-95333.64;-0.01;0.00;0.00;0.00
195877758547.99;265609996.74;13953.25;1.09;1.01;139.19;5.84;102.07;6.93;144.64;946.57;108743.71;8821.37;34924.40;117687.20;0.01;1971.89;1073.31;0.00;-36102.92;-127266.40;-0.02;0.00;0.00;0.00
184393850510.43;232068951.44;11531.35;1.01;0.99;130.67;5.63;104.24;7.08;139.90;953.51;99944.25;10467.73;29514.93;93098.87;0.01;1629.60;887.00;0.00;-28260.82;-93373.96;-0.02;0.00;0.00;0.00
209739303296.40;263680078.88;13854.06;1.06;0.89;135.80;5.80;99.64;6.87;140.66;934.95;83765.77;10116.66;33716.78;113295.43;0.01;1957.89;1065.69;0.00;-34135.54;-119625.21;-0.02;0.00;0.00;0.00
195021019173.99;246398657.05;14538.87;0.96;0.97;139.05;5.62;100.38;7.07;136.57;943.25;107064.87;10188.98;30591.54;104959.75;0.01;2054.56;1118.31;0.00;-27515.56;-100184.24;-0.01;0.00;0.00;0.00
203359940675.64;265159211.18;12720.04;1.02;0.95;139.72;5.93;104.01;7.20;135.48;968.80;98968.39;11477.65;32657.89;119846.18;0.01;1797.65;978.46;0.00;-31725.22;-121767.31;-0.02;0.00;0.00;0.00
220792366622.21;246258975.14;12095.73;0.95;1.00;142.11;5.89;102.24;6.96;137.38;922.39;86264.00;9857.81;30756.40;112416.91;0.01;1709.34;930.38;0.00;-27418.02;-105513.16;-0.01;0.00;0.00;0.00
194140016372.10;235583851.96;12128.80;0.91;1.00;141.17;5.90;101.56;7.04;141.01;943.84;108779.18;11323.67;30200.60;106985.10;0.01;1713.99;932.92;0.00;-25816.18;-96574.65;-0.01;0.00;0.00;0.00
191505963038.25;246985937.24;15248.09;0.96;1.04;139.75;5.64;102.38;7.18;137.22;952.16;100142.84;10346.12;30810.29;106191.04;0.01;2154.91;1172.92;0.00;-27383.44;-100854.03;-0.01;0.00;0.00;0.00
212601563691.28;231264025.13;13007.00;0.95;0.98;141.18;5.84;98.70;7.11;135.82;930.26;94652.19;9968.23;28554.70;104042.81;0.01;1838.07;1000.46;0.00;-25438.24;-98284.68;-0.01;0.00;0.00;0.00
200577303055.29;240530087.55;13894.56;1.05;1.08;145.78;5.83;98.54;7.22;140.89;913.25;105406.50;10515.08;30807.13;111542.59;0.01;1963.59;1068.77;0.00;-30349.12;-116390.41;-0.02;0.00;0.00;0.00
204618305705.06;243746768.86;11327.39;0.96;1.04;141.63;5.98;100.50;7.05;138.54;937.25;95246.07;9553.61;30698.10;112525.01;0.01;1600.79;871.31;0.00;-27668.77;-106612.33;-0.01;0.00;0.00;0.00
196182009763.46;229633459.44;13387.10;0.94;0.86;139.31;5.80;103.29;6.96;142.56;926.83;120238.11;11018.17;29759.82;101218.28;0.01;1891.92;1029.77;0.00;-26234.30;-93874.86;-0.01;0.00;0.00;0.00
203119462930.30;246753084.27;12235.50;1.02;1.13;142.71;5.70;101.20;7.37;137.46;946.10;107719.98;8953.83;30835.41;109450.46;0.01;1729.12;941.15;0.00;-29495.16;-110576.10;-0.02;0.00;0.00;0.00
183712324122.17;274019848.36;14808.56;0.97;0.97;136.04;5.74;100.56;7.08;137.81;956.24;96421.30;10418.43;34328.99;116804.31;0.01;2092.71;1139.08;0.00;-31140.55;-111741.78;-0.01;0.00;0.00;0.00
206972147319.82;244170596.30;11976.79;0.94;1.07;140.74;5.76;102.47;7.09;141.56;921.03;104087.18;9226.42;31422.82;108005.61;0.01;1692.52;921.23;0.00;-27635.28;-100238.27;-0.01;0.00;0.00;0.00
201740507278.78;252089475.81;11652.09;0.93;0.98;139.41;5.81;102.02;6.97;137.34;934.62;105769.46;10172.87;31475.21;111327.80;0.01;1646.72;896.31;0.00;-27748.16;-102993.02;-0.01;0.00;0.00;0.00
195480779850.84;246679593.79;12230.42;0.96;1.05;141.60;6.01;102.95;7.05;145.32;918.63;108116.04;10396.28;32588.81;114532.40;0.01;1728.43;940.77;0.00;-29547.46;-109258.13;-0.01;0.00;0.00;0.00
196730519989.51;254648882.13;11048.99;1.05;0.97;135.42;5.66;99.66;7.14;138.14;939.24;96293.82;10400.82;31980.02;106468.01;0.01;1561.34;849.85;0.00;-32106.16;-111122.74;-0.02;0.00;0.00;0.00
215074366640.77;274427878.65;11699.29;1.02;0.93;135.53;5.88;104.08;6.98;138.89;960.57;96090.58;9843.52;34650.24;119311.74;0.01;1653.35;899.92;0.00;-33753.44;-120700.79;-0.02;0.00;0.00;0.00
