# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
18068.40;852.58;12321.45;775.07;1.00;1.50;33996.02;12949.05;1989.00;33220.94;12948.05;1987.50;1.00;1.00;1.00
18722.41;975.94;10188.89;887.22;1.00;1.50;28110.66;10707.32;1989.00;27223.44;10706.32;1987.50;1.00;1.00;1.00
18898.90;1238.58;9012.12;1125.98;1.00;1.50;24865.85;9471.38;1989.00;23739.86;9470.38;1987.50;1.00;1.00;1.00
21738.91;996.97;9569.91;906.33;1.00;1.50;26402.72;10056.77;1989.00;25496.38;10055.77;1987.50;1.00;1.00;1.00
20382.93;940.30;9872.19;854.81;1.00;1.50;27238.75;10375.21;1989.00;26383.94;10374.21;1987.50;1.00;1.00;1.00
19524.07;1093.82;9842.96;994.38;1.00;1.50;27155.98;10343.68;1989.00;26161.60;10342.68;1987.50;1.00;1.00;1.00
22098.10;828.59;10293.99;753.26;1.00;1.50;28400.37;10817.67;1989.00;27647.11;10816.67;1987.50;1.00;1.00;1.00
20554.55;984.87;8382.13;895.33;1.00;1.50;23127.55;8809.26;1989.00;22232.22;8808.26;1987.50;1.00;1.00;1.00
21729.02;976.38;10832.40;887.62;1.00;1.50;29887.58;11384.15;1989.00;28999.96;11383.15;1987.50;1.00;1.00;1.00
19111.62;944.86;8906.00;858.96;1.00;1.50;24573.37;9359.97;1989.00;23714.41;9358.97;1987.50;1.00;1.00;1.00
