# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
211555560192.62;227179460.48;9269.73;28789.83;99901.14;1.50;27598.20;10513.58;0.00;-1191.63;-89387.56;-1.50;0.00;0.00;0.00
170752838648.27;260285293.55;10504.24;32985.25;114459.27;1.50;27598.20;10513.58;0.00;-5387.05;-103945.70;-1.50;0.00;0.00;0.00
201708522465.63;212539116.86;10242.08;26934.50;93463.11;1.50;27598.20;10513.58;0.00;663.70;-82949.53;-1.50;1.00;0.00;0.00
196342172188.59;252942835.68;8108.88;32054.76;111230.46;1.50;27598.20;10513.58;0.00;-4456.56;-100716.88;-1.50;0.00;0.00;0.00
182656344723.10;218352522.06;8435.39;27671.22;96019.53;1.50;27598.20;10513.58;0.00;-73.02;-85505.95;-1.50;0.00;0.00;0.00
191818265084.35;266085572.25;7612.64;33720.30;117009.92;1.50;27598.20;10513.58;0.00;-6122.10;-106496.34;-1.50;0.00;0.00;0.00
202189383976.69;256901878.44;11621.79;32556.47;112971.43;1.50;27598.20;10513.58;0.00;-4958.27;-102457.85;-1.50;0.00;0.00;0.00
206348858385.20;270022623.50;11343.40;34219.23;118741.22;1.50;27598.20;10513.58;0.00;-6621.03;-108227.64;-1.50;0.00;0.00;0.00
254275402174.30;263146755.07;10604.31;33347.87;115717.59;1.50;27598.20;10513.58;0.00;-5749.67;-105204.01;-1.50;0.00;0.00;0.00
194269906875.56;245423286.53;9569.32;31101.82;107923.77;1.50;27598.20;10513.58;0.00;-3503.62;-97410.20;-1.50;0.00;0.00;0.00
