# X_0;X_1;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
19794.98;1247.33;1133.94;1.00;1.50;27591.93;10509.74;1989.00;26457.99;10508.74;1987.50;1.00;1.00;1.00
20834.93;1061.73;965.21;1.00;1.50;27591.93;10509.74;1989.00;26626.72;10508.74;1987.50;1.00;1.00;1.00
19062.28;1136.08;1032.80;1.00;1.50;27591.93;10509.74;1989.00;26559.12;10508.74;1987.50;1.00;1.00;1.00
19540.63;818.39;743.99;1.00;1.50;27591.93;10509.74;1989.00;26847.94;10508.74;1987.50;1.00;1.00;1.00
21321.95;1082.18;983.80;1.00;1.50;27591.93;10509.74;1989.00;26608.13;10508.74;1987.50;1.00;1.00;1.00
20626.80;1109.10;1008.27;1.00;1.50;27591.93;10509.74;1989.00;26583.66;10508.74;1987.50;1.00;1.00;1.00
18897.59;938.59;853.26;1.00;1.50;27591.93;10509.74;1989.00;26738.67;10508.74;1987.50;1.00;1.00;1.00
19267.31;1103.27;1002.97;1.00;1.50;27591.93;10509.74;1989.00;26588.96;10508.74;1987.50;1.00;1.00;1.00
20704.54;1135.43;1032.21;1.00;1.50;27591.93;10509.74;1989.00;26559.72;10508.74;1987.50;1.00;1.00;1.00
19195.03;960.18;872.89;1.00;1.50;27591.93;10509.74;1989.00;26719.04;10508.74;1987.50;1.00;1.00;1.00
