# X_0;X_1;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
18240.06;1264.92;1149.93;1.00;1.50;27591.93;10509.74;0.01;26442.00;10508.74;-1.49;1.00;1.00;0.00
21624.77;957.10;870.09;1.00;1.50;27591.93;10509.74;0.01;26721.84;10508.74;-1.49;1.00;1.00;0.00
18696.64;1135.03;1031.85;1.00;1.50;27591.93;10509.74;0.01;26560.08;10508.74;-1.49;1.00;1.00;0.00
20356.19;1163.03;1057.30;1.00;1.50;27591.93;10509.74;0.01;26534.63;10508.74;-1.49;1.00;1.00;0.00
19451.95;880.37;800.34;1.00;1.50;27591.93;10509.74;0.01;26791.59;10508.74;-1.49;1.00;1.00;0.00
19412.42;1135.44;1032.22;1.00;1.50;27591.93;10509.74;0.01;26559.71;10508.74;-1.49;1.00;1.00;0.00
21932.74;1070.05;972.77;1.00;1.50;27591.93;10509.74;0.01;26619.16;10508.74;-1.49;1.00;1.00;0.00
20028.99;1118.10;1016.45;1.00;1.50;27591.93;10509.74;0.01;26575.48;10508.74;-1.49;1.00;1.00;0.00
20872.19;908.50;825.91;1.00;1.50;27591.93;10509.74;0.01;26766.02;10508.74;-1.49;1.00;1.00;0.00
20995.01;997.02;906.38;1.00;1.50;27591.93;10509.74;0.01;26685.55;10508.74;-1.49;1.00;1.00;0.00
