# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.26;9.14;37.64;3011.01;1982.28;-1028.72;0.00
0.20;10.85;40.42;3233.51;1760.60;-1472.91;0.00
0.29;9.69;45.15;3611.98;2192.48;-1419.50;0.00
0.23;11.78;45.12;3609.81;1959.36;-1650.46;0.00
0.24;10.69;34.02;2721.53;1965.55;-755.98;0.00
0.27;12.22;39.83;3186.20;2238.79;-947.41;0.00
0.23;10.81;39.31;3144.45;1923.14;-1221.31;0.00
0.27;10.26;37.20;2975.73;2150.62;-825.11;0.00
0.27;8.74;38.62;3089.33;2044.66;-1044.67;0.00
0.18;10.63;43.43;3474.40;1638.71;-1835.70;0.00
0.29;10.70;38.83;3106.17;2250.53;-855.64;0.00
0.26;9.92;38.42;3073.90;2063.33;-1010.56;0.00
0.28;9.20;41.91;3352.92;2155.65;-1197.27;0.00
0.27;8.00;37.82;3025.25;2009.26;-1015.99;0.00
0.25;10.85;36.61;2929.02;2015.86;-913.16;0.00
0.27;12.48;44.91;3592.57;2224.07;-1368.50;0.00
0.29;9.68;36.33;2906.36;2235.97;-670.39;0.00
0.27;8.10;41.00;3280.04;2039.90;-1240.14;0.00
0.25;10.94;39.02;3121.97;2025.48;-1096.49;0.00
0.21;11.60;45.18;3614.54;1875.88;-1738.66;0.00
0.25;10.17;38.75;3099.98;1985.31;-1114.68;0.00
0.22;9.91;42.75;3420.38;1830.60;-1589.79;0.00
0.22;9.78;39.14;3131.16;1783.47;-1347.69;0.00
0.26;10.31;45.44;3634.86;2054.54;-1580.32;0.00
0.25;13.47;40.76;3260.85;2209.90;-1050.95;0.00
0.22;9.79;41.29;3303.49;1796.11;-1507.38;0.00
0.23;9.43;39.91;3193.20;1855.55;-1337.65;0.00
0.25;9.69;49.51;3961.09;1975.62;-1985.47;0.00
0.21;9.67;38.79;3103.34;1763.69;-1339.65;0.00
0.21;7.73;45.22;3617.95;1640.00;-1977.94;0.00
0.26;10.80;39.03;3122.32;2111.90;-1010.42;0.00
0.20;10.12;36.10;2888.16;1697.39;-1190.77;0.00
0.23;11.42;44.06;3524.82;1947.17;-1577.65;0.00
0.18;7.63;35.96;2876.45;1490.55;-1385.90;0.00
0.25;11.90;38.26;3060.86;2101.51;-959.35;0.00
0.28;9.55;44.61;3568.41;2126.37;-1442.04;0.00
0.28;9.95;44.07;3525.71;2150.61;-1375.09;0.00
0.33;10.28;43.07;3445.43;2469.70;-975.73;0.00
0.23;11.04;40.42;3233.37;1931.91;-1301.46;0.00
0.24;10.06;43.61;3488.74;1945.73;-1543.01;0.00
0.25;10.97;33.99;2719.11;2023.77;-695.33;0.00
0.24;11.48;41.39;3311.51;1995.95;-1315.55;0.00
0.20;10.35;38.09;3047.21;1744.43;-1302.78;0.00
0.24;9.62;46.54;3723.10;1919.64;-1803.47;0.00
0.24;12.71;35.94;2875.45;2065.47;-809.98;0.00
0.23;9.62;41.21;3296.69;1872.89;-1423.81;0.00
0.28;11.03;30.33;2426.62;2208.35;-218.27;0.00
0.24;12.07;38.69;3095.06;2055.07;-1039.98;0.00
0.25;9.23;34.27;2741.37;1944.42;-796.95;0.00
0.23;8.33;34.16;2732.54;1787.84;-944.70;0.00
0.24;11.61;45.10;3607.60;2012.38;-1595.22;0.00
0.23;10.11;40.97;3277.29;1859.78;-1417.51;0.00
0.28;11.71;35.04;2802.94;2246.79;-556.15;0.00
0.26;9.08;39.40;3152.29;1979.70;-1172.59;0.00
0.24;10.06;44.31;3545.00;1953.14;-1591.86;0.00
0.27;8.49;37.05;2964.06;2048.27;-915.79;0.00
0.26;10.40;44.56;3564.71;2080.57;-1484.13;0.00
0.23;8.61;35.78;2862.25;1814.13;-1048.12;0.00
0.24;10.81;39.81;3184.64;1954.25;-1230.38;0.00
0.26;10.17;43.11;3448.72;2060.66;-1388.05;0.00
0.28;10.51;41.60;3328.17;2179.79;-1148.39;0.00
0.24;7.87;45.78;3662.65;1842.75;-1819.90;0.00
0.23;11.40;34.76;2780.62;1940.47;-840.15;0.00
0.23;9.37;44.86;3589.06;1856.21;-1732.84;0.00
0.27;11.56;34.28;2742.74;2191.53;-551.21;0.00
0.26;10.52;47.08;3766.49;2082.53;-1683.96;0.00
0.26;9.84;42.19;3375.57;2051.32;-1324.26;0.00
0.27;10.02;41.85;3347.85;2125.20;-1222.65;0.00
0.22;10.37;41.85;3348.18;1832.79;-1515.39;0.00
0.25;9.66;40.78;3262.77;1958.56;-1304.21;0.00
0.26;8.72;39.23;3138.42;1958.89;-1179.53;0.00
0.22;10.87;37.58;3006.05;1887.79;-1118.26;0.00
0.29;9.23;33.65;2692.23;2165.44;-526.79;0.00
0.27;11.81;44.15;3531.72;2220.91;-1310.81;0.00
0.24;9.25;41.04;3283.29;1928.28;-1355.02;0.00
0.28;9.63;41.65;3331.93;2128.59;-1203.34;0.00
0.24;9.41;33.75;2700.26;1895.74;-804.51;0.00
0.26;11.10;37.64;3011.48;2087.34;-924.14;0.00
0.26;10.13;46.91;3753.19;2075.40;-1677.78;0.00
0.23;12.01;40.45;3235.91;2010.17;-1225.74;0.00
0.22;11.08;36.53;2922.36;1859.98;-1062.38;0.00
0.29;10.71;41.12;3289.25;2264.09;-1025.16;0.00
0.27;10.03;40.73;3258.39;2111.09;-1147.31;0.00
0.25;9.71;38.54;3083.01;1986.52;-1096.50;0.00
0.27;11.05;39.32;3145.92;2157.71;-988.20;0.00
0.25;10.58;32.70;2616.26;2026.64;-589.62;0.00
0.26;11.93;40.42;3233.33;2185.12;-1048.21;0.00
0.30;8.62;38.67;3093.24;2186.36;-906.87;0.00
0.27;11.70;41.63;3330.31;2206.47;-1123.84;0.00
0.24;10.94;35.84;2867.59;1964.44;-903.15;0.00
0.21;8.91;46.46;3717.01;1703.52;-2013.49;0.00
0.28;8.58;46.53;3722.30;2104.04;-1618.26;0.00
0.28;11.64;38.56;3084.96;2286.72;-798.25;0.00
