# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
200233593803.98;229858453.94;21528.64;0.99;0.94;144.60;5.84;104.64;7.80;148.52;894.37;30873.59;30873.59;30873.59;21185.90;21804.77;21508.08;-9687.68;-9068.82;-9365.50;0.00;0.00;0.00
221065643321.72;240285325.02;20449.40;1.03;0.96;140.30;5.90;108.96;7.04;128.38;963.38;28797.07;28797.07;28797.07;20521.37;21120.17;20834.11;-8275.70;-7676.91;-7962.96;0.00;0.00;0.00
204940129457.12;292322262.37;20669.26;1.01;1.00;147.02;5.86;97.09;6.74;139.17;931.61;37419.12;37419.12;37419.12;21561.93;22190.77;21890.84;-15857.20;-15228.35;-15528.28;0.00;0.00;0.00
190925082685.90;244022497.61;17966.84;0.96;1.03;125.68;5.63;95.30;7.09;146.92;912.28;31227.53;31227.53;31227.53;19192.32;19751.87;19485.28;-12035.21;-11475.66;-11742.26;0.00;0.00;0.00
205045016239.61;243788169.64;18188.19;1.01;1.01;134.98;6.20;108.63;7.18;139.64;1003.29;31334.46;31334.46;31334.46;19061.62;19617.69;19352.26;-12272.84;-11716.78;-11982.20;0.00;0.00;0.00
189177412039.65;259257074.84;17570.68;1.02;0.96;151.18;6.30;101.68;7.28;133.46;921.40;32059.90;32059.90;32059.90;17582.47;18095.87;17850.07;-14477.43;-13964.04;-14209.83;0.00;0.00;0.00
222805315733.69;234275585.93;18894.13;0.93;0.99;151.86;5.79;101.86;6.77;136.32;1069.76;27024.22;27024.22;27024.22;19495.17;20063.14;19793.16;-7529.05;-6961.08;-7231.06;0.00;0.00;0.00
182855159830.37;229954713.94;18960.16;1.02;0.99;136.38;5.95;104.30;6.95;148.32;1026.56;31630.13;31630.13;31630.13;19472.85;20040.43;19770.23;-12157.28;-11589.70;-11859.90;0.00;0.00;0.00
220981343082.66;253966726.62;20035.11;1.01;0.99;130.06;5.75;93.41;7.19;138.90;894.70;32468.80;32468.80;32468.80;20591.80;21192.37;20905.90;-11877.00;-11276.43;-11562.90;0.00;0.00;0.00
190874333255.72;257636253.72;23147.21;1.02;1.09;135.43;5.61;105.52;7.04;131.52;935.84;31408.32;31408.32;31408.32;26210.78;26975.43;26610.39;-5197.54;-4432.89;-4797.93;0.00;0.00;0.00
237337193452.16;271838940.72;20638.00;1.00;1.03;133.17;5.31;96.57;6.85;146.90;974.31;36440.72;36440.72;36440.72;22085.73;22729.08;22423.41;-14354.99;-13711.64;-14017.31;0.00;0.00;0.00
184584468724.98;257041887.60;20875.79;1.02;0.99;155.31;5.85;97.18;7.05;139.98;943.22;33221.45;33221.45;33221.45;21543.88;22172.42;21872.30;-11677.57;-11049.03;-11349.15;0.00;0.00;0.00
189173597663.71;273121244.80;20161.07;1.03;0.96;144.80;6.05;103.93;7.11;145.25;968.23;37238.69;37238.69;37238.69;20163.55;20751.85;20470.89;-17075.14;-16486.83;-16767.80;0.00;0.00;0.00
229806609354.27;248665267.62;20106.54;1.00;0.99;139.86;6.25;99.52;7.42;137.69;905.00;31104.18;31104.18;31104.18;20746.04;21351.72;21061.88;-10358.14;-9752.46;-10042.30;0.00;0.00;0.00
207020343897.26;246447270.30;20261.76;1.09;1.00;147.15;6.15;107.77;6.71;138.08;1011.00;33860.39;33860.39;33860.39;21081.91;21696.74;21403.52;-12778.47;-12163.65;-12456.86;0.00;0.00;0.00
