# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
171572557263.93;200000031.30;10335.66;181818210.27;1.00;1.50;28516.26;10861.81;0.00;-181789694.01;10860.81;-1.50;0.00;1.00;0.00
215447584159.52;200000055.14;10142.63;181818231.94;1.00;1.50;27983.73;10658.98;0.00;-181790248.21;10657.98;-1.50;0.00;1.00;0.00
192456453556.28;200000176.39;8805.93;181818342.17;1.00;1.50;24294.69;9253.82;0.00;-181794047.48;9252.82;-1.50;0.00;1.00;0.00
191893937287.20;200000030.74;10541.35;181818209.76;1.00;1.50;29084.65;11078.31;0.00;-181789125.11;11077.31;-1.50;0.00;1.00;0.00
195185741216.35;200000155.66;9761.58;181818323.33;1.00;1.50;26932.48;10258.55;0.00;-181791390.85;10257.55;-1.50;0.00;1.00;0.00
156592680107.73;199999982.65;10364.49;181818166.04;1.00;1.50;28596.27;10892.29;0.00;-181789569.77;10891.29;-1.50;0.00;1.00;0.00
230368511219.02;199999773.51;8416.41;181817975.92;1.00;1.50;23221.37;8845.00;0.00;-181794754.55;8844.00;-1.50;0.00;1.00;0.00
232247738415.07;200000052.58;10501.90;181818229.62;1.00;1.50;28974.28;11036.28;0.00;-181789255.33;11035.28;-1.50;0.00;1.00;0.00
209279940631.67;200000158.91;9583.56;181818326.29;1.00;1.50;26441.35;10071.48;0.00;-181791884.94;10070.48;-1.50;0.00;1.00;0.00
221673181638.95;200000075.45;8250.93;181818250.41;1.00;1.50;22763.34;8670.53;0.00;-181795487.07;8669.53;-1.50;0.00;1.00;0.00
