# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
208066438693.28;234607391.82;18550.92;1.09;1.04;136.99;5.89;94.89;7.26;130.59;732.25;30281.54;112308.48;0.02;20015.32;19216.52;-0.00;-10266.22;-93091.96;-0.02;0.00;0.00;0.00
207749654181.24;249244331.27;20453.14;0.99;1.00;135.58;5.87;99.15;6.60;147.99;957.58;33274.21;107285.48;0.01;21240.70;20393.00;-0.00;-12033.51;-86892.48;-0.01;0.00;0.00;0.00
190381115538.03;226553614.95;25179.92;1.01;0.99;154.99;5.91;104.60;6.69;145.89;1001.07;30471.60;114827.59;0.02;25956.42;24920.52;-0.00;-4515.18;-89907.08;-0.02;0.00;0.00;0.00
218084951733.82;246554307.45;19421.79;0.98;0.96;140.66;5.62;106.57;7.66;145.01;902.02;31934.41;104380.75;0.01;19351.95;18579.63;-0.00;-12582.46;-85801.11;-0.01;0.00;0.00;0.00
210138259001.49;255383166.86;16429.61;1.04;1.02;139.47;5.65;102.31;6.95;128.19;946.99;30865.64;113864.20;0.02;17402.04;16707.54;-0.00;-13463.61;-97156.66;-0.02;0.00;0.00;0.00
204834362200.43;256969185.52;18452.86;1.07;0.98;138.56;5.97;97.73;6.73;158.58;950.99;39724.28;124300.68;0.02;18879.93;18126.44;-0.00;-20844.36;-106174.24;-0.02;0.00;0.00;0.00
206919152361.85;236619956.72;21197.51;1.01;1.02;150.38;5.28;98.86;7.46;140.27;876.66;30387.03;103140.04;0.02;22521.92;21623.08;-0.00;-7865.12;-81516.96;-0.02;0.00;0.00;0.00
207076306446.03;254019014.35;20148.45;1.05;0.99;142.74;5.31;109.62;6.62;148.04;941.24;35950.52;110536.70;0.02;20744.58;19916.68;-0.00;-15205.94;-90620.02;-0.02;0.00;0.00;0.00
177062187574.18;236161191.57;19530.57;1.02;1.03;158.28;5.96;109.69;7.02;153.91;952.97;33672.93;123933.05;0.02;21012.03;20173.46;-0.00;-12660.90;-103759.59;-0.02;0.00;0.00;0.00
206325346229.49;272405967.93;21858.06;1.07;1.05;139.95;5.49;94.52;7.02;146.26;982.08;38689.85;121906.18;0.02;23908.47;22954.30;-0.00;-14781.38;-98951.89;-0.02;0.00;0.00;0.00
205770074914.07;242186070.68;16682.24;0.99;1.01;131.80;5.91;92.89;6.58;141.32;848.91;30650.29;101426.54;0.01;17615.77;16912.73;-0.00;-13034.53;-84513.80;-0.01;0.00;0.00;0.00
190261777713.46;238739375.95;19162.61;0.93;0.97;134.63;5.69;102.13;6.77;139.99;1058.99;28238.04;92772.17;0.01;19402.11;18627.79;-0.00;-8835.93;-74144.38;-0.01;0.00;0.00;0.00
211779511712.69;248726590.61;20639.83;1.04;1.02;134.11;5.97;104.69;6.58;142.90;983.14;33622.59;113083.69;0.02;21905.56;21031.33;-0.00;-11717.03;-92052.36;-0.02;0.00;0.00;0.00
183653529004.16;239993101.06;18282.28;0.99;0.99;143.34;5.94;102.68;7.28;147.77;969.42;31934.59;110385.96;0.01;18933.09;18177.49;-0.00;-13001.50;-92208.47;-0.01;0.00;0.00;0.00
212520913287.52;230987108.11;20646.26;1.04;1.07;140.30;6.08;101.32;7.08;120.36;919.64;26363.41;112051.80;0.02;23067.88;22147.26;-0.00;-3295.53;-89904.54;-0.02;0.00;0.00;0.00
