# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
196139096224.38;247136837.50;17680.26;0.98;1.00;129.50;5.98;102.31;6.69;136.28;922.74;30136.02;102764.41;0.01;19274.09;17603.61;0.00;-10861.93;-85160.80;-0.01;0.00;0.00;0.00
194957806087.58;241459179.93;22744.52;1.03;0.98;140.48;5.92;106.02;7.00;127.89;979.43;28820.27;112425.71;0.02;24284.12;22179.42;0.00;-4536.15;-90246.29;-0.02;0.00;0.00;0.00
201582449411.55;236866747.76;18727.74;1.00;0.96;144.32;6.28;104.82;7.49;141.01;965.35;30486.57;117509.31;0.02;19670.93;17966.05;0.00;-10815.64;-99543.26;-0.02;0.00;0.00;0.00
206263040774.43;247973545.48;19917.03;1.01;1.08;155.04;6.00;107.78;7.25;142.77;939.32;32419.31;126778.93;0.02;23500.09;21463.33;0.00;-8919.22;-105315.59;-0.02;0.00;0.00;0.00
205995991475.34;243208962.15;21541.82;0.97;1.01;140.74;5.72;98.52;7.09;147.01;987.33;31411.55;103232.06;0.01;23830.85;21765.43;0.00;-7580.70;-81466.63;-0.01;0.00;0.00;0.00
232362820938.42;264094184.65;19813.32;0.93;0.97;138.65;5.53;101.59;7.84;127.95;917.87;28422.58;102205.96;0.01;21074.87;19248.31;0.00;-7347.71;-82957.64;-0.01;0.00;0.00;0.00
204077154649.11;262808945.80;21576.08;1.01;0.95;135.53;5.79;99.25;7.23;137.97;1023.88;33170.86;113282.42;0.02;22419.02;20475.96;0.00;-10751.84;-92806.45;-0.02;0.00;0.00;0.00
193615207341.81;249266796.28;18505.72;0.98;1.05;136.62;5.96;111.42;7.44;131.43;970.22;29088.86;108187.21;0.01;21213.08;19374.54;0.00;-7875.78;-88812.66;-0.01;0.00;0.00;0.00
187551694294.76;256400988.28;20315.43;0.99;0.94;127.78;6.08;100.77;6.61;136.41;970.83;31369.50;107198.81;0.01;20848.57;19041.62;0.00;-10520.93;-88157.19;-0.01;0.00;0.00;0.00
184069473417.40;243757205.22;26526.63;0.99;0.99;130.48;6.12;106.87;7.48;145.22;1034.01;31865.50;105199.71;0.01;28846.55;26346.42;0.00;-3018.95;-78853.29;-0.01;0.00;0.00;0.00
