# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
199392487277.49;264762844.74;11680.12;36104024282.52;1.00;1.50;22759.60;0.00;0.00;-36104001522.93;-1.00;-1.50;0.00;0.00;0.00
180524879099.52;247802597.08;10821.46;33791263238.14;1.00;1.50;21085.75;0.00;0.00;-33791242152.39;-1.00;-1.50;0.00;0.00;0.00
233245889128.51;272990131.55;9682.71;37225927030.13;1.00;1.50;18866.30;0.00;0.00;-37225908163.83;-1.00;-1.50;0.00;0.00;0.00
238385546641.95;216749711.72;8959.32;29556778871.58;1.00;1.50;17457.47;0.00;0.00;-29556761414.12;-1.00;-1.50;0.00;0.00;0.00
214960249604.75;207771855.00;10361.64;28332525681.99;1.00;1.50;20189.40;0.00;0.00;-28332505492.59;-1.00;-1.50;0.00;0.00;0.00
212892244913.32;259658592.12;10407.29;35407989834.80;1.00;1.50;20279.03;0.00;0.00;-35407969555.76;-1.00;-1.50;0.00;0.00;0.00
180032674636.76;275276298.17;8963.55;37537677022.94;1.00;1.50;17465.26;0.00;0.00;-37537659557.68;-1.00;-1.50;0.00;0.00;0.00
241459949930.25;194800339.79;11072.92;26563682698.34;1.00;1.50;21574.85;0.00;0.00;-26563661123.49;-1.00;-1.50;0.00;0.00;0.00
204396586423.16;214481158.25;8215.66;29247430669.87;1.00;1.50;16007.71;0.00;0.00;-29247414662.16;-1.00;-1.50;0.00;0.00;0.00
211019624632.69;229200030.88;9310.16;31254549665.90;1.00;1.50;18141.42;0.00;0.00;-31254531524.48;-1.00;-1.50;0.00;0.00;0.00
