# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
208807720545.08;256664769.62;9682.87;34999741312.26;1.00;1.50;27598.20;10513.58;0.00;-34999713714.06;10512.58;-1.50;0.00;1.00;0.00
232334988150.48;254248801.04;11340.10;34670291050.74;1.00;1.50;27598.20;10513.58;0.00;-34670263452.54;10512.58;-1.50;0.00;1.00;0.00
189928130389.04;274688589.18;10316.41;37457534888.75;1.00;1.50;27598.20;10513.58;0.00;-37457507290.55;10512.58;-1.50;0.00;1.00;0.00
234924348277.53;241504504.42;7450.55;32932432421.00;1.00;1.50;27598.20;10513.58;0.00;-32932404822.80;10512.58;-1.50;0.00;1.00;0.00
208013205562.92;265871337.12;9246.57;36255182334.83;1.00;1.50;27598.20;10513.58;0.00;-36255154736.63;10512.58;-1.50;0.00;1.00;0.00
189047758680.15;232216715.81;9650.75;31665915791.92;1.00;1.50;27598.20;10513.58;0.00;-31665888193.72;10512.58;-1.50;0.00;1.00;0.00
228542626730.96;224966411.70;10251.12;30677237958.62;1.00;1.50;27598.20;10513.58;0.00;-30677210360.42;10512.58;-1.50;0.00;1.00;0.00
194893581019.54;249680533.82;7377.58;34047345521.37;1.00;1.50;27598.20;10513.58;0.00;-34047317923.17;10512.58;-1.50;0.00;1.00;0.00
223212848151.21;242062426.38;8230.20;33008512687.75;1.00;1.50;27598.20;10513.58;0.00;-33008485089.55;10512.58;-1.50;0.00;1.00;0.00
223097045386.92;293853374.65;9349.63;40070914725.37;1.00;1.50;27598.20;10513.58;0.00;-40070887127.17;10512.58;-1.50;0.00;1.00;0.00
