# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
203619885935.21;263456461.57;8426.49;33387.12;115853.78;0.01;27598.20;10513.58;0.00;-5788.92;-105340.20;-0.01;0.00;0.00;0.00
180302278257.15;285992998.40;9113.01;36243.11;125764.12;0.01;27598.20;10513.58;0.00;-8644.91;-115250.54;-0.01;0.00;0.00;0.00
184803719982.21;281112177.59;9374.52;35624.58;123617.80;0.01;27598.20;10513.58;0.00;-8026.38;-113104.22;-0.01;0.00;0.00;0.00
168694192124.19;267342762.93;9958.24;33879.62;117562.76;0.01;27598.20;10513.58;0.00;-6281.42;-107049.19;-0.01;0.00;0.00;0.00
214843771282.04;254632164.05;10319.35;32268.84;111973.34;0.01;27598.20;10513.58;0.00;-4670.64;-101459.76;-0.01;0.00;0.00;0.00
214298030874.02;261616551.43;8264.08;33153.95;115044.69;0.01;27598.20;10513.58;0.00;-5555.75;-104531.11;-0.01;0.00;0.00;0.00
198494315386.05;259535923.94;9308.51;32890.28;114129.74;0.01;27598.20;10513.58;0.00;-5292.08;-103616.16;-0.01;0.00;0.00;0.00
186266151077.86;261406209.93;9789.26;33127.30;114952.19;0.01;27598.20;10513.58;0.00;-5529.10;-104438.61;-0.01;0.00;0.00;0.00
200154299541.75;250472886.24;10479.52;31741.75;110144.31;0.01;27598.20;10513.58;0.00;-4143.55;-99630.73;-0.01;0.00;0.00;0.00
190013978433.93;275945755.33;10192.89;34969.85;121345.89;0.01;27598.20;10513.58;0.00;-7371.65;-110832.31;-0.01;0.00;0.00;0.00
