# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
186434979134.82;243175373.89;20497.06;1.00;1.04;134.24;5.66;102.94;6.68;136.86;974.92;30164.34;30164.34;30164.34;30164.34;30164.34;100526.55;100526.55;100526.55;100526.55;100526.55;0.01;0.01;0.01;0.01;0.01;22153.06;22798.73;22491.41;22491.41;23293.44;21269.56;21269.56;21269.56;21269.56;21269.56;0.00;0.00;0.00;0.00;0.00;-8011.28;-7365.62;-7672.93;-7672.93;-6870.91;-79256.98;-79256.98;-79256.98;-79256.98;-79256.98;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
228419572285.04;258904241.24;20281.53;0.96;0.97;122.28;5.64;100.90;7.35;140.85;908.51;31846.60;31846.60;31846.60;31846.60;31846.60;93485.36;93485.36;93485.36;93485.36;93485.36;0.01;0.01;0.01;0.01;0.01;20469.36;21066.50;20781.46;20781.46;21523.64;19653.08;19653.08;19653.08;19653.08;19653.08;0.00;0.00;0.00;0.00;0.00;-11377.24;-10780.11;-11065.14;-11065.14;-10322.96;-73832.29;-73832.29;-73832.29;-73832.29;-73832.29;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
199573279798.32;233948986.32;15892.96;1.00;0.98;138.55;5.72;110.30;7.77;141.89;1021.45;30148.52;30148.52;30148.52;30148.52;30148.52;101050.48;101050.48;101050.48;101050.48;101050.48;0.01;0.01;0.01;0.01;0.01;16286.93;16762.17;16535.13;16535.13;17125.92;15637.44;15637.44;15637.44;15637.44;15637.44;0.00;0.00;0.00;0.00;0.00;-13861.60;-13386.35;-13613.39;-13613.39;-13022.61;-85413.04;-85413.04;-85413.04;-85413.04;-85413.04;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
197094552475.49;267356611.56;17722.56;1.05;1.06;132.09;6.01;104.72;7.17;148.41;920.23;37726.34;37726.34;37726.34;37726.34;37726.34;121147.02;121147.02;121147.02;121147.02;121147.02;0.02;0.02;0.02;0.02;0.02;19476.46;20044.86;19773.18;19773.18;20479.85;18699.79;18699.79;18699.79;18699.79;18699.79;0.00;0.00;0.00;0.00;0.00;-18249.88;-17681.48;-17953.16;-17953.16;-17246.49;-102447.23;-102447.23;-102447.23;-102447.23;-102447.23;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
185349738438.75;257036261.83;21889.92;1.00;0.99;144.32;5.60;104.41;7.44;129.92;945.04;30458.89;30458.89;30458.89;30458.89;30458.89;113610.19;113610.19;113610.19;113610.19;113610.19;0.02;0.02;0.02;0.02;0.02;22663.74;23325.17;23009.01;23009.01;23831.34;21759.98;21759.98;21759.98;21759.98;21759.98;0.00;0.00;0.00;0.00;0.00;-7795.15;-7133.72;-7449.88;-7449.88;-6627.55;-91850.22;-91850.22;-91850.22;-91850.22;-91850.22;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201679349754.55;243854656.01;18816.32;0.97;0.96;140.22;5.80;103.93;6.92;145.26;985.52;31326.22;31326.22;31326.22;31326.22;31326.22;105192.81;105192.81;105192.81;105192.81;105192.81;0.01;0.01;0.01;0.01;0.01;18764.89;19312.05;19051.25;19051.25;19731.11;18016.55;18016.55;18016.55;18016.55;18016.55;0.00;0.00;0.00;0.00;0.00;-12561.33;-12014.17;-12274.97;-12274.97;-11595.11;-87176.26;-87176.26;-87176.26;-87176.26;-87176.26;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
198467529335.84;275824687.28;19194.63;1.04;1.00;137.87;5.95;99.60;7.15;144.19;922.49;37534.29;37534.29;37534.29;37534.29;37534.29;128161.59;128161.59;128161.59;128161.59;128161.59;0.02;0.02;0.02;0.02;0.02;20013.79;20597.73;20318.84;20318.84;21044.71;19215.68;19215.68;19215.68;19215.68;19215.68;0.00;0.00;0.00;0.00;0.00;-17520.50;-16936.56;-17215.45;-17215.45;-16489.58;-108945.91;-108945.91;-108945.91;-108945.91;-108945.91;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
204894049578.04;260904370.24;17107.19;1.00;1.05;137.81;5.69;102.26;6.24;142.75;1035.21;33868.45;33868.45;33868.45;33868.45;33868.45;111708.83;111708.83;111708.83;111708.83;111708.83;0.02;0.02;0.02;0.02;0.02;18786.70;19333.66;19074.22;19074.22;19753.16;18037.40;18037.40;18037.40;18037.40;18037.40;0.00;0.00;0.00;0.00;0.00;-15081.75;-14534.79;-14794.23;-14794.23;-14115.29;-93671.44;-93671.44;-93671.44;-93671.44;-93671.44;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
198415597005.64;235669089.37;21602.98;0.97;1.01;144.01;5.32;95.53;6.92;144.98;973.92;29976.28;29976.28;29976.28;29976.28;29976.28;94952.13;94952.13;94952.13;94952.13;94952.13;0.01;0.01;0.01;0.01;0.01;22758.31;23421.46;23106.06;23106.06;23929.68;21850.66;21850.66;21850.66;21850.66;21850.66;0.00;0.00;0.00;0.00;0.00;-7217.97;-6554.82;-6870.22;-6870.22;-6046.60;-73101.47;-73101.47;-73101.47;-73101.47;-73101.47;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
204529111497.35;256046665.87;19714.04;0.99;0.98;142.69;5.45;96.69;7.37;138.63;900.05;31862.82;31862.82;31862.82;31862.82;31862.82;107223.16;107223.16;107223.16;107223.16;107223.16;0.01;0.01;0.01;0.01;0.01;20114.20;20701.11;20420.75;20420.75;21150.33;19312.09;19312.09;19312.09;19312.09;19312.09;0.00;0.00;0.00;0.00;0.00;-11748.62;-11161.72;-11442.07;-11442.07;-10712.49;-87911.07;-87911.07;-87911.07;-87911.07;-87911.07;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
