# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
1;2165;3;3;3;2;2;0;-1;0;0
0;1879;3;3;3;1;2;-1;-1;0;0
1;1910;2;2;3;1;2;0;-1;0;0
1;1735;2;2;2;1;1;0;-1;0;0
0;1942;2;2;2;2;2;0;0;0;0
1;1655;2;2;3;1;1;-1;-1;0;0
0;2105;3;3;3;2;2;-1;-1;0;0
0;2207;2;2;3;2;2;0;0;0;0
0;2014;3;3;3;2;2;-1;-1;0;0
0;2140;3;3;3;2;2;0;-1;0;0
1;1738;3;3;3;1;1;-1;-1;0;0
1;2051;2;2;3;2;2;0;0;0;0
0;1911;2;2;2;1;2;0;0;0;0
1;1891;3;3;3;1;2;-1;-1;0;0
0;2262;3;3;3;2;2;0;-1;0;0
0;1841;3;3;3;1;2;-1;-1;0;0
1;2167;3;3;3;2;2;0;0;0;0
0;1966;3;3;3;2;2;-1;-1;0;0
1;1983;3;3;3;2;2;-1;-1;0;0
1;1766;2;2;3;1;1;0;-1;0;0
1;1971;2;2;2;2;2;0;0;0;0
0;1977;3;3;3;2;2;-1;-1;0;0
1;2095;3;3;3;2;2;-1;-1;0;0
0;1948;3;3;3;2;2;-1;-1;0;0
1;2207;2;2;2;2;2;0;0;0;0
1;1929;3;3;3;2;2;-1;-1;0;0
1;1821;3;3;3;1;1;-1;-1;0;0
0;1800;3;3;3;1;1;-1;-1;0;0
1;2127;3;3;3;2;2;-1;-1;0;0
1;1985;3;3;3;2;2;-1;-1;0;0
1;2231;3;3;3;2;2;0;-1;0;0
0;2185;3;3;3;2;2;-1;-1;0;0
0;2120;2;2;2;2;2;0;0;0;0
1;1815;3;3;3;1;1;-1;-1;0;0
1;1803;2;2;2;1;1;0;0;0;0
1;2128;3;3;3;2;2;0;0;0;0
1;1941;3;3;3;2;2;-1;-1;0;0
1;2075;2;2;3;2;2;0;-1;0;0
1;2007;2;2;2;2;2;0;0;0;0
0;1691;3;3;3;1;1;-1;-1;0;0
1;1962;2;2;3;2;2;0;0;0;0
0;2006;3;3;3;2;2;-1;-1;0;0
0;2242;3;3;3;2;2;-1;-1;0;0
0;1748;3;3;3;1;1;-1;-1;0;0
1;2064;2;2;2;2;2;0;0;0;0
0;1922;3;3;4;2;2;-1;-1;0;0
1;1983;3;3;3;2;2;-1;-1;0;0
1;2064;2;2;3;2;2;0;0;0;0
1;2222;2;2;3;2;2;0;0;0;0
0;2195;3;3;3;2;2;0;-1;0;0
1;2080;3;3;3;2;2;-1;-1;0;0
0;1802;2;2;3;1;1;0;-1;0;0
0;1859;3;3;3;1;2;-1;-1;0;0
1;1996;2;2;3;2;2;0;-1;0;0
0;2134;3;3;3;2;2;-1;-1;0;0
0;2172;2;2;3;2;2;0;0;0;0
1;1897;2;2;3;1;2;0;0;0;0
0;1741;3;3;3;1;1;-1;-1;0;0
0;2147;2;2;3;2;2;0;0;0;0
1;2233;3;3;3;2;2;-1;-1;0;0
0;1907;3;3;3;1;2;-1;-1;0;0
0;2035;3;3;3;2;2;-1;-1;0;0
0;1951;3;3;3;2;2;-1;-1;0;0
0;2019;2;2;2;2;2;0;0;0;0
0;1973;2;2;3;2;2;0;-1;0;0
1;2054;3;3;3;2;2;0;-1;0;0
0;1997;2;2;3;2;2;0;0;0;0
0;2151;3;3;3;2;2;0;-1;0;0
1;1847;2;2;2;1;2;0;0;0;0
