# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
440;1101;3;3;3;2;2;-1;-1;0;0
501;960;3;3;3;2;2;0;-1;0;0
374;1048;3;3;3;1;2;-1;-1;0;0
389;1011;3;3;3;1;2;-1;-1;0;0
424;914;2;2;2;2;2;0;0;0;0
421;830;2;2;2;1;2;0;0;0;0
473;1016;2;2;2;2;2;0;0;0;0
551;962;3;3;3;2;2;-1;-1;0;0
427;782;2;2;2;1;2;0;0;0;0
379;1151;2;2;3;1;2;0;0;0;0
460;1137;2;2;2;2;2;0;0;0;0
304;1075;2;2;3;1;1;-1;-1;0;0
478;986;3;3;4;2;2;-1;-1;0;0
559;981;2;2;3;2;2;0;0;0;0
695;988;2;2;3;3;3;0;0;1;0
516;840;3;3;3;2;2;0;-1;0;0
402;1003;2;2;2;1;2;0;0;0;0
556;902;2;2;3;2;2;0;0;0;0
503;1024;3;3;3;2;2;0;0;0;0
462;996;2;2;3;2;2;0;0;0;0
368;1029;3;3;3;1;1;-1;-1;0;0
637;856;2;2;3;2;2;0;0;0;0
565;1125;3;3;3;2;2;0;0;0;0
526;1105;2;2;3;2;2;0;0;0;0
348;970;3;3;3;1;1;-1;-1;0;0
589;1069;3;3;3;2;2;0;0;0;0
437;1021;2;2;3;2;2;0;0;0;0
545;868;2;2;2;2;2;0;0;0;0
282;1065;3;3;3;1;1;-1;-1;0;0
513;1093;2;2;2;2;2;0;0;0;0
491;884;2;2;2;2;2;0;0;0;0
521;943;3;3;3;2;2;0;0;0;0
651;946;3;3;3;2;3;0;0;0;0
443;954;2;2;3;2;2;0;-1;0;0
384;940;3;3;3;1;1;-1;-1;0;0
362;1062;3;3;3;1;1;-1;-1;0;0
511;1181;3;3;3;2;2;0;-1;0;0
620;924;3;3;3;2;2;0;0;0;0
601;978;3;3;3;2;2;0;0;0;0
539;1120;3;3;3;2;2;0;0;0;0
553;1131;3;3;3;2;2;0;-1;0;0
542;1195;2;2;3;2;2;0;0;0;0
572;983;3;3;3;2;2;0;0;0;0
318;1042;2;2;3;1;1;-1;-1;0;0
340;930;3;3;3;1;1;-1;-1;0;0
605;973;3;3;3;2;2;0;0;0;0
448;818;2;2;3;2;2;0;-1;0;0
465;921;3;3;3;2;2;0;-1;0;0
643;894;3;3;3;2;2;0;0;0;0
468;1072;3;3;4;2;2;-1;-1;0;0
610;937;3;3;3;2;2;0;0;0;0
410;998;2;2;2;2;2;0;0;0;0
625;917;3;3;3;2;2;0;0;0;0
548;1115;2;2;3;2;2;0;0;0;0
486;1045;3;3;3;2;2;0;0;0;0
681;1056;3;3;3;3;3;0;0;0;0
508;898;3;3;3;2;2;0;-1;0;0
330;1169;2;2;3;1;1;0;-1;0;0
496;848;3;3;3;2;2;0;-1;0;0
394;948;2;2;2;1;2;0;0;0;0
537;1001;2;2;3;2;2;0;0;0;0
493;804;3;3;3;2;2;-1;-1;0;0
417;934;2;2;3;1;2;0;-1;0;0
529;742;2;2;3;2;2;0;0;0;0
498;874;2;2;2;2;2;0;0;0;0
593;1085;3;3;3;2;2;0;0;0;0
430;1051;3;3;3;2;2;-1;-1;0;0
757;1143;3;3;3;3;3;0;0;0;0
475;906;3;3;3;2;2;0;-1;0;0
457;1217;2;2;3;2;2;0;0;0;0
446;975;2;2;2;2;2;0;0;0;0
356;1039;2;2;3;1;1;-1;-1;0;0
506;1031;2;2;3;2;2;0;0;0;0
518;1089;3;3;3;2;2;0;-1;0;0
562;965;2;2;3;2;2;0;0;0;0
524;1008;3;3;3;2;2;0;-1;0;0
454;1059;2;2;3;2;2;0;0;0;0
717;1110;2;2;2;3;3;0;0;1;1
242;951;2;2;3;1;1;-1;-1;0;0
585;993;3;3;3;2;2;0;0;0;0
398;889;2;2;2;1;1;0;0;0;0
481;1034;2;2;3;2;2;0;0;0;0
434;1257;3;3;3;2;2;-1;-1;0;0
569;1082;3;3;3;2;2;0;-1;0;0
483;1018;2;2;3;2;2;0;0;0;0
669;957;3;3;3;2;3;0;0;0;0
631;1159;2;2;3;2;3;0;0;1;0
534;862;2;2;3;2;2;0;0;0;0
451;1013;2;2;3;2;2;0;0;0;0
659;1037;3;3;3;2;3;0;0;0;0
615;910;3;3;3;2;2;0;0;0;0
406;1097;2;2;3;2;2;0;0;0;0
414;1006;2;2;3;2;2;0;0;0;0
488;991;3;3;3;2;2;0;-1;0;0
575;879;3;3;3;2;2;0;0;0;0
531;927;2;2;2;2;2;0;0;1;1
470;1026;3;3;3;2;2;0;-1;0;0
582;1053;2;2;2;2;2;0;0;1;0
578;1078;2;2;3;2;2;0;0;0;0
597;968;2;2;2;2;2;0;0;0;0
