# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
171700964188.16;244911476.33;9980.32;33397019499.52;1.00;1.50;27598.20;10513.58;0.00;-33396991901.32;10512.58;-1.50;0.00;1.00;0.00
237796385137.44;201674951.31;9195.48;27501129723.62;1.00;1.50;27598.20;10513.58;0.00;-27501102125.42;10512.58;-1.50;0.00;1.00;0.00
205234442761.54;289680178.07;9813.14;39501842463.70;1.00;1.50;27598.20;10513.58;0.00;-39501814865.50;10512.58;-1.50;0.00;1.00;0.00
201189513011.83;249303132.24;9423.98;33995881669.36;1.00;1.50;27598.20;10513.58;0.00;-33995854071.16;10512.58;-1.50;0.00;1.00;0.00
213478314101.92;274143337.32;9963.82;37383182361.69;1.00;1.50;27598.20;10513.58;0.00;-37383154763.49;10512.58;-1.50;0.00;1.00;0.00
212197731725.38;262145307.42;11036.34;35747087375.67;1.00;1.50;27598.20;10513.58;0.00;-35747059777.47;10512.58;-1.50;0.00;1.00;0.00
195494606899.48;214373460.20;8427.92;29232744572.57;1.00;1.50;27598.20;10513.58;0.00;-29232716974.38;10512.58;-1.50;0.00;1.00;0.00
192883244328.33;230636278.54;9946.59;31450401618.94;1.00;1.50;27598.20;10513.58;0.00;-31450374020.74;10512.58;-1.50;0.00;1.00;0.00
205731258993.37;214414181.89;9522.07;29238297529.86;1.00;1.50;27598.20;10513.58;0.00;-29238269931.66;10512.58;-1.50;0.00;1.00;0.00
188162388250.35;224603099.85;10026.01;30627695433.46;1.00;1.50;27598.20;10513.58;0.00;-30627667835.26;10512.58;-1.50;0.00;1.00;0.00
