# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
213906824400.55;239285077.72;21214.92;1.00;1.03;145.55;6.04;111.19;7.72;147.87;1017.24;32244.21;32244.21;32244.21;32244.21;32244.21;114930.35;114930.35;114930.35;114930.35;114930.35;0.02;0.02;0.02;0.02;0.02;22851.86;23518.91;23199.87;23199.87;24029.29;21940.61;21940.61;21940.61;21940.61;21940.61;0.00;0.00;0.00;0.00;0.00;-9392.35;-8725.30;-9044.34;-9044.34;-8214.92;-92989.75;-92989.75;-92989.75;-92989.75;-92989.75;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
219356399633.61;253236349.73;18456.12;0.95;0.99;139.38;5.62;105.25;7.15;133.15;918.49;29185.64;29185.64;29185.64;29185.64;29185.64;103066.51;103066.51;103066.51;103066.51;103066.51;0.01;0.01;0.01;0.01;0.01;18962.43;19515.83;19251.33;19251.33;19939.33;18206.26;18206.26;18206.26;18206.26;18206.26;0.00;0.00;0.00;0.00;0.00;-10223.21;-9669.82;-9934.31;-9934.31;-9246.31;-84860.25;-84860.25;-84860.25;-84860.25;-84860.25;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
209175701615.74;279088416.95;17700.16;1.01;1.00;138.73;5.78;102.28;7.05;142.22;920.80;36589.31;36589.31;36589.31;36589.31;36589.31;123734.17;123734.17;123734.17;123734.17;123734.17;0.02;0.02;0.02;0.02;0.02;18415.90;18953.23;18696.59;18696.59;19364.52;17681.51;17681.51;17681.51;17681.51;17681.51;0.00;0.00;0.00;0.00;0.00;-18173.40;-17636.08;-17892.72;-17892.72;-17224.79;-106052.65;-106052.65;-106052.65;-106052.65;-106052.65;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
207575272126.16;257022024.22;19115.12;1.01;1.01;146.26;5.93;103.38;7.27;146.52;857.74;34583.22;34583.22;34583.22;34583.22;34583.22;122853.48;122853.48;122853.48;122853.48;122853.48;0.02;0.02;0.02;0.02;0.02;20142.36;20730.73;20448.69;20448.69;21180.63;19339.20;19339.20;19339.20;19339.20;19339.20;0.00;0.00;0.00;0.00;0.00;-14440.86;-13852.48;-14134.53;-14134.53;-13402.59;-103514.28;-103514.28;-103514.28;-103514.28;-103514.28;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
182600352952.84;272309851.27;18986.25;0.94;1.01;147.22;5.92;97.10;7.41;151.72;938.43;35256.04;35256.04;35256.04;35256.04;35256.04;121506.93;121506.93;121506.93;121506.93;121506.93;0.01;0.01;0.01;0.01;0.01;19980.95;20564.00;20285.43;20285.43;21010.25;19184.16;19184.16;19184.16;19184.16;19184.16;0.00;0.00;0.00;0.00;0.00;-15275.09;-14692.04;-14970.61;-14970.61;-14245.79;-102322.77;-102322.77;-102322.77;-102322.77;-102322.77;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
224097682402.38;240710380.15;17717.20;1.03;1.01;137.18;5.85;88.72;6.93;130.44;981.29;29399.98;29399.98;29399.98;29399.98;29399.98;108592.07;108592.07;108592.07;108592.07;108592.07;0.02;0.02;0.02;0.02;0.02;18546.55;19086.76;18830.15;18830.15;19500.91;17806.85;17806.85;17806.85;17806.85;17806.85;0.00;0.00;0.00;0.00;0.00;-10853.44;-10313.22;-10569.83;-10569.83;-9899.07;-90785.22;-90785.22;-90785.22;-90785.22;-90785.22;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
185183369555.16;250575222.28;20392.26;0.99;0.99;143.03;5.80;99.89;6.49;146.15;987.33;32870.65;32870.65;32870.65;32870.65;32870.65;111938.42;111938.42;111938.42;111938.42;111938.42;0.01;0.01;0.01;0.01;0.01;21069.43;21683.40;21391.34;21391.34;22153.90;20229.14;20229.14;20229.14;20229.14;20229.14;0.00;0.00;0.00;0.00;0.00;-11801.23;-11187.25;-11479.31;-11479.31;-10716.75;-91709.28;-91709.28;-91709.28;-91709.28;-91709.28;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
215211979372.61;255909388.76;19485.90;1.02;0.97;134.24;6.10;91.71;7.10;145.59;982.80;34697.19;34697.19;34697.19;34697.19;34697.19;117019.74;117019.74;117019.74;117019.74;117019.74;0.02;0.02;0.02;0.02;0.02;19679.95;20253.45;19980.63;19980.63;20692.92;18895.08;18895.08;18895.08;18895.08;18895.08;0.00;0.00;0.00;0.00;0.00;-15017.24;-14443.74;-14716.56;-14716.56;-14004.26;-98124.66;-98124.66;-98124.66;-98124.66;-98124.66;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
195175599068.90;250757356.56;20714.28;0.96;1.01;162.46;6.11;107.78;6.69;148.77;927.33;32450.89;32450.89;32450.89;32450.89;32450.89;129822.57;129822.57;129822.57;129822.57;129822.57;0.01;0.01;0.01;0.01;0.01;21737.21;22371.89;22068.08;22068.08;22857.39;20870.43;20870.43;20870.43;20870.43;20870.43;0.00;0.00;0.00;0.00;0.00;-10713.67;-10079.00;-10382.81;-10382.81;-9593.50;-108952.15;-108952.15;-108952.15;-108952.15;-108952.15;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
204983966142.03;225221318.55;18625.19;1.03;1.00;144.15;5.87;102.71;6.79;135.64;977.29;28686.79;28686.79;28686.79;28686.79;28686.79;107396.26;107396.26;107396.26;107396.26;107396.26;0.02;0.02;0.02;0.02;0.02;19443.86;20010.84;19740.56;19740.56;20445.07;18668.44;18668.44;18668.44;18668.44;18668.44;0.00;0.00;0.00;0.00;0.00;-9242.93;-8675.95;-8946.23;-8946.23;-8241.72;-88727.81;-88727.81;-88727.81;-88727.81;-88727.81;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
