# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
178888831948.50;237359207.02;22834.42;1.00;0.99;134.29;6.05;95.79;6.58;131.56;941.77;28434.85;28434.85;28434.85;23469.94;24154.02;23828.37;-4964.91;-4280.83;-4606.48;0.00;0.00;0.00
197064188061.14;252444424.80;23840.20;0.99;1.03;144.01;5.71;98.06;7.01;136.38;915.96;30830.05;30830.05;30830.05;25494.33;26238.08;25883.02;-5335.72;-4591.98;-4947.03;0.00;0.00;0.00
191974583405.20;265717275.81;25435.93;0.99;1.04;143.84;5.79;110.56;6.80;134.54;938.62;32195.75;32195.75;32195.75;27444.87;28245.80;27863.00;-4750.89;-3949.95;-4332.75;0.00;0.00;0.00
215584438204.65;234730094.53;16076.10;1.01;1.00;133.56;5.86;101.29;6.52;140.19;975.91;30125.07;30125.07;30125.07;16744.49;17232.44;17000.33;-13380.58;-12892.63;-13124.74;0.00;0.00;0.00
180651043217.08;286690391.71;18753.63;0.99;1.00;147.01;5.50;99.47;6.87;133.68;932.22;34526.32;34526.32;34526.32;19502.60;20071.40;19800.10;-15023.72;-14454.92;-14726.22;0.00;0.00;0.00
199990555379.75;235668903.41;15585.93;1.00;1.07;139.21;5.73;105.22;6.62;134.49;997.35;28683.55;28683.55;28683.55;17294.32;17798.39;17558.45;-11389.23;-10885.16;-11125.10;0.00;0.00;0.00
198380023463.67;231928103.99;21228.71;0.99;1.02;134.40;5.79;97.95;7.16;156.41;892.97;32756.61;32756.61;32756.61;22554.23;23212.32;22897.98;-10202.37;-9544.29;-9858.63;0.00;0.00;0.00
215760041076.13;245131516.15;19774.26;1.00;1.03;146.91;5.91;104.71;6.46;133.39;907.05;29624.90;29624.90;29624.90;21257.72;21877.99;21581.69;-8367.19;-7746.91;-8043.21;0.00;0.00;0.00
185575922356.07;254107832.06;22369.53;0.94;0.98;137.05;5.96;102.93;7.18;152.62;937.22;33121.85;33121.85;33121.85;22863.32;23530.44;23211.76;-10258.53;-9591.41;-9910.09;0.00;0.00;0.00
203818778267.41;266330430.36;19056.82;1.01;0.96;136.66;5.95;97.30;6.79;127.14;940.04;31081.42;31081.42;31081.42;19058.41;19614.09;19349.29;-12023.01;-11467.33;-11732.13;0.00;0.00;0.00
229857306342.00;233219662.57;21265.01;0.93;1.01;136.00;5.80;101.24;7.33;145.85;872.39;28781.84;28781.84;28781.84;22329.66;22981.59;22669.59;-6452.19;-5800.26;-6112.26;0.00;0.00;0.00
195396934760.37;220277578.64;21101.56;1.04;1.00;139.90;5.63;101.57;7.61;141.12;930.95;29364.50;29364.50;29364.50;21987.00;22628.69;22321.94;-7377.50;-6735.80;-7042.56;0.00;0.00;0.00
170757823992.09;264670904.44;19001.43;0.98;1.00;141.12;5.92;107.46;7.57;138.89;955.58;32679.01;32679.01;32679.01;19800.13;20378.15;20101.61;-12878.88;-12300.86;-12577.40;0.00;0.00;0.00
189958075936.17;244071814.97;20469.72;0.95;0.99;133.62;6.25;104.48;7.42;146.78;988.50;30945.72;30945.72;30945.72;21030.94;21644.51;21351.54;-9914.78;-9301.21;-9594.18;0.00;0.00;0.00
204659223965.11;257080960.92;21641.36;1.03;0.98;134.32;5.62;97.24;7.12;135.09;1054.61;32512.85;32512.85;32512.85;21984.67;22624.89;22321.01;-10528.18;-9887.97;-10191.85;0.00;0.00;0.00
198687262074.38;242785286.32;16602.25;1.00;0.98;145.56;6.01;105.75;7.83;139.03;963.76;30534.31;30534.31;30534.31;16939.14;17433.73;17196.97;-13595.17;-13100.59;-13337.34;0.00;0.00;0.00
189918949040.86;240480375.42;21063.79;1.05;0.99;138.78;5.93;91.97;7.24;141.23;943.48;32352.93;32352.93;32352.93;21784.88;22420.09;22117.33;-10568.05;-9932.84;-10235.60;0.00;0.00;0.00
190512658039.86;260140158.17;19507.13;0.97;1.00;141.26;6.09;103.82;7.18;134.84;996.57;31013.59;31013.59;31013.59;20296.02;20888.02;20605.56;-10717.56;-10125.57;-10408.03;0.00;0.00;0.00
195513589514.97;271815246.45;21538.41;1.01;0.99;136.13;5.56;100.31;7.09;144.78;962.00;36216.99;36216.99;36216.99;22128.05;22773.22;22465.79;-14088.94;-13443.77;-13751.20;0.00;0.00;0.00
183502628077.79;261620075.82;18136.49;1.01;0.99;147.00;5.71;105.52;6.73;135.43;1027.12;32611.62;32611.62;32611.62;18666.49;19210.56;18951.57;-13945.13;-13401.06;-13660.05;0.00;0.00;0.00
208084930676.12;282732847.57;18751.07;1.02;0.99;142.43;5.96;98.48;7.29;129.77;973.13;34020.70;34020.70;34020.70;19344.99;19909.23;19640.05;-14675.71;-14111.47;-14380.65;0.00;0.00;0.00
182715523316.95;267310571.78;21259.09;0.93;0.96;147.91;5.69;100.90;7.20;143.86;979.26;32450.88;32450.88;32450.88;21287.36;21908.23;21612.05;-11163.52;-10542.65;-10838.83;0.00;0.00;0.00
203872683594.66;238613658.68;19314.70;1.00;1.02;135.44;6.15;103.05;6.71;147.54;864.07;32049.99;32049.99;32049.99;20551.41;21151.33;20864.36;-11498.58;-10898.66;-11185.63;0.00;0.00;0.00
196406770529.04;218853972.71;20772.65;0.98;0.97;149.19;5.77;99.85;7.70;135.65;972.16;26340.66;26340.66;26340.66;21088.28;21703.66;21409.63;-5252.38;-4637.00;-4931.03;0.00;0.00;0.00
212102176691.34;260325550.71;21317.32;0.97;1.00;141.16;5.68;107.07;7.16;145.59;961.46;33447.70;33447.70;33447.70;22128.77;22774.41;22466.07;-11318.92;-10673.29;-10981.63;0.00;0.00;0.00
200431471423.69;236838561.34;21795.67;0.98;0.97;127.27;6.17;100.87;6.98;134.89;985.56;28528.49;28528.49;28528.49;22067.12;22710.39;22404.05;-6461.37;-5818.10;-6124.44;0.00;0.00;0.00
200330108440.60;248462665.39;20868.95;0.95;0.95;148.74;6.29;99.99;7.29;121.68;1035.78;26076.06;26076.06;26076.06;20586.46;21186.80;20900.54;-5489.60;-4889.26;-5175.51;0.00;0.00;0.00
209664894816.98;250102829.88;22101.87;1.02;1.04;129.08;5.80;94.34;7.44;142.78;960.06;33163.44;33163.44;33163.44;23943.31;24641.33;24308.83;-9220.13;-8522.11;-8854.61;0.00;0.00;0.00
194192867355.43;252213722.44;20675.19;1.01;0.99;140.96;6.11;106.68;6.80;140.95;971.23;32543.98;32543.98;32543.98;21214.53;21833.37;21538.02;-11329.45;-10710.61;-11005.96;0.00;0.00;0.00
200326706363.36;250055960.38;17636.24;0.97;0.98;130.80;5.63;108.08;7.03;139.35;962.08;30862.59;30862.59;30862.59;18066.21;18593.13;18341.77;-12796.38;-12269.46;-12520.83;0.00;0.00;0.00
186050435633.78;243985292.70;21858.41;0.96;0.97;141.87;5.80;96.94;6.88;136.11;909.37;28852.21;28852.21;28852.21;21971.96;22612.87;22307.02;-6880.26;-6239.34;-6545.20;0.00;0.00;0.00
