# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
162480721533.25;1219.75;10318.52;1108.86;1.00;1.50;28469.35;10843.95;0.00;27360.49;10842.95;-1.50;1.00;1.00;0.00
210344572408.61;998.59;10925.26;907.81;1.00;1.50;30144.18;11481.89;0.00;29236.37;11480.89;-1.50;1.00;1.00;0.00
192468745239.57;948.63;10316.65;862.39;1.00;1.50;28463.83;10841.85;0.00;27601.44;10840.85;-1.50;1.00;1.00;0.00
194102604068.79;980.18;8711.70;891.07;1.00;1.50;24035.33;9155.03;0.00;23144.26;9154.03;-1.50;1.00;1.00;0.00
214688886150.03;937.42;8629.58;852.20;1.00;1.50;23809.08;9068.85;0.00;22956.87;9067.85;-1.50;1.00;1.00;0.00
176850085400.51;1019.62;9388.62;926.92;1.00;1.50;25903.30;9866.54;0.00;24976.38;9865.54;-1.50;1.00;1.00;0.00
218171645039.25;802.06;11682.39;729.15;1.00;1.50;32232.89;12277.48;0.00;31503.74;12276.48;-1.50;1.00;1.00;0.00
193110225337.12;917.32;9981.21;833.93;1.00;1.50;27539.50;10489.77;0.00;26705.58;10488.77;-1.50;1.00;1.00;0.00
210292951369.29;1107.80;9790.80;1007.09;1.00;1.50;27012.50;10289.03;0.00;26005.41;10288.03;-1.50;1.00;1.00;0.00
201628852765.18;1022.54;10460.32;929.58;1.00;1.50;28861.16;10993.19;0.00;27931.58;10992.19;-1.50;1.00;1.00;0.00
