# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
212955647777.67;247076979.61;13062.99;0.98;1.00;128.74;5.95;101.59;7.09;1615.80;29567.00;29567.00;29567.00;29567.00;29567.00;110994.12;110994.12;110994.12;110994.12;110994.12;0.01;0.01;0.01;0.01;0.01;22133.65;14435.65;15277.41;15775.83;16130.54;17289.85;14187.03;14589.39;14779.26;14702.57;0.00;0.00;0.00;0.00;0.00;-7433.35;-15131.36;-14289.59;-13791.18;-13436.47;-93704.27;-96807.09;-96404.73;-96214.86;-96291.55;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
198635394320.14;247137168.88;14360.75;0.96;1.00;139.96;6.23;110.70;7.47;1530.21;36308.33;36308.33;36308.33;36308.33;36308.33;124618.56;124618.56;124618.56;124618.56;124618.56;0.01;0.01;0.01;0.01;0.01;25468.61;15378.86;16518.82;17165.79;17506.10;19310.42;15282.32;15804.65;16051.11;15951.56;0.00;0.00;0.00;0.00;0.00;-10839.72;-20929.46;-19789.51;-19142.53;-18802.23;-105308.14;-109336.24;-108813.92;-108567.45;-108667.01;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
213166982876.47;235347679.17;13013.93;1.00;1.03;139.34;5.55;98.04;6.21;3709.55;27180.89;27180.89;27180.89;27180.89;27180.89;109128.85;109128.85;109128.85;109128.85;109128.85;0.01;0.01;0.01;0.01;0.01;25351.26;16979.19;17882.72;18426.95;18856.30;20014.70;16626.46;17065.82;17273.14;17189.40;0.00;0.00;0.00;0.00;0.00;-1829.63;-10201.70;-9298.17;-8753.94;-8324.59;-89114.15;-92502.39;-92063.03;-91855.70;-91939.45;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
196427701739.65;230996594.46;14628.71;0.98;1.01;145.91;6.05;98.91;7.04;1849.95;31259.19;31259.19;31259.19;31259.19;31259.19;119446.90;119446.90;119446.90;119446.90;119446.90;0.01;0.01;0.01;0.01;0.01;25663.53;16219.18;17268.46;17877.21;18258.68;19801.31;16011.14;16502.61;16734.51;16640.84;0.00;0.00;0.00;0.00;0.00;-5595.66;-15040.01;-13990.73;-13381.99;-13000.51;-99645.59;-103435.76;-102944.29;-102712.39;-102806.06;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
202014178646.96;235875044.44;14018.00;1.02;0.98;142.59;5.77;101.04;6.87;3230.43;32123.71;32123.71;32123.71;32123.71;32123.71;119138.09;119138.09;119138.09;119138.09;119138.09;0.02;0.02;0.02;0.02;0.02;25927.33;16594.48;17625.49;18228.05;18624.99;20103.82;16352.20;16838.67;17068.22;16975.50;0.00;0.00;0.00;0.00;0.00;-6196.38;-15529.23;-14498.22;-13895.66;-13498.72;-99034.27;-102785.89;-102299.42;-102069.87;-102162.59;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
208352938693.88;238685510.66;14113.54;1.01;0.99;149.00;5.74;104.94;6.58;2660.28;33425.93;33425.93;33425.93;33425.93;33425.93;123135.95;123135.95;123135.95;123135.95;123135.95;0.02;0.02;0.02;0.02;0.02;26179.48;16041.05;17181.37;17832.43;18194.02;19960.10;15906.33;16431.97;16680.00;16579.81;0.00;0.00;0.00;0.00;0.00;-7246.45;-17384.88;-16244.56;-15593.50;-15231.92;-103175.84;-107229.62;-106703.97;-106455.95;-106556.14;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
226641194852.51;267514340.24;14242.71;1.03;0.99;140.38;5.62;105.06;6.63;1461.21;35838.23;35838.23;35838.23;35838.23;35838.23;130410.57;130410.57;130410.57;130410.57;130410.57;0.02;0.02;0.02;0.02;0.02;24713.25;15130.62;16207.93;16823.31;17164.89;18836.36;15004.99;15501.81;15736.24;15641.54;0.00;0.00;0.00;0.00;0.00;-11124.98;-20707.61;-19630.30;-19014.91;-18673.34;-111574.21;-115405.58;-114908.76;-114674.33;-114769.03;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
178763183586.86;244576401.28;16114.26;1.07;1.01;146.55;5.96;97.30;7.39;3185.48;37168.56;37168.56;37168.56;37168.56;37168.56;136492.03;136492.03;136492.03;136492.03;136492.03;0.02;0.02;0.02;0.02;0.02;28900.45;19161.18;20219.39;20851.36;21328.94;22724.36;18789.48;19299.71;19540.46;19443.21;0.00;0.00;0.00;0.00;0.00;-8268.11;-18007.38;-16949.18;-16317.20;-15839.63;-113767.67;-117702.55;-117192.32;-116951.57;-117048.82;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
172147496475.75;257056937.66;14692.34;1.01;1.02;145.18;5.70;103.07;7.05;3298.53;36609.19;36609.19;36609.19;36609.19;36609.19;129150.47;129150.47;129150.47;129150.47;129150.47;0.02;0.02;0.02;0.02;0.02;27255.03;18191.48;19172.63;19761.39;20218.39;21488.10;17822.31;18297.65;18521.94;18431.34;0.00;0.00;0.00;0.00;0.00;-9354.15;-18417.71;-17436.55;-16847.79;-16390.80;-107662.36;-111328.16;-110852.82;-110628.53;-110719.13;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
200447614146.19;250545672.26;16553.93;0.95;1.01;145.98;5.30;103.43;7.40;1972.26;34641.67;34641.67;34641.67;34641.67;34641.67;110539.33;110539.33;110539.33;110539.33;110539.33;0.01;0.01;0.01;0.01;0.01;29429.44;18273.28;19522.07;20239.56;20658.84;22552.35;18084.94;18664.21;18937.54;18827.13;0.00;0.00;0.00;0.00;0.00;-5212.23;-16368.38;-15119.59;-14402.11;-13982.82;-87986.98;-92454.39;-91875.12;-91601.79;-91712.20;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
